"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ttr",3.59001339624514e-23,-0.498315970938105,0.203,0.439,1.14126525866633e-18
"Zbtb16",6.46412052919103e-21,0.629540982126533,0.304,0.111,2.05494391622983e-16
"Tmem108",8.19384143868310e-11,0.424856893173689,0.524,0.378,2.60482219335736e-06
"Grk3",1.18180244859518e-10,-0.431122910473987,0.067,0.171,3.75694998408407e-06
"Sycp2",2.9216293928648e-09,-0.365697246995284,0.249,0.392,9.2878598399172e-05
"Zfp804b",3.00223262875988e-09,0.465810945748482,0.1,0.025,9.54409752682767e-05
"Epn2",9.99642832864298e-09,-0.183877900221705,0.908,0.946,0.00031778645656756
"Thy1",4.04265959440456e-08,0.309555950073175,0.185,0.085,0.00128516148506121
"Lhfpl3",7.0013344202509e-08,0.13003174818484,0.992,0.999,0.00222572421219776
"Grm5",8.43620915255262e-08,0.234231146973144,0.814,0.757,0.00268187088959648
"AC149090.1",2.67238779330163e-07,-0.296910491189738,0.221,0.346,0.00849552079490587
"C4b",3.72939420537369e-07,0.220170155742098,0.059,0.01,0.011855744178883
"Slc15a2",4.98786881222358e-07,-0.292642000686466,0.043,0.116,0.0158564349540587
"Ncam2",5.10084477431677e-07,0.173910439529551,0.921,0.864,0.016215585537553
"Gdpd3",9.569136186561e-07,-0.177937220651126,0.006,0.044,0.0304202839370774
"Pde4b",2.25093406476359e-06,-0.18428749170074,0.853,0.895,0.0715571939188346
"Pcdh9",3.636843738626e-06,-0.11567285628086,0.993,0.999,0.11561526245092
"Pacrg",5.70715261277584e-06,-0.30240218345162,0.29,0.408,0.181430381560144
"4932443L11Rik",6.3904040514538e-06,-0.29336024990702,0.333,0.442,0.203150944795716
"Malat1",6.52257194750133e-06,0.0891434344631072,1,1,0.207352562211067
"Dner",6.75328854327309e-06,-0.27097183440866,0.302,0.419,0.214687042790652
"Cd9",6.9260109741693e-06,0.290834486758257,0.374,0.259,0.220177888868842
"Fstl5",7.36047717986377e-06,0.387866202174009,0.194,0.123,0.233989569547869
"Sema3d",9.07834153926129e-06,0.270769419930602,0.536,0.433,0.288600477533116
"Usp24",1.38568148713595e-05,0.234020487905792,0.706,0.634,0.44050814476052
"Gm20713",2.01301235709377e-05,-0.244498728364132,0.597,0.675,0.639936628320108
"Unc13c",2.03324645185363e-05,-0.249468530018215,0.515,0.599,0.646369047044269
"Itga9",2.05588581627764e-05,-0.289961512874445,0.417,0.498,0.653566100994661
"Prkcq",2.07642365979405e-05,-0.188035186013299,0.303,0.414,0.660095081448529
"Zmynd8",2.83552837870454e-05,-0.263393197413345,0.302,0.404,0.901414471590173
"Pid1",2.94074716828073e-05,-0.190635818765675,0.746,0.823,0.934863524796444
"Fkbp5",4.46437592983746e-05,0.229085474259175,0.177,0.098,1
"Nrcam",4.90253192875234e-05,0.238126733918686,0.588,0.518,1
"Ctss",5.05244307104057e-05,0.174011130353257,0.034,0.004,1
"Kcnip3",7.19032618851693e-05,-0.233087484367105,0.577,0.643,1
"Snhg11",7.49826343106207e-05,-0.202530308915832,0.613,0.71,1
"Tvp23a",0.00011780514799509,0.24625019594379,0.075,0.029,1
"Gm38304",0.000132565253833435,-0.243385284422884,0.219,0.313,1
"Npas3",0.000132852856468813,0.152340951694475,0.91,0.887,1
"Gm48914",0.000136860878315812,-0.0947886967579554,0.002,0.025,1
"Gm13052",0.000170740206765868,-0.277106766612821,0.169,0.249,1
"B230217J21Rik",0.000193454506276075,-0.124723723220864,0.126,0.192,1
"Gm30694",0.000195430976508764,-0.0600957789636601,0,0.013,1
"Zfp462",0.000203786551080551,-0.168489594273918,0.622,0.713,1
"Adarb2",0.000206531978389501,-0.142395512515777,0.891,0.89,1
"Degs2",0.000266293986224554,-0.112194849639416,0.002,0.023,1
"Pstpip2",0.000325737003035279,-0.270535525267263,0.194,0.278,1
"Gm15584",0.000347271193204832,-0.267937980334528,0.146,0.224,1
"Zbtb20",0.000349081896385643,-0.12824902616479,0.872,0.909,1
"Arpp21",0.00039453016736665,-0.183034763734634,0.518,0.612,1
"Dscam",0.000403519742701803,-0.115140767648817,0.981,0.982,1
"Ddx60",0.00040546645540072,0.183559998363526,0.043,0.012,1
"Ube2b",0.000434538357365387,-0.207413280508505,0.213,0.299,1
"Olfm2",0.00045197348021947,0.247180126140375,0.477,0.397,1
"Myo16",0.000486779648438735,0.274673256385469,0.305,0.231,1
"4930549C15Rik",0.000522961734677837,-0.237618348975366,0.104,0.171,1
"Gm36146",0.000586843752679,-0.224789422503528,0.083,0.145,1
"Bmpr1b",0.000611261310092959,0.104840354146343,0.013,0,1
"Vps37a",0.00063027336472481,0.226168421261437,0.132,0.073,1
"H2-K1",0.000939297870132508,0.159521533035062,0.047,0.015,1
"Gm4876",0.000982902043179959,-0.151890001022752,0.731,0.773,1
"Adhfe1",0.00100388226637881,-0.100154125485733,0.005,0.026,1
"C430049B03Rik",0.00101460314500666,-0.275696948723907,0.126,0.187,1
"Cdh2",0.00103720275147942,0.226933898150756,0.376,0.293,1
"Tyrobp",0.00109189304186944,0.074235775469601,0.018,0.001,1
"Mapk12",0.00112962798296131,-0.0533544085407973,0,0.01,1
"G530011O06Rik",0.00112962798296133,-0.0575566841358906,0,0.01,1
"Arpc1a",0.00118991177557719,0.116099323043715,0.211,0.151,1
"Cryab",0.00126812618544771,-0.253469508888177,0.112,0.176,1
"Sox8",0.00127835009744279,-0.166600944952933,0.214,0.291,1
"Sh3rf1",0.0012999645145337,0.22917352233796,0.317,0.246,1
"Tmem121",0.00136447888254948,0.185731330835376,0.075,0.034,1
"Cpq",0.00139406507424407,-0.217549884100813,0.428,0.482,1
"Fhit",0.00146016271334554,0.271593308724266,0.366,0.316,1
"Gm32509",0.00147416594513822,-0.181853505752581,0.695,0.745,1
"Tenm2",0.00149791435965766,-0.230930975097707,0.361,0.447,1
"Sned1",0.00152620780066738,-0.120908355086582,0.021,0.054,1
"4930509J09Rik",0.0016182659388371,-0.249133779092805,0.273,0.337,1
