"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"1",6.99005761129285e-23,0.376935420071229,0.547,0.286,2.22213931463e-18
"2",5.00158047772801e-15,0.28510007303661,0.822,0.714,1.59000243386974e-10
"3",1.8788829037148e-10,0.336799244877811,0.699,0.597,5.97296875090935e-06
"4",4.4649286884168e-10,0.353947164800733,0.525,0.359,1.4194008300477e-05
"5",3.70824193714709e-08,0.319984534127283,0.467,0.314,0.00117885011181906
"6",5.02910603227433e-08,0.252379122086666,0.827,0.745,0.00159875280766001
"7",6.09661986579999e-08,0.244124315739551,0.881,0.817,0.00193811545533782
"8",1.39630372479838e-07,0.315191630348376,0.487,0.345,0.00443884954113406
"9",4.10158477793705e-07,0.264559797750194,0.546,0.408,0.0130389380090619
"10",6.08049583294257e-07,0.388942645495241,0.683,0.584,0.0193298962529244
"11",2.28116070948228e-06,0.425672883626594,0.345,0.227,0.0725180989544416
"12",3.75193777200609e-06,0.398003458613417,0.624,0.513,0.119274101772073
"13",4.57151044002567e-06,0.269410696595926,0.338,0.227,0.145328316888416
"14",6.59078106624347e-06,0.290211520706446,0.755,0.66,0.20952093009588
"15",7.42805617432169e-06,0.263339655509772,0.847,0.758,0.236137905781686
"16",7.55529212822128e-06,0.316843630603227,0.569,0.447,0.240182736756154
"17",1.16640366124116e-05,0.266219714056322,0.649,0.536,0.370799723908564
"18",5.40817460259864e-05,0.241468704756356,0.468,0.349,1
"19",0.000126541840160146,0.301967955489637,0.235,0.15,1
"20",0.000130172976706966,0.306634404810237,0.566,0.497,1
"21",5.46695170225503e-16,-0.248834145884354,0.851,0.91,1.73794394614687e-11
"22",2.76101931852552e-13,-0.241481919301091,0.939,0.974,8.77728041359262e-09
"23",4.2825049681608e-11,-0.330828474163782,0.219,0.387,1.36140832937832e-06
"24",7.21874005837109e-10,-0.282254299358923,0.195,0.345,2.29483746455617e-05
"25",9.44325551639377e-10,-0.258802232751883,0.703,0.826,3.00201092866158e-05
"26",1.87037549535818e-09,-0.234178918261818,0.709,0.819,5.94592369974365e-05
"27",3.00382888747114e-08,-0.240244690295559,0.485,0.625,0.000954917203327074
"28",3.95094717792456e-08,-0.328440409021786,0.757,0.84,0.00125600610786222
"29",5.2343077252225e-08,-0.240279197389892,0.382,0.475,0.00166398642584823
"30",4.87135798050761e-07,-0.23262888371101,0.463,0.592,0.0154860470200337
"31",5.02958882719939e-07,-0.212706085583972,0.402,0.539,0.0159890628816669
"32",5.95654775139661e-07,-0.20645113592298,0.535,0.615,0.0189358653016898
"33",1.56299850787108e-06,-0.221570750857104,0.513,0.65,0.0496877225652216
"34",3.35361315580001e-06,-0.261907202703182,0.079,0.168,0.106611362222882
"35",3.78606901722167e-06,-0.216222607214577,0.53,0.609,0.120359134057477
"36",4.71619632835625e-06,-0.237105842234987,0.556,0.66,0.149927881278445
"37",5.36917139458861e-06,-0.215630539481935,0.771,0.832,0.170685958633972
"38",1.29403441541817e-05,-0.206065166201545,0.754,0.811,0.411373540661438
"39",1.59854752755521e-05,-0.259917300056392,0.778,0.808,0.508178259009802
"40",0.0457606691544396,-0.278662743095796,0.208,0.23,1
