"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"C4b",7.65438228208461e-52,0.534989141934877,0.086,0.012,2.4333281274747e-47
"Thy1",4.52420404245078e-31,0.502206668927418,0.168,0.076,1.4382444650951e-26
"Hbb-bs",1.01241290038624e-29,0.253904258216015,0.108,0.046,3.21846061032787e-25
"Rnf220",1.65902714336416e-27,-0.280111915723029,0.612,0.709,5.27404728875467e-23
"Pttg1",5.33747075654915e-27,-0.271750817002722,0,0.031,1.69678195350697e-22
"Tenm2",1.1532008086359e-25,0.45217232877768,0.328,0.225,3.66602537065352e-21
"Meg3",2.25186222381739e-21,-0.262141653624767,0.43,0.534,7.1586700095155e-17
"Hsp90ab1",1.39702889822012e-18,-0.262457723951421,0.341,0.41,4.44115486744178e-14
"Il12b",2.68079865517816e-18,0.132085145858026,0.014,0,8.52225892481138e-14
"Csf1",8.61335864663839e-18,0.308168187717888,0.103,0.048,2.73818671376634e-13
"Plp1",9.62114446241275e-16,0.130393712113558,0.92,0.896,3.05856182460101e-11
"Pcyt2",2.43865725254483e-15,0.221962051756084,0.247,0.172,7.75249140584002e-11
"Gm37459",5.62455433563395e-15,-0.261949775769174,0.309,0.387,1.78804582329803e-10
"Hbb-bt",6.70517810165692e-15,0.151632535841321,0.03,0.007,2.13157611851673e-10
"Csmd2",4.41519757878352e-14,0.1700952963492,0.128,0.081,1.40359131029528e-09
"Unc5c",3.914982490256e-13,0.194181168406288,0.658,0.592,1.24457293365238e-08
"4930419G24Rik",5.24042426772183e-13,-0.191691056096094,0.434,0.515,1.66593087470877e-08
"Grid2",7.72278195472481e-13,0.197606271138042,0.59,0.511,2.45507238340702e-08
"Snhg11",1.10116224504339e-12,-0.192672686619109,0.478,0.553,3.50059477699293e-08
"Spock3",3.75121224284292e-12,-0.21349321344972,0.362,0.424,1.19251037199976e-07
"Dgki",4.06611214334558e-12,0.225525206858626,0.564,0.491,1.29261705036956e-07
"Pacrg",5.38198648262354e-12,-0.174076305254068,0.611,0.675,1.71093350282602e-07
"Eya4",6.08111873918287e-12,0.261855072459294,0.085,0.044,1.93318764718623e-07
"Acsl3",2.57668237165554e-11,0.194213756471952,0.108,0.066,8.19127325949295e-07
"Cldn11",4.36014081693559e-11,0.228680233678788,0.367,0.288,1.38608876570382e-06
"Hba-a1",5.55690476141976e-11,0.135623002312941,0.033,0.012,1.76654002365534e-06
"Kirrel3",6.6337206145239e-11,0.263426117179395,0.491,0.428,2.10885978335715e-06
"Cryab",1.05885125240216e-10,-0.232229838525538,0.247,0.317,3.36608813138646e-06
"Slc38a2",1.09375309208095e-10,-0.195901956355183,0.385,0.438,3.47704107972533e-06
"Zbtb16",1.66380166373281e-09,0.115805437996989,0.267,0.211,5.28922548900662e-05
"Plekha1",2.24365024911372e-09,0.229580896292302,0.355,0.285,7.13256414193252e-05
"Aspa",2.51707881721349e-09,0.167786112768475,0.64,0.586,8.00179355992169e-05
"Eml1",2.99238445310061e-09,-0.232458076129662,0.2,0.258,9.51279017640684e-05
"Cd9",4.41324900781071e-09,0.173692386799797,0.2,0.149,0.000140297185958303
"Ctnna2",5.87888935748648e-09,0.193171595212814,0.516,0.451,0.000186889892674495
"Hba-a2",6.26211533330418e-09,0.151970297879055,0.027,0.008,0.00019907264644574
