"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ctif",0.000548260672152118,-1.06244982394497,0.056,0.632,1
"Lrrc49",0.000629208394866936,-1.03095171474752,0,0.421,1
"Lin7c",0.00103077417915332,1.01645275189665,0.389,0,1
"Adarb2",0.00114676295060662,-0.901563979525687,0.722,1,1
"Golga5",0.00168977992518811,-0.81672875808914,0,0.368,1
"Gm20663",0.00168977992518811,-1.30398268862921,0,0.368,1
"Malt1",0.00168977992518812,-0.916696247457238,0,0.368,1
"Pcsk7",0.00288118573726951,0.964489897274939,0.333,0,1
"Atp6v0c",0.0034232581870601,-1.27337382628688,0.167,0.684,1
"Shisa9",0.00413515398926695,-1.4309998019917,0.056,0.526,1
"Rad50",0.00434580511105509,-0.898243760162989,0,0.316,1
"Gm47339",0.0043458051110551,-0.685591141932542,0,0.316,1
"Ythdc1",0.0043458051110551,-0.732716489831223,0,0.316,1
"Bnip3l",0.0043458051110551,-0.743982361971925,0,0.316,1
"Pip4k2b",0.0043458051110551,-0.803049740189997,0,0.316,1
"Med27",0.0043458051110551,-0.818001293854371,0,0.316,1
"Il12b",0.0043458051110551,-0.827996805580159,0,0.316,1
"Cep250",0.0043458051110551,-0.833234279450925,0,0.316,1
"March6",0.0043458051110551,-0.83816917553982,0,0.316,1
"2610316D01Rik",0.0043458051110551,-0.867294661046727,0,0.316,1
"Zbtb38",0.0043458051110551,-0.910005005228921,0,0.316,1
"Nras",0.0043458051110551,-0.947118221021219,0,0.316,1
"Clu",0.0043458051110551,-0.955720979965885,0,0.316,1
"P2ry14",0.00434580511105511,-0.917832297288501,0,0.316,1
"Gatm",0.00544284560472043,1.21401456728885,0.556,0.105,1
"Nkain2",0.00772076823388764,1.95006241089052,0.278,0,1
"Gm10073",0.00772076823388764,0.902646329264337,0.278,0,1
"Ndufa4",0.00772076823388764,0.898373825063053,0.278,0,1
"Gm14211",0.00772076823388764,0.827483038182916,0.278,0,1
"Zfp326",0.00772076823388764,0.757384591970244,0.278,0,1
"Psmd4",0.00772076823388764,0.732528487719528,0.278,0,1
"Rcbtb1",0.00772076823388766,0.831627092471597,0.278,0,1
"Pkn2",0.00788607636766394,-1.13794463310869,0.111,0.579,1
"Plppr5",0.00880608879284804,-0.860225790312259,0.111,0.579,1
"Ncoa6",0.0105641392774061,-0.93033737975199,0.056,0.474,1
"Mcur1",0.0107810731596343,-0.592108094658105,0,0.263,1
"Gm15478",0.0107810731596343,-0.711739910893351,0,0.263,1
"Camk2n2",0.0107810731596343,-0.722692043858866,0,0.263,1
"Mroh1",0.0107810731596343,-0.784492407375192,0,0.263,1
"Olfr111",0.0107810731596343,-0.79192417030404,0,0.263,1
"Nectin2",0.0107810731596343,-0.534727844391854,0,0.263,1
"Uimc1",0.0107810731596343,-0.548415948713563,0,0.263,1
"Cdh4",0.0107810731596343,-0.550443745115423,0,0.263,1
"Bsdc1",0.0107810731596343,-0.614334771720128,0,0.263,1
"Emc6",0.0107810731596343,-0.668228004083212,0,0.263,1
"Mrps9",0.0107810731596343,-0.673302063334032,0,0.263,1
"Bcl6",0.0107810731596343,-0.71170413549798,0,0.263,1
"Gm21954",0.0107810731596343,-0.726335275430425,0,0.263,1
"Snf8",0.0107810731596343,-0.748427582710644,0,0.263,1
"Nudcd3",0.0107810731596343,-0.750100479559211,0,0.263,1
