"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"1",4.94138882739622e-10,0.207618399437355,0.764,0.657,1.57086750822926e-05
"2",8.14795391359963e-09,0.212385639488851,0.668,0.544,0.000259023454913332
"3",2.06087491779186e-08,0.162066760687204,0.553,0.424,0.000655152136366032
"4",2.41237793644055e-08,0.171697716713793,0.358,0.241,0.00076689494599445
"5",1.81661827917037e-07,0.214369060044312,0.502,0.385,0.0057750295094826
"6",4.83693901404797e-07,0.156906671046644,0.577,0.459,0.0153766291256585
"7",1.09063797908611e-06,0.184196393380688,0.352,0.248,0.0346713813551474
"8",1.81887693530079e-06,0.226117204526505,0.361,0.261,0.057822097773212
"9",3.84677523269361e-06,0.233557627808264,0.496,0.388,0.12228898464733
"10",7.14997776945727e-06,0.159663824794464,0.229,0.153,0.227297793291047
"11",1.16432738946868e-05,0.261869827719687,0.296,0.207,0.370139677112093
"12",5.76623819352087e-05,0.154494711983735,0.428,0.335,1
"13",7.74814337369106e-05,0.159458004252364,0.356,0.284,1
"14",0.000111091224050433,0.153767197904439,0.479,0.386,1
"15",0.000151628650848932,0.165280758206558,0.56,0.477,1
"16",0.000271820468909007,0.205301048442736,0.295,0.225,1
"17",0.000448775248635167,0.252415712596092,0.418,0.355,1
"18",0.00080286770370289,0.156561125818664,0.743,0.69,1
"19",0.00160401387939954,0.164779417046626,0.298,0.231,1
"20",0.00559818162686421,0.204520845940757,0.197,0.148,1
"21",9.82651549739812e-24,-0.428061040150714,0.232,0.443,3.12384927662286e-19
"22",4.90834066348458e-10,-0.27748996973345,0.288,0.373,1.56036149692175e-05
"23",6.81697992532722e-09,-0.20499906493338,0.996,0.984,0.000216711791826152
"24",8.18963305253674e-09,-0.2678178581751,0.309,0.406,0.000260348434740143
"25",2.17083982146443e-06,-0.176646077170013,0.616,0.627,0.0690109979243542
"26",3.43163650575625e-06,-0.230508750876883,0.809,0.826,0.109091724517991
"27",1.21777321710392e-05,-0.219518762259086,0.762,0.789,0.387130105717336
"28",2.40255662908986e-05,-0.357896894169208,0.085,0.101,0.763772752387666
"29",3.08300287346726e-05,-0.200700743108412,0.272,0.334,0.980086613475242
"30",5.11667061324429e-05,-0.224027527973317,0.485,0.475,1
"31",8.23619985522398e-05,-0.225553066328977,0.354,0.383,1
"32",0.000288311347739838,-0.258546172023335,0.491,0.524,1
"33",0.000567383184482958,-0.304497440015674,0.309,0.327,1
"34",0.000962041045430585,-0.233666752588627,0.389,0.444,1
"35",0.00130055069865687,-0.204706967868766,0.275,0.303,1
"36",0.0135454052790421,-0.212166593905368,0.27,0.323,1
"37",0.0144829559992561,-0.205363371053489,0.082,0.103,1
"38",0.0166336722556,-0.1972803167092,0.444,0.454,1
"39",0.0392578591663776,-0.180696814386851,0.655,0.661,1
"40",0.0593790908620928,-0.180813944932355,0.216,0.254,1
