"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Mdga2",4.5373608202842e-52,0.458239501477261,0.967,0.902,1.44242700476835e-47
"Asic2",3.07623429985208e-45,0.647471371301626,0.662,0.386,9.77934883922977e-41
"Ttr",4.38971090146124e-30,0.637144746786872,0.446,0.219,1.39548909557453e-25
"Galnt18",2.40333531057912e-17,0.534634087704,0.274,0.129,7.64020295233103e-13
"Pde10a",1.73658638788333e-16,0.688253390731548,0.314,0.188,5.52060812708111e-12
"Hbb-bs",2.79607088711526e-14,0.359684580379719,0.105,0.026,8.8887093501394e-10
"Pttg1",3.86032994736918e-14,-0.276708489398798,0.001,0.04,1.22719889026866e-09
"Kcnd3",1.54965124881403e-12,0.46528237868991,0.152,0.058,4.9263413199798e-08
"Kcnn2",2.58823156327427e-11,-0.253128969419671,0.628,0.701,8.2279881396489e-07
"Cdh19",1.05005674880441e-10,0.377229694098756,0.463,0.359,3.33813040444922e-06
"Hif3a",1.95778890113582e-10,0.331502830654336,0.386,0.255,6.22381091671077e-06
"Npas3",4.98724144846206e-10,-0.126740700346723,0.954,0.934,1.58544405646609e-05
"Wnk2",5.57499542261051e-10,0.279017269116673,0.392,0.264,1.77229104484788e-05
"Grm3",6.6247779122885e-10,-0.245710942014465,0.621,0.69,2.10601689831651e-05
"Rora",7.98030062520718e-10,0.157192354093973,0.967,0.952,2.53693756875336e-05
"Gm11417",1.45244612403024e-09,0.278765133786877,0.162,0.078,4.61732622829212e-05
"Zswim6",1.58173506126352e-09,-0.345731426412194,0.271,0.313,5.02833575975674e-05
"Tmcc3",3.0001023647792e-09,0.342309737363242,0.445,0.323,9.53732541763309e-05
"Msmo1",3.32862745901128e-09,-0.325004973880008,0.219,0.284,0.000105817066921969
"Ppp2r2b",3.80907902294551e-09,-0.264903559608059,0.574,0.633,0.000121090622139438
"Prkca",7.51294026423468e-09,0.346709434347163,0.497,0.391,0.000238836371000021
"Ccdc85a",9.15208364723618e-09,0.327514838741928,0.422,0.31,0.000290944739145638
"Plce1",6.71100747312102e-08,0.350153036655773,0.399,0.292,0.00213342927570517
"Gpr158",6.7460675447597e-08,-0.36903195374814,0.109,0.177,0.00214457487247911
"Pcyt2",8.66392793685848e-08,-0.30543525541746,0.315,0.394,0.00275426269112731
"Rmst",2.74319147202214e-07,0.28366332945016,0.608,0.503,0.00872060568955838
"Samd4",3.07130719546315e-07,-0.330573564080924,0.154,0.228,0.00976368557437735
"Tnik",3.16448447898145e-07,0.178051924764757,0.846,0.787,0.010059896158682
"Hes5",7.56288506495991e-07,0.333481997499051,0.182,0.104,0.0240424116215075
"Ldlr",9.18971406555941e-07,-0.365395359882654,0.09,0.143,0.0292141010144134
"Cdh20",1.1563988441544e-06,-0.209140658809773,0.521,0.587,0.0367619192556683
"Sgip1",1.45140701029663e-06,-0.188652857493654,0.537,0.587,0.04614022885733
"Plcl1",1.48282389644361e-06,0.190636727064857,0.528,0.42,0.0471389716679423
"Fmn2",1.75353083376468e-06,-0.193495423230753,0.608,0.668,0.055744745205379
"Plcb1",1.77342311141037e-06,0.213620338598411,0.872,0.825,0.0563771207117357
"Ephb1",2.02753637764336e-06,-0.259047683597105,0.196,0.233,0.0644553814452824
"Atp2b1",2.45742596150375e-06,-0.235294635602642,0.301,0.346,0.0781215713162043
"Zfp950",2.56311281409994e-06,0.0466656390804203,0.252,0.194,0.081481356360237
"Lhfp",2.94191931046981e-06,0.172983144421508,0.512,0.408,0.0935236148798353
"4930431P19Rik",3.31815327366311e-06,0.160707601200396,0.034,0.005,0.10548409256975
"Usp53",4.10181727382557e-06,-0.206562177665746,0.358,0.378,0.130396771134915
"Folh1",4.42715062053965e-06,0.306516790158998,0.214,0.136,0.140739118226955
"Mertk",5.24066208251599e-06,0.189666990627128,0.806,0.74,0.166600647603183
"Ccnd3",5.31134510660606e-06,0.126301011924625,0.342,0.26,0.168847660939007
