"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"1",6.44501742423982e-26,0.771404449280328,0.333,0.158,2.04887103916584e-21
"2",3.7191157125211e-24,0.648643870097514,0.378,0.22,1.18230688501046e-19
"3",1.05028866892922e-23,0.440192773926431,0.701,0.547,3.33886767852599e-19
"4",1.71257015559266e-18,0.582005639209585,0.22,0.085,5.44426052462905e-14
"5",3.57237869363253e-15,0.545302991753808,0.259,0.126,1.13565918670578e-10
"6",3.94558444286201e-12,0.390269952828645,0.13,0.045,1.25430129438583e-07
"7",1.05000530058034e-10,0.440408302222917,0.288,0.178,3.33796685054489e-06
"8",3.67084816419577e-09,0.344798260916187,0.421,0.309,0.000116696263139784
"9",8.71408766133869e-09,0.385980354575155,0.23,0.132,0.000277020846753957
"10",1.03495508463854e-08,0.379783578542452,0.131,0.056,0.000329012221406592
"11",9.34967878892767e-08,0.326601607360203,0.171,0.09,0.00297226288700011
"12",1.08744110928721e-07,0.357978332539456,0.224,0.133,0.00345697528642405
"13",3.269530683231e-07,0.356946387960896,0.313,0.26,0.0103938380419913
"14",6.40190052967042e-07,0.329269961955166,0.292,0.196,0.0203516417838223
"15",1.69521174544757e-06,0.313576899411567,0.161,0.089,0.0538907813877782
"16",1.99195082931664e-06,0.357005926344576,0.221,0.14,0.063324116863976
"17",3.21036996144676e-06,0.309163707183773,0.183,0.109,0.102057661074392
"18",3.81745914194498e-06,0.336761189997246,0.125,0.064,0.121357026122431
"19",5.79567565206307e-06,0.313376637290794,0.239,0.161,0.184244528979085
"20",7.37893188326588e-06,0.311559622218606,0.316,0.231,0.234576244569022
"21",2.13632181655915e-41,-1.00185180362272,0.188,0.431,6.79136705484154e-37
"22",9.02139601530249e-39,-0.318779058472468,0.952,0.979,2.86790179326466e-34
"23",5.64925047975097e-33,-0.605575449008361,0.219,0.467,1.79589672751283e-28
"24",6.79231144186275e-28,-0.359850205070247,0.902,0.946,2.15927580736817e-23
"25",5.43172263443468e-14,-0.302566724630569,0.825,0.879,1.72674462548679e-09
"26",1.45084485558974e-12,-0.410455362324061,0.323,0.457,4.6122357959198e-08
"27",2.01013882404209e-12,-0.379088435225454,0.386,0.507,6.39023132162981e-08
"28",4.97853887501236e-12,-0.360798650053431,0.339,0.48,1.58267750836643e-07
"29",3.16263085493748e-10,-0.292832991777906,0.738,0.813,1.00540034878462e-05
"30",4.40370400184075e-10,-0.393881127072031,0.233,0.334,1.39993750218517e-05
"31",6.91438828928358e-09,-0.367104020656884,0.245,0.345,0.000219808403716325
"32",8.15743169945685e-08,-0.303296612702347,0.384,0.477,0.00259324753725733
"33",2.45474128150345e-07,-0.310968236023019,0.275,0.377,0.00780362253389946
"34",1.06753925978383e-06,-0.325942437363971,0.168,0.257,0.0339370730685279
"35",4.85599158748798e-06,-0.324857905801166,0.113,0.183,0.154371972566243
"36",8.93272917137686e-06,-0.304866553165534,0.107,0.157,0.28397146035807
"37",1.46284697437666e-05,-0.300872475352103,0.203,0.283,0.46503905315434
"38",2.47219679783192e-05,-0.303881407594946,0.292,0.356,0.785911362030766
"39",7.97257439767441e-05,-0.310430158166939,0.213,0.276,1
"40",0.000199552768389481,-0.296716664367685,0.07,0.119,1
