"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ttr",7.38787429143511e-12,1.08232930702931,0.512,0.155,2.34860523724722e-07
"Cadps",0.000356589873905854,0.444187508008781,0.584,0.375,1
"Sdhaf2",0.000582093994361331,0.25072434219178,0.054,0,1
"Dgkz",0.000640315549534286,0.474802657564127,0.102,0.012,1
"Golga7",0.000653349181426072,-0.387700580376847,0,0.054,1
"Ano4",0.00100359727286649,-0.416352388637996,0.325,0.339,1
"Ddx31",0.0012534609466054,0.288280528407239,0.048,0,1
"Anxa5",0.0012534609466054,0.261775491455704,0.048,0,1
"Rmst",0.00125346094660544,0.400822088905039,0.048,0,1
"Flot1",0.00125346094660545,0.259855754054588,0.048,0,1
"Grin2d",0.00138917517977923,-0.328252194035455,0,0.048,1
"Mfap3",0.00162532265246596,0.5163480158576,0.175,0.054,1
"Igdcc3",0.00169094738601134,0.51099126493197,0.078,0.006,1
"Trpc5",0.00175247289660816,0.646000987169865,0.295,0.137,1
"Phlpp2",0.0017682937757652,0.399625258247543,0.12,0.024,1
"Prdm5",0.00189808232595238,0.494459786742767,0.193,0.065,1
"Gm28750",0.00223553659766207,0.395780204530204,0.102,0.018,1
"Rims1",0.00239162048217153,0.281856579331883,0.608,0.423,1
"Dclre1a",0.00270378715223739,0.267085269669154,0.042,0,1
"Sh3bp4",0.00270378715223741,0.25093076351175,0.042,0,1
"Ets2",0.00270378715223741,0.16912823311039,0.042,0,1
"Gja1",0.00270378715223744,0.29423598200872,0.042,0,1
"Casp2",0.00270378715223744,0.278861956234346,0.042,0,1
"Pycrl",0.00270378715223745,0.340582974072385,0.042,0,1
"Zfand2a",0.00270378715223748,0.271883278711637,0.042,0,1
"Med16",0.00270378715223749,0.292169472273773,0.042,0,1
"Atp11b",0.00285467087845648,0.47582973971234,0.169,0.054,1
"Uso1",0.00299894178210523,0.456282061152997,0.127,0.03,1
"A930024E05Rik",0.00308263763962117,0.46580989041548,0.072,0.006,1
"Ddx39b",0.00336886863960996,0.460116843653572,0.175,0.06,1
"Yipf4",0.00353279246539345,0.417563605649561,0.145,0.042,1
"Rubcn",0.00365530544521736,0.562589104926959,0.084,0.012,1
"Slc25a27",0.00370836328744468,0.444987959156464,0.428,0.256,1
"Shisa6",0.00374479549751915,-0.655249362064778,0.151,0.28,1
"Dock1",0.00385212230319684,-0.307581097225419,0.355,0.339,1
"Negr1",0.00413595703630393,0.269978665737214,0.705,0.53,1
"Ncoa1",0.0041458574066742,-0.321043966603202,0.633,0.69,1
"Chic1",0.00457595755893905,0.45767734333707,0.163,0.054,1
"Uqcc1",0.00461441365252323,0.460881339770067,0.163,0.054,1
"Atp5j",0.00469568571124635,0.426042574916762,0.12,0.03,1
"Tsen2",0.00475420542525754,0.385076810852713,0.084,0.012,1
"Fnta",0.004828788817277,0.322452754673307,0.139,0.042,1
"2700097O09Rik",0.00518781473536989,0.391913946326909,0.108,0.024,1
"Cox7c",0.00530689416503363,0.412170894401696,0.205,0.083,1
