"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Thy1",2.13366295983339e-06,0.776410999207916,0.265,0.056,0.0678291454931034
"Daglb",0.000232848978954908,0.537894172249227,0.108,0.007,1
"Zfand4",0.000637307443544675,0.309628551598085,0.06,0,1
"Timp4",0.000871817866878065,-0.591812720686802,0.024,0.134,1
"Hba-a2",0.00126108105600856,0.232487579182837,0.054,0,1
"AI504432",0.00152569079213637,-0.259130535358525,0,0.049,1
"Gm15965",0.00152569079213639,-0.265299782067667,0,0.049,1
"Pcgf5",0.00165422465330476,-0.469159731557619,0.024,0.127,1
"Nt5c3",0.0018576220486127,0.432245491579559,0.12,0.021,1
"Mthfr",0.00249760296421656,0.340071553623711,0.048,0,1
"Cish",0.00249760296421656,0.219228036514813,0.048,0,1
"Creg1",0.00249760296421658,0.433228616062674,0.048,0,1
"Gm30003",0.00274346075749844,0.595578039074381,0.145,0.035,1
"Rbfox3",0.00330670533487145,-0.445190008340221,0.018,0.106,1
"Slitrk5",0.00348916749445682,-0.460046592691653,0.018,0.106,1
"Rrp8",0.00357958739151169,-0.223656247761318,0,0.042,1
"Golga7",0.00357958739151169,-0.236867035201247,0,0.042,1
"Ppil6",0.00357958739151172,-0.271117471886566,0,0.042,1
"Zc3h8",0.00357958739151191,-0.288106877578858,0,0.042,1
"Eif4a2",0.00379249916459292,0.422452093630289,0.151,0.042,1
"Nlgn2",0.00389930837753432,0.485228577302539,0.096,0.014,1
"Nsfl1c",0.00413532787459056,-0.541891958255578,0.006,0.07,1
"Fnta",0.00434711024565861,0.412467218087629,0.139,0.035,1
"4930509J09Rik",0.00484561521947881,-0.367783415528981,0.006,0.07,1
"Sept8",0.00495579257264607,0.251414927708485,0.042,0,1
"Rnf19b",0.00495579257264607,0.248665737967639,0.042,0,1
"Efna5",0.00495579257264609,0.274156376501141,0.042,0,1
"Dvl1",0.00495579257264609,0.201363569753245,0.042,0,1
"Txlnb",0.00495579257264612,0.260067567832687,0.042,0,1
"9430060I03Rik",0.00495579257264613,0.197633399983054,0.042,0,1
"2810402E24Rik",0.00495579257264613,0.172441222517487,0.042,0,1
"Gphn",0.00537154954969906,0.380923149044465,0.663,0.514,1
"Cox5a",0.00573703705704121,-0.457218084088356,0.084,0.211,1
"Pdia4",0.00590622552788166,-0.443010688905675,0.006,0.07,1
