"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Thy1",1.37316024277667e-06,0.844745128451634,0.268,0.056,0.0436527641178704
"Ttr",5.71602884535947e-06,-0.745033060667114,0.155,0.401,0.181712556993977
"Sept8",1.15630057572055e-05,0.581114095310423,0.095,0,0.367587953021564
"Usp53",0.000111363506687106,-0.385362042971789,0,0.07,1
"Gm45251",0.00026218832061795,-0.46177407030465,0,0.063,1
"Tmem80",0.000376598342691537,0.605494450648744,0.101,0.007,1
"Sesn3",0.000421980142720278,-0.594339237359986,0.018,0.127,1
"Shprh",0.000496970732208035,-0.375790022236471,0.06,0.197,1
"Tmem132d",0.000617205942708942,-0.32769164785726,0,0.056,1
"Mrpl14",0.000617205942708942,-0.474618576822176,0,0.056,1
"Cntn1",0.00107960060241592,-0.447001341630614,0.095,0.246,1
"Gkap1",0.00113819698457812,0.592775558383497,0.226,0.077,1
"Gm45345",0.00133130110376362,0.427679471210281,0.054,0,1
"Zfand4",0.00133130110376362,0.32435713647882,0.054,0,1
"Hck",0.00145427798475497,-0.289085217139344,0,0.049,1
"Rpa2",0.00145427798475497,-0.309390825593862,0,0.049,1
"Gm7435",0.00145427798475502,-0.319851755414295,0,0.049,1
"Polr3c",0.00145427798475506,-0.263321270778492,0,0.049,1
"Eif4enif1",0.00146626385216371,0.518254141869925,0.107,0.014,1
"Tsen2",0.00154700619100458,-0.375346565183988,0.012,0.099,1
"Wnk2",0.00167134255481672,0.653395231947472,0.262,0.113,1
"Slc30a9",0.00183971343828794,-0.501688208457482,0.048,0.169,1
"Gm15614",0.00207641660185233,-0.472586999855634,0.042,0.155,1
"Bcdin3d",0.00262090611974176,0.330274144376273,0.048,0,1
"Shisa6",0.00276898142034266,0.742498658028161,0.28,0.141,1
"Gm37240",0.00281848767554352,-0.595976241124487,0.167,0.331,1
"Psmd3",0.00304811965229009,-0.416966078862638,0.012,0.092,1
"Tsc1",0.00307658679425685,-0.422315359620062,0.036,0.141,1
"Rbfox3",0.00321136699097754,-0.471848489062427,0.018,0.106,1
"Rmst",0.00343481474973174,-0.308925937983808,0,0.042,1
"Ptma",0.0039992569668627,0.561999592802836,0.274,0.127,1
"Kdm1a",0.00410677781576055,-0.395594096314363,0.083,0.211,1
"Car10",0.00426611252299276,-0.247303333211033,0.756,0.88,1
"Sdccag8",0.00427167087869314,-0.386981729447983,0.119,0.261,1
"Tent5d",0.00514691847665626,-0.454245818771871,0.024,0.113,1
"Msl1",0.00516960049687532,0.33390785147727,0.042,0,1
"Eif1a",0.00516960049687533,0.219000351550729,0.042,0,1
"Pias4",0.00516960049687536,0.27417556001124,0.042,0,1
"Dbp",0.00516960049687538,0.28628116552166,0.042,0,1
"Sh2d4b",0.00516960049687538,0.223936212425856,0.042,0,1
"Gm44987",0.0051696004968754,0.336992654180521,0.042,0,1
"Pdcd11",0.0051696004968755,0.30573673679776,0.042,0,1
"Slc15a2",0.00528070341988309,-0.474044454759997,0.048,0.155,1
"Senp1",0.00550082185269225,-0.361180516894928,0.018,0.099,1
"Uty",0.00551020282425324,-0.481003958749378,0.119,0.261,1
"Crim1",0.0055958154475144,-0.42778145187513,0.006,0.07,1
"Cep57l1",0.00561288660373159,-0.376507214507147,0.036,0.134,1
"Dnah9",0.00565923848911431,-0.349627491973911,0.006,0.07,1
"Dgkz",0.00581824943275982,-0.359771258287916,0.012,0.085,1
"Pcgf5",0.00587713631113149,-0.300509143685386,0.036,0.127,1
"Inpp5b",0.00641610482126426,-0.387574178540573,0.012,0.085,1
"Kcnip4",0.00677687800193358,0.21376724122196,0.792,0.634,1
"1110032A03Rik",0.00681280106768894,-0.265447792128823,0.03,0.113,1
"Cox5a",0.00690541492989795,-0.374001470211119,0.089,0.211,1
"Ckb",0.00693053840700928,-0.356423846460202,0.202,0.359,1
"Ap4m1",0.0072258183549686,-0.495969357091057,0.03,0.12,1
"Creb5",0.00738507564073578,-0.718730073377496,0.095,0.218,1
"Ddx18",0.00759676190164433,0.333974456859759,0.071,0.007,1
"Wdr78",0.00763979454700139,-0.433656368720893,0.03,0.12,1
"Frmd4a",0.00766881198731651,-0.282210374441523,0.327,0.5,1
"Aimp1",0.00776610906354831,-0.480969286642692,0.024,0.106,1
"Tab3",0.00785830081508536,-0.236947595472412,0.006,0.063,1
"Med25",0.00798455973618754,-0.232837287534093,0.018,0.092,1
"Unc79",0.00800819224272345,-0.251569640210869,0.232,0.387,1
"Slc25a20",0.00814970119118163,-0.149349558492094,0,0.035,1
"Stoml2",0.00814970119118163,-0.230901758598955,0,0.035,1
"Gm14636",0.00814970119118168,-0.111030626183533,0,0.035,1
"Sri",0.00814970119118168,-0.147301672267456,0,0.035,1
"Rnaseh2b",0.00814970119118168,-0.179699985101989,0,0.035,1
"Gm48321",0.00814970119118168,-0.199191697028981,0,0.035,1
"Prrg3",0.00814970119118168,-0.22309523714471,0,0.035,1
"Limd2",0.00814970119118168,-0.240790968994907,0,0.035,1
"Oplah",0.00814970119118168,-0.242599732133463,0,0.035,1
"Isoc2b",0.00814970119118168,-0.283025076507981,0,0.035,1
"Sdk2",0.0081497011911817,-0.131750697149448,0,0.035,1
"Mettl5os",0.0081497011911817,-0.19652888733944,0,0.035,1
"Pakap.1",0.0081497011911817,-0.206389906070455,0,0.035,1
"Socs3",0.0081497011911817,-0.220205861486632,0,0.035,1
"Plekhm1",0.00814970119118171,-0.216007960977158,0,0.035,1
"Gm37340",0.00814970119118171,-0.217694288977738,0,0.035,1
"Arid3a",0.00814970119118177,-0.184582767598663,0,0.035,1
"Plcd4",0.00814970119118177,-0.207853942184892,0,0.035,1
"1600002K03Rik",0.00814970119118177,-0.238273324559498,0,0.035,1
"Gm6851",0.00814970119118177,-0.242499946167807,0,0.035,1
"Gatc",0.00814970119118178,-0.279430782041836,0,0.035,1
