"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ttr",1.42320040026097e-13,-0.932326606443633,0.982,0.956,4.52435407242961e-09
"Car10",2.69630602353569e-07,0.642575486124079,0.826,0.578,0.00857155684881997
"Vat1l",4.37951212625148e-07,0.576037246611111,0.884,0.711,0.0139224690493535
"Pid1",2.44674469645466e-06,0.462657458306119,0.884,0.689,0.0777820139002936
"Nhsl2",2.86549104573564e-06,0.481854595179949,0.891,0.822,0.0910939603439359
"Gmnc",1.08947468651506e-05,0.567316311353578,0.826,0.622,0.346344002843136
"Creld1",1.14010790473319e-05,0.458585776081194,0.123,0,0.362440302914681
"Otx2",6.10309113009431e-05,0.470917686915812,0.576,0.311,1
"Arid5b",6.92629683257051e-05,0.557457823754735,0.736,0.522,1
"Ammecr1",0.000136511127627215,0.612207413732709,0.254,0.067,1
"Wdr17",0.00022388874309907,0.349354276243014,0.964,0.889,1
"Upf3a",0.000279329897516372,-0.486101063551742,0.022,0.133,1
"Zbed4",0.000398131792839164,0.259041840807852,0.083,0,1
"Kcnq1ot1",0.000433851741526545,0.38944694532086,0.83,0.667,1
"Akt2",0.000438932820292822,0.451941701823883,0.134,0.011,1
"Dnaja4",0.000548028683221312,0.244555831293613,0.08,0,1
"Rasgrp1",0.000665860649495713,0.287449121427489,0.123,0.011,1
"Gm26693",0.000748687588968863,0.588207788727761,0.243,0.089,1
"Malat1",0.000779372210884465,-0.181105466656446,1,1,1
"Zfhx4",0.000850139725560927,0.159424249745599,0.406,0.233,1
"Frmpd4",0.000942901955540037,0.233185116901479,0.957,0.889,1
"Zfp783",0.00103729364770546,0.255045859668074,0.072,0,1
"D030028A08Rik",0.00103729364770548,0.224851056668986,0.072,0,1
"Slc23a2",0.00105396743729528,0.453914452514582,0.797,0.622,1
"Snx24",0.00118123099256408,0.335833903430596,0.413,0.211,1
"Plxna2",0.00123323650083319,0.369971786657094,0.239,0.078,1
"Lrrc19",0.00127921131697688,0.21781016219257,0.196,0.067,1
"Cntn1",0.00136077107707738,0.260225470040568,0.797,0.6,1
"Rpl23a",0.00137823580710879,-0.136351158294795,0,0.044,1
"Pipox",0.0013782358071088,-0.387067854037745,0,0.044,1
"Setd6",0.0013782358071088,-0.17733365321959,0,0.044,1
"Mpl",0.00137823580710881,-0.269358490264152,0,0.044,1
"Gm28050",0.00137823580710882,-0.240731583813633,0,0.044,1
"Slc39a12",0.00138585447868796,0.326677781435234,0.605,0.389,1
"Slc6a20a",0.00142298711950227,0.579922023603572,0.576,0.378,1
"Rpl19",0.00142654239018615,0.258414715408944,0.069,0,1
"Bbx",0.00168906434027311,-0.427560303029616,0.257,0.322,1
"Cttnbp2nl",0.00196157163275678,0.218633891546708,0.065,0,1
