"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ttr",0,0.541409213394063,0.45,0.198,0
"Il12b",3.51404546872406e-266,0.126155426013793,0.058,0,1.11711505450738e-261
"Pttg1",9.4780559711893e-159,-0.0809773551247313,0,0.037,3.01307399324108e-154
"Hbb-bs",1.36608850181419e-123,0.192298972331511,0.092,0.028,4.34279534726731e-119
"Fth1",5.96307900520895e-95,-0.171665249967527,0.592,0.691,1.89566281575593e-90
"Pdzd2",5.96456849939874e-75,0.256816013673414,0.454,0.377,1.89613632595886e-70
"Opcml",1.10185220672272e-70,-0.0966769457460788,0.97,0.983,3.50278816517151e-66
"A230004M16Rik",1.14452341906494e-63,0.16532402595205,0.356,0.266,3.63843994920745e-59
"Cadm2",1.70281668289822e-62,-0.119188350052221,0.964,0.971,5.41325423493346e-58
"Fam155a",1.24922821168807e-60,0.0976102366381881,0.969,0.976,3.97129648495636e-56
"Samd12",1.55446077067968e-54,0.138120684734115,0.812,0.772,4.94163078999069e-50
"Ahi1",1.66389207861729e-53,-0.0966756551410075,0.934,0.954,5.28951291792436e-49
"Epha5",1.1601984772759e-51,-0.136860105189196,0.837,0.871,3.6882709592601e-47
"Spred2",3.23220476291156e-50,-0.14549438996389,0.491,0.564,1.02751789412958e-45
"Camk2a",1.28475879818971e-49,-0.106861604665777,0.903,0.924,4.08424821944509e-45
"Apoe",1.33496676742932e-47,0.22419112158435,0.387,0.309,4.24385935365782e-43
"Rnf112",2.18317425208501e-47,-0.147755128735282,0.451,0.52,6.94031094737826e-43
"Dpp10",2.91971028102848e-46,0.302098770476437,0.365,0.292,9.28175898338954e-42
"Caln1",2.56282850501839e-45,0.147706880335295,0.674,0.635,8.14723181745345e-41
"Nr3c2",2.6622016091285e-43,-0.113279227530269,0.775,0.831,8.4631389154195e-39
"Ndst4",1.41663240519093e-40,-0.173163866426342,0.265,0.334,4.50347441610195e-36
"Gm15577",2.80348418267461e-40,0.143240125075981,0.28,0.214,8.91227621672257e-36
"Prpf4b",3.9032304967546e-40,-0.109896941574962,0.588,0.645,1.24083697491829e-35
"Cacna1c",4.12905473117285e-40,0.125332156493303,0.855,0.837,1.31262649903985e-35
"Rgs6",5.19700822505033e-40,0.23541001740122,0.228,0.178,1.6521289147435e-35
"Atp2b1",9.86889731295509e-40,-0.100687581380868,0.869,0.889,3.13732245578842e-35
"Cdh4",2.60441553021809e-39,0.139080577511955,0.123,0.081,8.27943697056332e-35
"Hba-a1",3.36383446207383e-39,0.0619180992400101,0.028,0.008,1.06936297549327e-34
"Nrg1",1.34211605005113e-37,0.217559957088183,0.692,0.653,4.26658692311255e-33
"Hba-a2",1.45225058281722e-37,0.0429131879092414,0.024,0.007,4.61670460277595e-33
"Tnr",3.9666630134007e-37,0.127144504067166,0.792,0.765,1.26100217196008e-32
"Pcdh15",1.03084196462264e-36,0.26457195551554,0.337,0.278,3.27704660553537e-32
"Negr1",1.07655720062556e-36,0.115431731625407,0.914,0.899,3.42237534078866e-32
"Gria4",1.92489135931559e-35,0.18347429808386,0.52,0.479,6.11922963126427e-31
"Map1b",8.53436450930129e-35,-0.0912489820017754,0.83,0.868,2.71307447750688e-30
"Mycbp2",1.06496200666335e-34,-0.0860361596230632,0.917,0.938,3.3855142191828e-30
"Car10",3.20053952235294e-34,0.191411505968799,0.519,0.468,1.017451514156e-29
"Epha7",3.32085813144454e-34,-0.11534611250574,0.654,0.716,1.05570079998622e-29
"Rims1",1.26958664133245e-33,0.0836842909256159,0.933,0.931,4.03601593279585e-29
"Epha4",1.46935456537272e-33,-0.119609792345953,0.632,0.686,4.67107816331987e-29
"Zbtb16",2.42067622338285e-33,-0.115029929121871,0.546,0.6,7.69532971413407e-29
"Nkain2",8.75279252258968e-33,0.0868997957281339,0.972,0.975,2.78251274293126e-28
"Zbtb20",3.77849416625039e-32,-0.0768636606850142,0.786,0.838,1.201183295451e-27
"Tcf4",4.37721909815926e-32,-0.0761175477946301,0.921,0.947,1.39151795130483e-27
"Hbb-bt",4.76043855506718e-32,0.0433522768796292,0.02,0.005,1.51334341665586e-27
"Gm12296",5.13051875138538e-32,0.139759413395379,0.533,0.505,1.63099191106541e-27
"Elmo1",1.30788774071288e-31,0.203667293912019,0.188,0.152,4.15777512772623e-27
"Plp1",1.42921226772597e-31,-0.0781060643674951,0.243,0.305,4.54346579910085e-27
"Mgp",4.97395898256264e-31,0.0465048061943912,0.024,0.008,1.58122156055666e-26
"Mdga2",5.65332831755036e-31,0.0833837816152023,0.941,0.936,1.79719307214926e-26
"Gm15398",8.03707709569029e-31,0.216195635926284,0.192,0.147,2.55498680871994e-26
"Tenm4",1.25586270042279e-30,0.135545253103903,0.653,0.612,3.99238752464405e-26
"Atp2b4",1.87501166352306e-30,0.120747870798575,0.164,0.117,5.96066207833981e-26
"Cdh12",6.43144910642347e-29,0.128439359385986,0.647,0.617,2.04455767093202e-24
"Peg3",3.80702646249193e-28,-0.113253954039916,0.318,0.369,1.21025371242619e-23
"Gm12132",4.98388094634725e-28,0.0290043896551791,0.024,0.008,1.58437575284379e-23
"Arhgap39",8.22768814587461e-28,-0.095115065821664,0.658,0.7,2.61558206157354e-23
"Dlg2",2.40503091797645e-27,0.0480528048580879,0.988,0.994,7.64559328824714e-23
"Csmd1",2.69735688572308e-27,0.0518727393783442,0.986,0.993,8.57489753971366e-23
"Fgfr1",4.44444648523898e-27,-0.0967096818176004,0.177,0.225,1.41288953765747e-22
"Gm15414",4.90806370882911e-27,0.0983865168408192,0.167,0.125,1.56027345303677e-22
"Gria2",6.69401413712073e-27,-0.0560706215297855,0.977,0.985,2.12802709419068e-22
"Sgcz",1.40126206238197e-26,0.0400413473090135,0.406,0.346,4.45461209631229e-22
"Hs6st3",1.73583895797587e-26,-0.0889612901420089,0.668,0.725,5.51823204740528e-22
"Clstn2",4.61333002117631e-26,0.104538468301363,0.842,0.841,1.46657761373195e-21
"Zswim6",1.25029624184588e-25,-0.1180399345996,0.442,0.484,3.97469175282804e-21
