"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"1",0,0.541409213394063,0.45,0.198,0
"2",1.36608850181419e-123,0.192298972331511,0.092,0.028,4.34279534726731e-119
"3",5.96456849939874e-75,0.256816013673414,0.454,0.377,1.89613632595886e-70
"4",1.14452341906494e-63,0.16532402595205,0.356,0.266,3.63843994920745e-59
"5",1.33496676742932e-47,0.22419112158435,0.387,0.309,4.24385935365782e-43
"6",2.91971028102848e-46,0.302098770476437,0.365,0.292,9.28175898338954e-42
"7",2.56282850501839e-45,0.147706880335295,0.674,0.635,8.14723181745345e-41
"8",5.19700822505033e-40,0.23541001740122,0.228,0.178,1.6521289147435e-35
"9",1.34211605005113e-37,0.217559957088183,0.692,0.653,4.26658692311255e-33
"10",1.03084196462264e-36,0.26457195551554,0.337,0.278,3.27704660553537e-32
"11",1.92489135931559e-35,0.18347429808386,0.52,0.479,6.11922963126427e-31
"12",3.20053952235294e-34,0.191411505968799,0.519,0.468,1.017451514156e-29
"13",1.30788774071288e-31,0.203667293912019,0.188,0.152,4.15777512772623e-27
"14",8.03707709569029e-31,0.216195635926284,0.192,0.147,2.55498680871994e-26
"15",3.79863884004797e-25,0.163181453712694,0.229,0.188,1.20758728725125e-20
"16",5.21702274530531e-25,0.146428085060523,0.339,0.284,1.65849153073256e-20
"17",2.63651742480857e-23,0.144185189594006,0.725,0.703,8.38148889346644e-19
"18",5.07149446695414e-19,0.146026338655375,0.306,0.265,1.61222809104472e-14
"19",4.23238573813345e-16,0.314547715478243,0.09,0.074,1.34547542615262e-11
"20",5.54332907976686e-16,0.174750199154144,0.503,0.465,1.76222431445788e-11
"21",5.96307900520895e-95,-0.171665249967527,0.592,0.691,1.89566281575593e-90
"22",1.70281668289822e-62,-0.119188350052221,0.964,0.971,5.41325423493346e-58
"23",1.1601984772759e-51,-0.136860105189196,0.837,0.871,3.6882709592601e-47
"24",3.23220476291156e-50,-0.14549438996389,0.491,0.564,1.02751789412958e-45
"25",2.18317425208501e-47,-0.147755128735282,0.451,0.52,6.94031094737826e-43
"26",2.6622016091285e-43,-0.113279227530269,0.775,0.831,8.4631389154195e-39
"27",1.41663240519093e-40,-0.173163866426342,0.265,0.334,4.50347441610195e-36
"28",3.9032304967546e-40,-0.109896941574962,0.588,0.645,1.24083697491829e-35
"29",3.32085813144454e-34,-0.11534611250574,0.654,0.716,1.05570079998622e-29
"30",1.46935456537272e-33,-0.119609792345953,0.632,0.686,4.67107816331987e-29
"31",2.42067622338285e-33,-0.115029929121871,0.546,0.6,7.69532971413407e-29
"32",3.80702646249193e-28,-0.113253954039916,0.318,0.369,1.21025371242619e-23
"33",1.25029624184588e-25,-0.1180399345996,0.442,0.484,3.97469175282804e-21
"34",2.2600700450085e-24,-0.135212719665331,0.322,0.356,7.18476267308201e-20
"35",5.53066323400806e-22,-0.115907285682869,0.193,0.227,1.75819784209116e-17
"36",2.73220770233533e-21,-0.125952666522818,0.392,0.42,8.68568828572403e-17
"37",3.2870209181447e-20,-0.12958979732062,0.337,0.382,1.0449439498782e-15
"38",5.18124973315406e-20,-0.10977854582528,0.258,0.298,1.64711929016968e-15
"39",5.31843591219111e-18,-0.110057729665213,0.446,0.492,1.69073077648555e-13
"40",2.0327335516547e-13,-0.11191685599918,0.51,0.53,6.46205996071028e-09
