"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Thy1",1.9342660278506e-290,0.388504521044724,0.394,0.202,6.14903170253705e-286
"Il12b",5.46956246676712e-254,0.126155426013793,0.058,0,1.73877390818527e-249
"Pttg1",9.63772558766724e-148,-0.0789618770003061,0,0.036,3.06383296431942e-143
"Rsrp1",1.38411980457748e-130,0.23821302603309,0.599,0.491,4.4001168587518e-126
"Tshz2",2.33956839767066e-100,-0.42528967608404,0.188,0.292,7.43748793619502e-96
"Luc7l2",1.35053187074569e-93,0.150095181436602,0.86,0.821,4.29334081710053e-89
"AC149090.1",3.62096312182292e-78,-0.197050099541178,0.629,0.705,1.15110417642751e-73
"Lrrc4c",5.24289967542736e-75,-0.228182522660914,0.8,0.845,1.66671780681836e-70
"Gria1",8.07376053884783e-71,0.116770164086028,0.925,0.888,2.56664847529973e-66
"Frmd4a",2.08169480073457e-70,0.121285319430696,0.889,0.871,6.6177077715352e-66
"Prpf4b",3.1395588349977e-69,-0.150699531489222,0.588,0.645,9.9806575364577e-65
"Hbb-bs",5.30395477124851e-69,0.146864161399941,0.092,0.042,1.6861272217799e-64
"Prickle1",1.77016381528187e-67,-0.136778959174056,0.885,0.911,5.62735076878108e-63
"Cryab",2.75223408633783e-64,-0.127730164388903,0.076,0.137,8.74935216046795e-60
"Arglu1",1.63477729547317e-62,0.152894838317185,0.676,0.606,5.1969570223092e-58
"Zfp46",2.7262953339076e-62,0.0958503577514283,0.142,0.082,8.66689286649225e-58
"Gm21798",2.87046277777083e-57,-0.186902764963135,0.185,0.255,9.12520117053346e-53
"Asap1",3.18142669796543e-57,-0.200672775040103,0.449,0.504,1.01137554728321e-52
"Kcnip4",9.84365855597525e-57,0.136566211302984,0.955,0.934,3.12929905494453e-52
"Dpyd",3.40254170612228e-56,0.177230153260193,0.541,0.453,1.08166800837627e-51
"Gm26871",1.7267542014198e-55,0.146324563158139,0.794,0.756,5.48935160631355e-51
"Ube3a",3.61974875414638e-54,-0.117590458353169,0.918,0.932,1.15071812894313e-49
"Rbm28",3.9833708294704e-51,-0.145794632843442,0.34,0.401,1.26631358668864e-46
"Zfp692",4.86658645494141e-51,-0.150080075345983,0.361,0.423,1.54708783402588e-46
"Robo2",4.3993120121592e-50,0.144752429303092,0.745,0.689,1.39854128866541e-45
"Fgf1",3.22130871650096e-49,-0.151201855854011,0.08,0.129,1.02405404097566e-44
"Gm20754",4.37335409843135e-48,0.155040777432027,0.756,0.693,1.39028926789133e-43
"Srsf2",6.75834208325991e-48,0.135449799334982,0.39,0.308,2.14847694826833e-43
"Hecw2",2.6315613792416e-47,-0.162514991254948,0.512,0.56,8.36573362460904e-43
"Tnr",3.15285162394973e-47,0.138271476161204,0.792,0.747,1.00229153125362e-42
"Malat1",6.32026564112385e-47,0.0741636950951241,1,1,2.00921244731327e-42
"Vsnl1",1.42309897305109e-45,-0.15130778826808,0.497,0.548,4.52403163532942e-41
"Akap8l",3.3787222094902e-44,-0.11668604482544,0.674,0.71,1.07409579039694e-39
"Pdzrn3",2.55192199731377e-43,-0.234135783093109,0.111,0.163,8.11256002946048e-39
"B230303A05Rik",5.15656467192126e-43,0.0955329189986687,0.839,0.785,1.63927190920377e-38
"Astn2",3.42331518136399e-42,-0.200282242241458,0.439,0.485,1.08827189615561e-37
"Cdh20",1.47908559244089e-41,-0.225379186723472,0.134,0.187,4.70201309836958e-37
"Large1",3.29794335657885e-41,0.0933430622462046,0.883,0.866,1.04841619305642e-36
"Ahi1",5.17934010565166e-41,-0.101036782830457,0.934,0.947,1.64651221958666e-36
"E230029C05Rik",6.00987244838919e-39,0.0943163983854614,0.197,0.14,1.91053845134292e-34
"Cst3",4.91049475192275e-38,0.204785928334227,0.503,0.428,1.56104628163624e-33
"Negr1",3.50709298121781e-36,0.11398923943102,0.914,0.898,1.11490485872914e-31
"Dtx3",3.96231636305932e-36,-0.128106626733596,0.333,0.388,1.25962037181656e-31
"Cit",5.26299007536301e-36,-0.149322989899492,0.181,0.233,1.6731045449579e-31
"Fat3",1.63390182083271e-35,-0.134838063512798,0.611,0.645,5.19417388842718e-31
"Izumo4",5.32143421529967e-35,0.0835452144999496,0.163,0.113,1.69168393704376e-30
"A830036E02Rik",5.68492329000324e-35,0.0994300964465512,0.125,0.081,1.80723711389203e-30
"Rxfp1",1.75591795727614e-34,-0.150836392760111,0.065,0.105,5.58206318618086e-30
"Apoe",7.56753059377874e-34,0.175519183498334,0.387,0.318,2.40571797576226e-29
"Tyrobp",4.40070038527189e-33,0.0475016963672753,0.022,0.006,1.39898265247793e-28
"Tshz3",4.65549923159293e-33,-0.13905570324998,0.153,0.199,1.47998320572339e-28
"Cux2",6.38238039788064e-33,-0.135212982358823,0.073,0.114,2.02895872848625e-28
"6530403H02Rik",1.35322420138426e-32,0.154186292747924,0.321,0.256,4.30189973620056e-28
"Rmst",1.40993510421409e-32,-0.192621003800287,0.091,0.136,4.48218369629659e-28
"Cdh10",1.57789363923969e-32,-0.152157437252215,0.422,0.47,5.01612387914299e-28
"Ppm1e",7.58684334903784e-32,0.0872642847642551,0.863,0.855,2.41185750065913e-27
"Shisa6",8.78297483220973e-32,0.108971886240766,0.713,0.655,2.79210769915947e-27
"Gfap",2.40872551773803e-31,0.0480117685004826,0.023,0.007,7.65733842088919e-27
"Vwc2l",2.43346225115972e-31,-0.204798881526626,0.115,0.161,7.73597649643675e-27
"Tenm3",2.52725574311193e-31,-0.2197637764814,0.447,0.489,8.03414600735282e-27
"Cmss1",8.79547573159289e-31,-0.084597575303311,0.694,0.735,2.79608173507338e-26
"Kirrel3",1.48083369627166e-30,0.129743802159811,0.725,0.676,4.70757032044762e-26
"4930509J09Rik",1.05991493409876e-29,0.0909584461952242,0.623,0.556,3.36946957549995e-25
"Mir99ahg",1.09660528397154e-29,-0.100937902953287,0.776,0.801,3.48610819774553e-25
"9630028H03Rik",1.40069587673651e-29,-0.112144595774465,0.522,0.548,4.45281219214535e-25
"Zmym1",1.69265142671465e-29,-0.107051573623361,0.184,0.238,5.38093888552587e-25
"Mlip",2.18756914841483e-29,-0.114206465593236,0.312,0.363,6.95428232281074e-25
"R3hdm2",3.52210698025754e-29,-0.102179376311081,0.533,0.562,1.11967780902387e-24
"Cacnb4",8.32848300893955e-29,-0.115381879426232,0.653,0.679,2.64762474854188e-24
"Arpp21",1.3604028796384e-28,-0.0952645117382116,0.861,0.876,4.32472075437048e-24
"Rnf112",1.53414358471579e-28,-0.0917749914141661,0.451,0.46,4.87704245581149e-24
"Slc35f3",2.1134748802538e-28,0.100304072295531,0.673,0.612,6.71873664432682e-24
"Meis2",2.20075270046408e-28,-0.139918063159089,0.253,0.307,6.9961928347753e-24
"Maml2",2.36498104317737e-28,0.179440374825492,0.487,0.434,7.51827473626086e-24
"D830024N08Rik",3.93553844543347e-28,-0.113688037792448,0.367,0.405,1.2511076718033e-23
"1700111E14Rik",4.11818729890152e-28,-0.11623538205017,0.39,0.428,1.30917174232079e-23
"Nrxn1",4.96324857534826e-28,-0.0942774687975718,0.976,0.981,1.57781672210321e-23
"Zfp804b",5.91210080374914e-28,0.148494461534894,0.353,0.295,1.87945684551185e-23
"Kifc2",6.7157667026213e-28,-0.107058666260084,0.25,0.286,2.13494223476331e-23
"Spred2",1.03495423543314e-27,-0.108987888588459,0.491,0.53,3.29011951444195e-23
"Man2a1",1.36395874321765e-27,-0.108104019726279,0.22,0.251,4.33602484468891e-23
"Myo16",1.75798042709101e-27,0.0847160300437041,0.183,0.136,5.58861977772233e-23
"Gm28905",1.85513086822843e-27,-0.164290516727011,0.171,0.212,5.89746103009818e-23
