"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Thy1",0,0.446104238216403,0.432,0.202,0
"Ttr",0,-0.459978325434418,0.198,0.416,0
"Lrrc4c",2.43447150814231e-157,-0.346631381844017,0.79,0.845,7.73918492438442e-153
"AC149090.1",5.36363323015488e-150,-0.246433916419996,0.618,0.705,1.70509900386624e-145
"Ube3a",5.63183266566188e-109,-0.167755351350448,0.916,0.932,1.79035960441391e-104
"Gm15398",5.33958495291817e-108,-0.396250291918237,0.147,0.237,1.69745405653269e-103
"Luc7l2",5.07120741730828e-103,0.158954416313457,0.871,0.821,1.6121368379623e-98
"Pcdh15",4.66615560768722e-101,-0.428945072307894,0.278,0.377,1.48337086768377e-96
"Tshz2",1.46399019032043e-100,-0.396351220488997,0.185,0.292,4.65402481502864e-96
"Dpp10",3.21531168156134e-99,-0.398501655191946,0.292,0.399,1.02214758356835e-94
"Tmem181b-ps",1.04296760611175e-92,0.179214792931564,0.277,0.176,3.31559401982924e-88
"Vsnl1",2.02350748880969e-89,-0.218125607763499,0.467,0.548,6.432730306926e-85
"Gria4",1.628747994891e-87,-0.263012814562711,0.479,0.542,5.17778987575849e-83
"Gm21798",4.24247805975244e-86,-0.235204768400267,0.169,0.255,1.3486837751953e-81
"Zbtb20",7.5957494379263e-84,0.117261425421644,0.838,0.749,2.41468874631677e-79
"Gria2",1.48485805267727e-83,0.101597006736417,0.985,0.975,4.72036374946106e-79
"Arglu1",3.15984711371886e-82,0.171921804908569,0.691,0.606,1.00451539745123e-77
"Rsrp1",5.34276329475732e-81,0.182885662158047,0.589,0.491,1.69846445140335e-76
"Kcnip4",1.18185518070749e-79,0.142741226889267,0.958,0.934,3.7571176194691e-75
"Pdzrn3",1.26351947169146e-79,-0.291902355160686,0.09,0.163,4.01672840050714e-75
"Cux2",3.97036519543655e-77,-0.198749005241621,0.054,0.114,1.26217909562928e-72
"Gria1",5.35421167755322e-77,0.10708938326056,0.932,0.888,1.70210389229417e-72
"Car10",1.44280527952487e-76,-0.262160312152759,0.468,0.549,4.58667798360956e-72
"Gm20754",8.29065914791479e-74,0.157508351364837,0.781,0.693,2.63560054312211e-69
"Iqgap2",1.26502538831974e-71,0.158918579350305,0.665,0.565,4.02151570946846e-67
"Malat1",2.37974034544228e-69,0.0866654171111136,1,1,7.56519455816099e-65
"B230303A05Rik",8.2744931867339e-67,0.109585173789646,0.858,0.785,2.63046138406271e-62
"Fth1",1.03410103800709e-66,0.161885393119389,0.691,0.6,3.28740719982452e-62
"Cit",5.19406309626576e-66,-0.211436691007243,0.159,0.233,1.65119265830289e-61
"Tenm4",1.06714405579843e-65,-0.195070549755179,0.612,0.692,3.39245095338321e-61
"Asap1",2.95382293444294e-64,-0.204603433190026,0.468,0.504,9.3902031085941e-60
"Cdh20",2.45103135874731e-63,-0.283676816658751,0.125,0.187,7.7918286894577e-59
"Ptprd",3.69849525514016e-62,-0.177975422566572,0.969,0.968,1.17575164160906e-57
"Robo2",4.67818848503458e-62,0.159670346380236,0.762,0.689,1.48719611939249e-57
"Nfib",8.63534745303057e-62,0.13202302162665,0.801,0.726,2.74517695531842e-57
"Rmst",9.20398900743771e-62,-0.276271423448259,0.077,0.136,2.92594810546445e-57
"Scn3b",1.92309282394462e-61,0.182414013246333,0.435,0.344,6.11351208731994e-57
"Shisa6",1.18871419840446e-60,0.104793630391694,0.744,0.655,3.77892243672776e-56
"Ppm1e",2.21733042639794e-59,0.127537358844349,0.879,0.855,7.04889342551904e-55
"Ppp3ca",7.87620153896454e-58,0.110821452607014,0.979,0.969,2.50384446923683e-53
"2900097C17Rik",1.73695285131487e-57,0.131574333031334,0.204,0.133,5.52177311432998e-53
"Ldlr",2.266095736576e-57,0.0899607729421384,0.097,0.049,7.20391834657511e-53
"Epha7",2.646573578662e-57,0.173452347170241,0.716,0.64,8.4134574065665e-53
"Meis2",2.93738131907575e-57,-0.251128920339942,0.24,0.307,9.33793521334181e-53
"Arhgap12",1.19137058868964e-55,0.175461340144444,0.382,0.296,3.78736710144436e-51
"Rbm28",2.01338380336035e-55,-0.161704463291134,0.33,0.401,6.40054711088256e-51
"Tanc1",7.7709123480373e-55,0.127364339862562,0.623,0.531,2.47037303544106e-50
"Nrg3os",9.578868057632e-55,-0.119977987427579,0.868,0.882,3.04512215552121e-50
"Gm15414",4.36334919912478e-54,-0.139299116473632,0.125,0.185,1.38710871040177e-49
"Elmo1",5.30177626933107e-54,-0.221000010443676,0.152,0.21,1.68543467602035e-49
"Fhod3",1.38754308415292e-53,-0.163356982011117,0.087,0.144,4.41099946452212e-49
"Wipf3",1.39266795330502e-53,0.146563683864286,0.619,0.533,4.42729142355664e-49
"Ptk2b",1.9112454441146e-53,0.134388541086364,0.63,0.544,6.07584926684032e-49
"Gm32509",3.41807301438256e-53,-0.177324606707442,0.463,0.522,1.08660541127222e-48
"Hecw2",6.65098564608145e-53,-0.169781802698383,0.504,0.56,2.11434833688929e-48
"Camk2a",3.63628640442731e-52,0.102221607764657,0.924,0.901,1.15597544796744e-47
"Cryab",4.45800471974084e-52,-0.141279346981235,0.081,0.137,1.41719970040561e-47
"Pde4b",5.3851459667109e-52,-0.232060101156807,0.401,0.449,1.71193790281739e-47
"Rgs6",2.78819164159315e-51,-0.243038622626529,0.178,0.236,8.86366122862463e-47
"Ppfia2",3.70441033083096e-51,0.123604761213991,0.936,0.903,1.17763204417116e-46
"Sgcz",3.75306081607275e-51,-0.282335212117939,0.346,0.426,1.19309803342953e-46
"Necab1",1.36950927413766e-49,-0.196718576435638,0.143,0.199,4.35366998248362e-45
"Zeb2",5.01777630156264e-49,0.103080953569613,0.788,0.715,1.59515108626676e-44
"Rora",6.98946689590664e-49,-0.137491029531081,0.802,0.804,2.22195152620872e-44
"Atp2b1",1.8863425704193e-48,0.111504800313916,0.889,0.865,5.99668303136296e-44
"Fgf1",2.03752591646351e-48,-0.155487904296919,0.081,0.129,6.4772948884375e-44
"Epha6",1.24112765297595e-47,0.11274398052309,0.912,0.88,3.94554480881054e-43
"Mef2c",1.41720563301403e-47,-0.182523248780728,0.461,0.505,4.50529670735161e-43
"Slc7a14",1.5486462467382e-47,0.153464835331707,0.577,0.497,4.92314641838073e-43
"Nkain3",3.11265976501905e-47,0.0487050726880836,0.696,0.617,9.89514539299557e-43
"4930445B16Rik",7.22600311449007e-47,-0.171739693847387,0.097,0.148,2.29714639009639e-42
"Galnt17",2.12711660863981e-46,0.104110457796593,0.86,0.812,6.76210369886595e-42
"Gm20388",2.46632433665334e-46,-0.0929192722426939,0.967,0.968,7.84044506622096e-42
"Rasgef1b",2.60689438610843e-45,-0.184479952640358,0.279,0.332,8.28731725343869e-41
"Slc24a2",9.84840619672417e-45,0.098861184704929,0.891,0.854,3.13080832993861e-40
"Gm48742",2.29099323147104e-44,-0.17034670829036,0.137,0.19,7.28306748284645e-40
"Camk2d",2.30068206003858e-44,-0.198733617652231,0.183,0.234,7.31386826886265e-40
"Srsf2",2.88530842021815e-44,0.13531072097737,0.385,0.308,9.17239546787349e-40
"Cyp7b1",3.43688251417992e-44,0.185113509785056,0.433,0.359,1.0925849512578e-39
"4930570B17Rik",7.39663435109868e-44,-0.151792644424519,0.25,0.314,2.35139006021427e-39
"Kcnma1",8.13975004175883e-44,-0.104032850030146,0.929,0.934,2.58762653827513e-39
"Gm12296",9.04656170969731e-44,-0.0989419933249442,0.505,0.488,2.87590196751277e-39
"Nr3c2",1.24426179035869e-43,0.0605339481711655,0.831,0.766,3.95550823155029e-39
"Arpp21",1.25794742152544e-43,-0.127590589242805,0.868,0.876,3.99901485302938e-39
"Kcnd2",1.52443984506454e-43,0.107702774600379,0.979,0.974,4.84619426746017e-39
"Arhgap39",3.06159858696836e-43,0.125051458100196,0.7,0.643,9.7328219079724e-39
"Ksr1",3.2340668077302e-42,0.128321585195304,0.503,0.426,1.02810983817743e-37
"Frmd4b",9.94655190536715e-42,0.189435672675248,0.469,0.4,3.16200885071622e-37
"Vwc2l",1.62480135547093e-40,-0.185200393140156,0.107,0.161,5.16524350904207e-36
"Rxfp1",7.27505987756923e-40,-0.165890296660807,0.063,0.105,2.31274153507926e-35
"Sorcs1",1.19817606175006e-39,-0.202702443386964,0.159,0.214,3.80900170030344e-35
"Strbp",3.41609040798316e-39,-0.0959316170485884,0.902,0.913,1.08597514069785e-34
"Hs6st3",4.10061739184039e-39,-0.0340489715082968,0.725,0.671,1.30358626886606e-34
"9330162G02Rik",1.14008036006814e-38,-0.103958609497779,0.804,0.811,3.62431546465663e-34
