"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"1",0,0.446104238216403,0.432,0.202,0
"2",5.07120741730828e-103,0.158954416313457,0.871,0.821,1.6121368379623e-98
"3",1.04296760611175e-92,0.179214792931564,0.277,0.176,3.31559401982924e-88
"4",3.15984711371886e-82,0.171921804908569,0.691,0.606,1.00451539745123e-77
"5",5.34276329475732e-81,0.182885662158047,0.589,0.491,1.69846445140335e-76
"6",1.03410103800709e-66,0.161885393119389,0.691,0.6,3.28740719982452e-62
"7",4.67818848503458e-62,0.159670346380236,0.762,0.689,1.48719611939249e-57
"8",1.92309282394462e-61,0.182414013246333,0.435,0.344,6.11351208731994e-57
"9",2.646573578662e-57,0.173452347170241,0.716,0.64,8.4134574065665e-53
"10",1.19137058868964e-55,0.175461340144444,0.382,0.296,3.78736710144436e-51
"11",3.43688251417992e-44,0.185113509785056,0.433,0.359,1.0925849512578e-39
"12",9.94655190536715e-42,0.189435672675248,0.469,0.4,3.16200885071622e-37
"13",1.47010071073159e-38,0.17987545407717,0.253,0.192,4.67345015941574e-34
"14",6.57716085981734e-36,0.197771225942802,0.43,0.372,2.09087943733593e-31
"15",6.96819678684625e-35,0.172646970169586,0.53,0.466,2.21518975853842e-30
"16",9.9504394321359e-32,0.161317241244201,0.357,0.301,3.163244695476e-27
"17",5.99990902370405e-30,0.17101405421532,0.4,0.339,1.90737107863552e-25
"18",5.44627706530891e-25,0.162160344873707,0.466,0.432,1.7313714790617e-20
"19",6.75523339455536e-24,0.172441066312206,0.458,0.41,2.14748869612915e-19
"20",4.50338539949036e-19,0.191497748378418,0.458,0.43,1.43162621849799e-14
"21",0,-0.459978325434418,0.198,0.416,0
"22",2.43447150814231e-157,-0.346631381844017,0.79,0.845,7.73918492438442e-153
"23",5.36363323015488e-150,-0.246433916419996,0.618,0.705,1.70509900386624e-145
"24",5.33958495291817e-108,-0.396250291918237,0.147,0.237,1.69745405653269e-103
"25",4.66615560768722e-101,-0.428945072307894,0.278,0.377,1.48337086768377e-96
"26",1.46399019032043e-100,-0.396351220488997,0.185,0.292,4.65402481502864e-96
"27",3.21531168156134e-99,-0.398501655191946,0.292,0.399,1.02214758356835e-94
"28",1.628747994891e-87,-0.263012814562711,0.479,0.542,5.17778987575849e-83
"29",4.24247805975244e-86,-0.235204768400267,0.169,0.255,1.3486837751953e-81
"30",1.26351947169146e-79,-0.291902355160686,0.09,0.163,4.01672840050714e-75
"31",1.44280527952487e-76,-0.262160312152759,0.468,0.549,4.58667798360956e-72
"32",2.45103135874731e-63,-0.283676816658751,0.125,0.187,7.7918286894577e-59
"33",9.20398900743771e-62,-0.276271423448259,0.077,0.136,2.92594810546445e-57
"34",2.93738131907575e-57,-0.251128920339942,0.24,0.307,9.33793521334181e-53
"35",5.30177626933107e-54,-0.221000010443676,0.152,0.21,1.68543467602035e-49
"36",5.3851459667109e-52,-0.232060101156807,0.401,0.449,1.71193790281739e-47
"37",2.78819164159315e-51,-0.243038622626529,0.178,0.236,8.86366122862463e-47
"38",3.75306081607275e-51,-0.282335212117939,0.346,0.426,1.19309803342953e-46
"39",1.95382329881039e-37,-0.231528037448908,0.44,0.489,6.21120426691822e-33
"40",9.91898199856447e-36,-0.315876637333161,0.151,0.193,3.15324437734365e-31
