"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Gm27151",6.85415058295629e-07,0.490390253090021,0.329,0.13,0.021789344703218
"Flt1",7.80520649111253e-07,0.511822610874107,0.175,0.032,0.0248127514352467
"Sumo1",1.46009877844822e-06,0.0937547657162432,0.321,0.162,0.0464165401668689
"Hbb-bs",2.98716300771584e-06,0.680958837109322,0.207,0.054,0.0949619120152866
"Asap3",4.0325608996977e-06,0.447811650838755,0.184,0.043,0.12819511100139
"Atf2",5.51621171003306e-06,0.245969941454096,0.332,0.157,0.175360370261951
"Rsrp1",6.70149638109063e-06,0.193502505368693,0.551,0.351,0.213040569954871
"Ogt",9.06474024041619e-06,0.0838785424084052,0.496,0.319,0.288168092242831
"Kcmf1",9.24583278521401e-06,0.135785803424925,0.294,0.146,0.293925024241953
"Cmss1",9.9533263916655e-06,-0.345481839519972,0.653,0.627,0.316416245991046
"Dst",1.01703432146145e-05,0.370435876056696,0.338,0.151,0.323315210792594
"Arglu1",1.03782831525113e-05,0.0326014964191992,0.636,0.459,0.329925621418335
"Birc6",1.2708606234982e-05,0.248150542031866,0.426,0.243,0.404006592210078
"Plcb1",1.32929735896475e-05,0.303518435617882,0.286,0.124,0.422583630414895
"Aff3",1.86945797890269e-05,0.43333526135514,0.443,0.243,0.594300691493165
"Grk5",2.03033815388845e-05,0.225511732558836,0.437,0.259,0.645444499121137
"Bmpr1a",2.49124260430108e-05,0.380803642045628,0.408,0.216,0.791966023907314
"Nr3c2",2.52294706322176e-05,-0.387511522394658,0.446,0.443,0.802044871398197
"Hnrnph3",3.02464796154991e-05,0.158939261208078,0.373,0.216,0.961535586976716
"Lims1",3.12634287203991e-05,0.204062608523953,0.376,0.211,0.993864399021488
"Ahcyl1",3.28480036023247e-05,0.137106693587018,0.3,0.157,1
"Diaph2",3.55253292452022e-05,-0.102333532079935,0.735,0.622,1
"Atp6v0c",3.5883085139608e-05,0.0961102862230521,0.554,0.389,1
"Sulf1",3.88184915991475e-05,0.199864374460177,0.359,0.195,1
"Cgnl1",4.03865266794823e-05,0.204011154769608,0.362,0.2,1
"Agfg1",4.10043528517739e-05,0.237668854559,0.14,0.032,1
"Luc7l2",4.18535402469394e-05,0.0051784271962374,0.679,0.535,1
