"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ttr",2.35061797414915e-10,-0.626950912190011,0.243,0.567,7.47261453982013e-06
"Zbtb16",6.40414555879115e-07,1.01876674164209,0.341,0.138,0.0203587787313971
"Gm27151",5.15023270248552e-06,-0.71444895587543,0.13,0.34,0.163725897612015
"Thsd4",0.000136016258171668,-0.485301258491237,0.016,0.118,1
"Plxna2",0.000178024951278528,0.560522694583203,0.514,0.33,1
"Col4a6",0.000308164733787551,0.484203970911822,0.422,0.232,1
"Malat1",0.000339898640536643,-0.165546561540154,1,1,1
"Polm",0.000478845653075817,-0.318617949213215,0,0.049,1
"Apod",0.000687157351472385,0.530578744583786,0.708,0.611,1
"Arhgap26",0.000843690066244443,-0.427216288091205,0.011,0.089,1
"Grhpr",0.000892471818913666,0.374627943992467,0.043,0,1
"Dglucy",0.000892471818913714,0.340295652644864,0.043,0,1
"Cp",0.000970361884396975,0.550841441153512,0.508,0.369,1
"Fbxo32",0.000971805994497655,-0.260709784824043,0,0.044,1
"Nyap2",0.000971805994497752,-0.194718733259246,0,0.044,1
"Gm16043",0.000971805994497752,-0.309121178786113,0,0.044,1
"Gm13436",0.00097180599449776,-0.314830421855491,0,0.044,1
"Ercc1",0.00097180599449776,-0.316858232640791,0,0.044,1
"Gm49164",0.000971805994497776,-0.298451725401637,0,0.044,1
"Strbp",0.00143038823037145,-0.343570971779475,0.308,0.488,1
"Tm2d3",0.00148912620737257,0.533688720596544,0.065,0.005,1
"Sugt1",0.00154688324294714,-0.390709737252667,0.065,0.182,1
"Mt3",0.00166817875617138,-0.187664738643214,0.059,0.158,1
"Thy1",0.00187552239021412,0.719793244220678,0.173,0.064,1
"Gm42439",0.00188319736328531,-0.574777043666835,0.086,0.212,1
"Kcnmb4",0.00197508218696631,-0.186603283443905,0,0.039,1
"Pxylp1",0.00197508218696632,-0.175893266544396,0,0.039,1
"Pcdh10",0.00197508218696634,-0.206912348764343,0,0.039,1
"Tbkbp1",0.00197508218696634,-0.263999650693589,0,0.039,1
"Abca1",0.00199538669257405,0.572600486620556,0.297,0.163,1
"Zfp873",0.00200377922320678,0.300466517827151,0.038,0,1
"Plekhh1",0.00200377922320678,0.230072548083666,0.038,0,1
"Decr2",0.00200377922320679,0.234588019368379,0.038,0,1
"Cldn34c1",0.0020037792232068,0.261946969914288,0.038,0,1
"Zfp189",0.00200377922320682,0.171518929559732,0.038,0,1
"Cbr4",0.00200377922320688,0.246111769502192,0.038,0,1
"Elmo1",0.00209463459286148,-0.435558745860277,0.173,0.325,1
"Ctr9",0.00228126091006034,0.550236659155634,0.108,0.025,1
"Flt1",0.00243016485601013,-0.454045644563316,0.032,0.123,1
"Ptn",0.00301228463779411,0.30076556227867,0.686,0.665,1
"A930015D03Rik",0.00305500071031055,-0.477015889738386,0.086,0.207,1
"Bhlhe40",0.00307974156991433,-0.446781110895355,0.011,0.079,1
"Eya2",0.00328438335023067,0.115843695770923,0.416,0.502,1
"Dmpk",0.00330194821216462,-0.293600762362456,0.005,0.064,1
"5330438D12Rik",0.00368102677921507,-0.48780673223108,0.151,0.286,1
"Rspo2",0.00398913389385551,-0.639588354513089,0.016,0.089,1
"Rnf144a",0.00402379751786469,-0.201091729063887,0,0.034,1
"Pex5",0.0040237975178647,-0.204463160951453,0,0.034,1
"Rbpms2",0.0040237975178647,-0.216058514092738,0,0.034,1
"Nop58",0.00402379751786471,-0.197875177169432,0,0.034,1
"4930578M01Rik",0.00402379751786474,-0.282255671293663,0,0.034,1
"Prodh",0.00416789129884606,-0.55634846683831,0.07,0.172,1
"Kcnt1",0.00424058797984153,0.0524013319108693,0.108,0.182,1
"Get4",0.00424901031904204,0.377089205663412,0.059,0.005,1
"Gm26749",0.00433337397246735,-0.558193412319713,0.022,0.094,1
"Med13l",0.00446815499500986,-0.497432663651819,0.076,0.187,1
"Ppat",0.00451438480534365,0.267550003112192,0.032,0,1
"Hapln1",0.00451438480534367,0.249730933173029,0.032,0,1
"Trem2",0.0045143848053437,0.25079360334971,0.032,0,1
"Prmt5",0.0045143848053437,0.178422901283997,0.032,0,1
"Tyrobp",0.00451438480534371,0.296924130980382,0.032,0,1
"Fcrls",0.00451438480534371,0.259975308332549,0.032,0,1
"Tbcc",0.00451438480534373,0.219184364355129,0.032,0,1
"Ptrhd1",0.00451438480534373,0.135369115230191,0.032,0,1
"Imp4",0.00451438480534382,0.309018575424157,0.032,0,1
"Rhog",0.00451438480534382,0.257533800602958,0.032,0,1
"Nelfe",0.00451438480534385,0.157591478160469,0.032,0,1
"Tbc1d16",0.00470480226301466,-0.499411798788247,0.059,0.163,1
"Itih2",0.00478641507226158,0.531528667857787,0.103,0.025,1
"Zbtb20",0.0050403603443513,0.228093809338441,0.978,0.961,1
"Rela",0.00515457234914381,-0.242633079509109,0.005,0.059,1
"Aox3",0.00551151772328352,0.453188183613761,0.546,0.399,1
"Sdccag8",0.00572405736181747,-0.570812993382098,0.103,0.202,1
"Stim1",0.00583426068235772,0.552790645173262,0.33,0.202,1
"Rap2b",0.00623944204264505,-0.322805215489196,0.005,0.059,1
"Slc22a8",0.00650016185590056,-0.237855349940134,0.222,0.36,1
"Mill2",0.00659325342753939,-0.512261326325016,0.103,0.212,1
"Ankfn1",0.00690347970974245,-0.802721809216027,0.027,0.099,1
"Lamc1",0.00717902812679361,0.609379781249013,0.335,0.217,1
"Paxx",0.00739919297226361,-0.48260552792887,0.022,0.094,1
"Dock4",0.00792324997627771,0.524019412517149,0.259,0.143,1
"Gm19522",0.00818818684278402,-0.586456693190503,0.076,0.167,1
"Ppp3cc",0.00819086636794914,-0.510938341304143,0.103,0.217,1
"Zfp607a",0.00822866885766706,-0.211898975235153,0,0.03,1
"D030056L22Rik",0.00822866885766708,-0.213897318355282,0,0.03,1
"4930447C04Rik",0.00822866885766708,-0.255924794229631,0,0.03,1
"Sgsm1",0.00822866885766713,-0.154036623574801,0,0.03,1
"Ahr",0.00822866885766713,-0.211336715401158,0,0.03,1
"Ptprf",0.00822866885766713,-0.219746194294745,0,0.03,1
"Gm27253",0.00822866885766713,-0.231506434493086,0,0.03,1
"Acer2",0.00822866885766715,-0.12455884542186,0,0.03,1
"Gm32647",0.00822866885766715,-0.189718387921778,0,0.03,1
"Zfp27",0.0082286688576672,-0.147144867412036,0,0.03,1
"Eef1e1",0.0082286688576672,-0.191264611594518,0,0.03,1
"Hells",0.0082286688576672,-0.220143634212123,0,0.03,1
"Kcp",0.0082286688576672,-0.222368799115071,0,0.03,1
"Gm5432",0.00822866885766723,-0.188573807107147,0,0.03,1
"Carmil3",0.00822866885766726,-0.140459397980552,0,0.03,1
"A730091E23Rik",0.00822866885766728,-0.249906680601072,0,0.03,1
"2310030G06Rik",0.00822866885766739,-0.171308398104499,0,0.03,1
"Rcc1l",0.00822866885766739,-0.180622459371621,0,0.03,1
"Fkbp5",0.0088260983617917,0.521050206564208,0.357,0.222,1
"Pdlim5",0.00900558923163155,0.462858693990787,0.335,0.212,1
"Vapb",0.00927194776343788,0.331527017962796,0.114,0.034,1
"Ccdc73",0.00929029206313045,-0.405694886866502,0.011,0.069,1
"Susd6",0.00937015581003685,0.512952649128834,0.4,0.315,1
"Actn4",0.00940286894982113,0.543251876562956,0.2,0.094,1
"Ppp4r1",0.0096602473197375,0.567066846325624,0.173,0.089,1
"Tmx1",0.00991182426057683,-0.25225455957819,0.005,0.054,1
"Sept10",0.00993895919026768,0.324598035179889,0.065,0.01,1
"Ahcyl1",0.0101807230503797,-0.277764683242331,0.157,0.276,1
"Atp13a5",0.0102226104051785,-0.198284593523519,0.065,0.158,1
"Gm26648",0.0102273366210098,0.163867631829072,0.027,0,1
"Gm27200",0.0102273366210107,0.213788143379353,0.027,0,1
"Nudt12",0.0102273366210108,0.186448950627544,0.027,0,1
"Armcx2",0.0102273366210108,0.181659632719977,0.027,0,1
"Sertm1",0.0102273366210108,0.180925633120375,0.027,0,1
"Lgalsl",0.0102273366210108,0.20933026602537,0.027,0,1
"Lsm5",0.0102273366210108,0.192122262549893,0.027,0,1
"Pard6a",0.0102273366210108,0.164967426849828,0.027,0,1
"Fanci",0.0102273366210108,0.286490835335997,0.027,0,1
"Gm9844",0.0102273366210108,0.236897254407846,0.027,0,1
"Klhl11",0.0102273366210108,0.206188512597166,0.027,0,1
"Mx2",0.0102273366210109,0.23676796376893,0.027,0,1
"Kcnk6",0.0102273366210109,0.22869887960072,0.027,0,1
"Rrp15",0.0102273366210109,0.2184314851642,0.027,0,1
"Psme2",0.0102273366210109,0.177739633411128,0.027,0,1
"Bmp6",0.0102722907272007,0.331946519554588,0.686,0.611,1
"Sat2",0.0102970828279984,0.39643587404387,0.065,0.01,1
"Tspan31",0.0103603130358891,0.334214844728337,0.065,0.01,1
"Sgce",0.0108237459864894,0.407635494113958,0.173,0.074,1
"BC005561",0.0109184318709643,-0.318207754974648,0.114,0.227,1
"Mta1",0.010936514745653,-0.323305534696528,0.005,0.054,1
"Myo1e",0.0109514270866222,-0.454644426501822,0.038,0.118,1
"Apoe",0.0111857542267364,0.322041949029606,0.676,0.621,1
"C1ql1",0.011186656566197,-0.35767421849962,0.005,0.054,1
"Adra1a",0.0112200537727133,0.627051216804626,0.157,0.064,1
"Tsc22d4",0.0112325909907517,-0.373205028253054,0.054,0.143,1
"Ube2j2",0.0112433296034587,-0.315536189552914,0.016,0.079,1
"Taf12",0.0112644395096522,-0.33850428656149,0.016,0.079,1
"Ankrd52",0.0112907417824534,-0.393525530891034,0.022,0.089,1
"Sfi1",0.0116160343024608,0.434082674613264,0.135,0.049,1
"Tsc22d2",0.0120705609718001,0.485884199170488,0.259,0.172,1
"Gm26672",0.0123433068287707,-0.463715715764759,0.065,0.158,1
"Gm42418",0.0124023477102791,0.257334618385136,0.924,0.887,1
"Brd4",0.0128666545137117,-0.403733176040213,0.178,0.305,1
"Zic4",0.0128965339723552,-0.343100685924959,0.254,0.394,1
"Epha7",0.0128997416622588,0.539177214315621,0.346,0.232,1
"5031425E22Rik",0.0133862262609139,-0.346726069868698,0.162,0.286,1
"Mrps18a",0.0134757658249914,0.340841223640806,0.092,0.025,1
"Prkca",0.0139935117325742,-0.278280741377732,0.238,0.374,1
"Txlna",0.0147640373999473,-0.261802736970524,0.011,0.064,1
"Cd99l2",0.0151625362894469,-0.372635364753212,0.016,0.074,1
"Nrp1",0.0151669946358342,0.667448053017927,0.162,0.079,1
"Bicd1",0.0153174381512893,-0.335714836821283,0.059,0.148,1
"Srpk2",0.0155548091041537,-0.385496887800554,0.216,0.335,1
"Gm17917",0.0158483707988639,-0.327615677851112,0.005,0.049,1
"Ppcdc",0.0159882641913047,0.332610697216138,0.081,0.02,1
"Atp1b1",0.0160226806979853,0.390335298306878,0.4,0.291,1
"Tcf20",0.0161044906811838,-0.434081068692839,0.114,0.222,1
"Dnajb12",0.0161299207431577,-0.460350445972076,0.032,0.103,1
"Slc24a3",0.0161624414265181,0.294928262414947,0.73,0.714,1
"Sulf1",0.0161838342629088,-0.295042089263797,0.195,0.32,1
"Gm47271",0.016655003414301,-0.40933319239342,0.07,0.163,1
"Nap1l3",0.0169258270328714,-0.145855285460131,0,0.025,1
"4933408B17Rik",0.0169258270328715,-0.209069248024414,0,0.025,1
"Bfsp2",0.0169258270328716,-0.124540069490176,0,0.025,1
"Tmem250-ps",0.0169258270328716,-0.152395076786211,0,0.025,1
"Gm13274",0.0169258270328716,-0.17669690722047,0,0.025,1
"Rbm19",0.0169258270328717,-0.126103722273209,0,0.025,1
"Tamm41",0.0169258270328717,-0.157565126023698,0,0.025,1
"Anxa1",0.0169258270328717,-0.166166937430576,0,0.025,1
"Sema4c",0.0169258270328717,-0.166851724894148,0,0.025,1
"Gm42547",0.0169258270328717,-0.17170613534683,0,0.025,1
"Igsf3",0.0169258270328717,-0.191234401478078,0,0.025,1
"1700047A11Rik",0.0169258270328717,-0.23693785111427,0,0.025,1
"Mea1",0.0169258270328717,-0.243304134620922,0,0.025,1
"Gm26512",0.0169258270328717,-0.127847004084725,0,0.025,1
"Rprm",0.0169258270328717,-0.145656071140552,0,0.025,1
"Gask1b",0.0169258270328717,-0.165948477524091,0,0.025,1
"D130007C19Rik",0.0169258270328717,-0.186349445831358,0,0.025,1
"Gm7135",0.0169258270328717,-0.194319365113216,0,0.025,1
"Ccdc192",0.0169258270328717,-0.290411101337749,0,0.025,1
"Pycrl",0.0169258270328718,-0.139510379964791,0,0.025,1
"Gm12966",0.0169258270328718,-0.164493159955877,0,0.025,1
"Eif2b1",0.0169258270328718,-0.1742617653608,0,0.025,1
"Klhl4",0.0169258270328718,-0.19259533787335,0,0.025,1
"Gm20778",0.0169258270328718,-0.108335500712316,0,0.025,1
"Wfikkn2",0.0169258270328718,-0.1402645161751,0,0.025,1
"Runx2os1",0.0169258270328718,-0.146149819875225,0,0.025,1
"Mtfmt",0.0169258270328718,-0.153227208068954,0,0.025,1
"Zfp185",0.0169258270328718,-0.211799557637733,0,0.025,1
"Tpm2",0.0169258270328718,-0.244599440548211,0,0.025,1
"Ptger3",0.0169258270328719,-0.173637526169557,0,0.025,1
"Dusp1",0.0169258270328719,-0.17587010196323,0,0.025,1
"5830418P13Rik",0.0169258270328719,-0.217047539866765,0,0.025,1
"Gm5617",0.016925827032872,-0.274420057048459,0,0.025,1
"Ppcs",0.0169258270328722,-0.240751131180346,0,0.025,1
"Ercc8",0.0169258270328723,-0.175431468618902,0,0.025,1
"Rflna",0.0169258270328723,-0.201073771230588,0,0.025,1
"Gm19461",0.0169258270328724,-0.173805446551682,0,0.025,1
"Nat8f1",0.0169258270328724,-0.188840391745652,0,0.025,1
"Crtc1",0.0169849047072604,-0.262801186222387,0.032,0.103,1
"Gm26827",0.0170496789795286,-0.29544198443562,0.016,0.074,1
"Grin2a",0.017230404422305,-0.162153368236629,0.07,0.143,1
"Dpyd",0.0172774722871113,0.343392748118895,0.508,0.379,1
"Rps6ka2",0.0174749850325978,-0.357027384390488,0.027,0.094,1
"Nedd4l",0.0175250901391415,-0.0393392908658503,0.151,0.236,1
"H3f3a",0.0177007654618046,-0.396186804783775,0.162,0.281,1
"Nebl",0.0178473032708842,-0.193027473779519,0.459,0.601,1
"N4bp1",0.0178967470935241,-0.330314597773797,0.027,0.094,1
"Rbfox1",0.018356146437431,-0.376058464523025,0.4,0.537,1
"Plekha6",0.0185590504042292,-0.398095665666215,0.027,0.094,1
"Cep170",0.0186903004605205,0.510170627159121,0.141,0.059,1
"Naa20",0.0188655359954717,0.502496782212511,0.157,0.074,1
"Sh3rf1",0.0190214839991655,-0.0809963610590934,0.232,0.33,1
"Gm7854",0.0191194465163267,-0.270053424558713,0.005,0.049,1
"Usp12",0.0191466712889711,0.329659476966798,0.114,0.039,1
"Slc33a1",0.0191972105225329,-0.409746195203469,0.027,0.094,1
"Fxyd6",0.0194382722781118,-0.34744168245858,0.005,0.049,1
"Tet2",0.019758285675505,-0.207621039232682,0.097,0.192,1
"Tcf4",0.0197689419479752,0.202743885181695,0.838,0.808,1
"Atp5a1",0.0198631556869219,-0.370136459658619,0.184,0.305,1
"Olig1",0.0198677358772965,-0.298161712737964,0.005,0.049,1
"Ppp1r1a",0.020003741539052,-0.507751468934356,0.135,0.246,1
"Mtss1",0.0201650825905847,-0.321647796522396,0.168,0.286,1
"Nub1",0.0204031160709933,-0.407486493694783,0.086,0.182,1
"Akap8l",0.0204057126445424,-0.370070094588024,0.265,0.394,1
"Tmtc1",0.0206087517647463,0.411231132617478,0.368,0.286,1
"Trappc9",0.0210386911270845,0.418816324207828,0.249,0.138,1
"Maml3",0.0211947691552535,0.357160676843311,0.33,0.291,1
"Gm26782",0.0213945769879874,-0.279026818896776,0.038,0.108,1
"Smyd3",0.0215659545464687,-0.314496486919594,0.335,0.473,1
"Arhgap5",0.0224018410142063,-0.0272744495338444,0.184,0.261,1
"Yeats2",0.0226065518894306,-0.257188082255289,0.054,0.133,1
"Pik3r1",0.0226576559540166,0.478618979031646,0.227,0.123,1
"Stx12",0.022901002449167,-0.411464719078066,0.038,0.108,1
"2900097C17Rik",0.023178726966824,0.536134112277168,0.157,0.074,1
"Cxcl14",0.0233778469145976,0.242161130786171,0.022,0,1
"Vsir",0.0233778469145976,0.241854180200765,0.022,0,1
"Gm48099",0.0233778469145976,0.205989554338779,0.022,0,1
"Cnppd1",0.0233778469145976,0.194988396262028,0.022,0,1
"Cd3eap",0.0233778469145976,0.177194410220291,0.022,0,1
"Rps23",0.0233778469145976,0.163812196950809,0.022,0,1
"5430403G16Rik",0.0233778469145976,0.123317269102099,0.022,0,1
"Polq",0.0233778469145976,0.115891100887778,0.022,0,1
"Rbl1",0.0233778469145977,0.228530098733642,0.022,0,1
"Fbxl21",0.0233778469145977,0.17173622003191,0.022,0,1
"Gm9800",0.0233778469145977,0.166800146658908,0.022,0,1
"Zfp334",0.0233778469145977,0.146526925194834,0.022,0,1
"Kifc5b",0.0233778469145977,0.111976891790067,0.022,0,1
"Tufm",0.0233778469145978,0.175268628532997,0.022,0,1
"Laptm5",0.0233778469145978,0.167468034082684,0.022,0,1
"Pigw",0.0233778469145978,0.142094271726316,0.022,0,1
"Traf2",0.0233778469145978,0.130663167797711,0.022,0,1
"Zbtb14",0.0233778469145978,0.110380697826706,0.022,0,1
"Jade3",0.0233778469145978,0.0928941402056716,0.022,0,1
"Fam228a",0.0233778469145978,0.0927295623972865,0.022,0,1
"Dsp",0.0233778469145978,0.0825417043138308,0.022,0,1
"Ptgr1",0.0233778469145979,0.183387178207801,0.022,0,1
"Psmg4",0.0233778469145979,0.176035923660766,0.022,0,1
"Gm15402",0.0233778469145979,0.169082267080188,0.022,0,1
"4933423P22Rik",0.0233778469145979,0.152107854912449,0.022,0,1
"Gm10177",0.0233778469145984,0.199682009718467,0.022,0,1
"Ppp1r16a",0.0233778469145985,0.148632547224675,0.022,0,1
"Zgrf1",0.0233778469145986,0.209278650225335,0.022,0,1
"Kcna4",0.0233778469145986,0.155088676033662,0.022,0,1
"Ddx19b",0.0233778469145987,0.214247269896339,0.022,0,1
"Gabrr2",0.0233778469145987,0.153709884359656,0.022,0,1
"Olig2",0.0233778469145988,0.213334742875281,0.022,0,1
"Pcdh7",0.0238698986832116,-0.488260637164267,0.027,0.089,1
"Gm29478",0.0241007943209926,-0.263099500133674,0.146,0.251,1
"Use1",0.0242762067970463,-0.415727399779688,0.011,0.059,1
"Supt16",0.0246116014797657,-0.388258083973302,0.038,0.108,1
"Mbnl1",0.0246798590460008,0.415562900941542,0.314,0.197,1
"Aebp1",0.0251257052025772,0.440013166669533,0.292,0.207,1
"Wbp2",0.0252238577765402,-0.312934659616211,0.032,0.099,1
"Sbds",0.025527126749537,-0.357304352290906,0.038,0.108,1
"Pcgf5",0.0259291993175105,-0.327617428408594,0.054,0.133,1
"Cplx1",0.0260289597058251,-0.300208398686557,0.005,0.044,1
"Zbtb17",0.0260790637753921,-0.290921408057945,0.011,0.059,1
"Dhrs7",0.0261011410967031,-0.296812200768351,0.011,0.059,1
"Asf1a",0.0261415526652851,-0.292184648884725,0.011,0.059,1
"Bmpr1a",0.026230151763164,-0.403735619437863,0.216,0.335,1
"Wnt5b",0.0263470349120038,-0.17506433806252,0.086,0.167,1
