"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Il12b",3.90605751187663e-51,0.188609853296982,0.084,0,1.24173568302558e-46
"Ttr",4.59556771560895e-48,0.451182423544696,0.443,0.224,1.46093097679208e-43
"Pttg1",5.53596160530718e-35,-0.118334167634991,0,0.055,1.75988219432715e-30
"Hbb-bs",2.50672373817482e-15,0.128491719917897,0.093,0.032,7.96887476365776e-11
"A230004M16Rik",5.25544619822849e-14,0.256106326629723,0.336,0.247,1.67070634641684e-09
"Gm26854",3.86899624278021e-13,0.250105165923028,0.292,0.209,1.22995390557983e-08
"Fth1",3.38730385997306e-12,-0.142812346074141,0.538,0.653,1.07682389708544e-07
"Peg3",5.88269785836912e-12,-0.17783591067181,0.605,0.691,1.87010964917554e-07
"Klhl29",4.52348499505396e-10,-0.189023183361474,0.599,0.688,1.43801587992765e-05
"Gm44829",4.95000199287548e-10,0.136477964775258,0.7,0.707,1.57360563353511e-05
"Grm5",1.68631248086701e-09,0.159119776093372,0.957,0.952,5.36078737667622e-05
"Kif1b",6.36733970827382e-09,-0.0571931940868238,0.674,0.76,0.000202417729326025
"Ntrk2",6.67583807782644e-09,-0.150803124461104,0.849,0.899,0.000212224892494103
"Ndrg4",1.10735148293428e-08,-0.126371558738166,0.388,0.483,0.000352027036424808
"Tspan5",2.03161741900969e-08,-0.166075872696813,0.6,0.683,0.000645851177503182
"Ncoa1",2.09284973787878e-08,-0.0399439759369387,0.721,0.8,0.000665316931671663
"Zswim6",2.24636676668944e-08,-0.15217792705317,0.413,0.507,0.000714119995130573
"Stat3",1.00826081393537e-07,-0.133443705599171,0.137,0.201,0.00320526112750054
"Ube3a",1.15212235232327e-07,0.101079447768948,0.973,0.971,0.00366259695803567
"Ubr5",1.48038250678235e-07,-0.112436894219784,0.54,0.629,0.00470613598906109
"Tmem181b-ps",2.1189940740568e-07,-0.131479405757461,0.249,0.325,0.00673628216142658
"Ppm1l",2.46104959856083e-07,-0.175967713749488,0.49,0.567,0.00782367667382489
"Zfr2",2.7904317047465e-07,-0.10972586817012,0.334,0.42,0.00887078238938912
"Lncpint",3.17667996882765e-07,-0.102226734929689,0.73,0.801,0.0100986656209031
"Plp1",3.3609639385125e-07,-0.157498713345617,0.234,0.311,0.0106845043605312
"Gphn",3.60356349495958e-07,0.0467947744250439,0.865,0.898,0.0114557283504765
"Sik3",3.71679886577532e-07,-0.129473973835827,0.611,0.682,0.0118157035942998
"Mgp",5.05524893586758e-07,0.0409207509464934,0.027,0.007,0.016070636367123
"Dip2b",5.17452976645484e-07,-0.104464341465201,0.532,0.617,0.0164498301275599
"Spag9",6.33280731679686e-07,-0.0662332197028201,0.657,0.736,0.0201319944600972
"Son",6.59509586218212e-07,-0.0623970908189055,0.558,0.639,0.020965809745877
"A330076H08Rik",6.71812997896487e-07,0.0419474873119707,0.772,0.807,0.0213569352031293
"Srrm4",7.65983007672229e-07,-0.0929109037854865,0.582,0.665,0.0243505998139001
"Pcsk1n",9.28665419551102e-07,-0.0980675582123218,0.409,0.493,0.0295222736875295
"Sybu",9.59585863264309e-07,0.0653511811538012,0.653,0.676,0.0305052345931724
"Atp11b",1.0280504619967e-06,-0.138697026750806,0.423,0.501,0.032681724186875
"Uvrag",1.11850312243941e-06,-0.044035530739663,0.374,0.449,0.0355572142623488
"Ctnna3",1.16927994367479e-06,0.111824067889657,0.812,0.821,0.0371714094094214
"Rbm39",1.25036056166199e-06,0.0956166161574019,0.862,0.857,0.0397489622552345
"Kif1a",1.28686453122429e-06,-0.0825070136470585,0.492,0.575,0.04090942344762
"Paxbp1",1.40932452110624e-06,-0.117377587155403,0.465,0.545,0.0448024265259674
"Prickle1",1.50894868328604e-06,-0.130587491810852,0.598,0.675,0.0479694786416632
"Hmgcr",1.55692207250239e-06,-0.10195325984147,0.154,0.218,0.0494945526848511
"5330438D12Rik",1.69953220835832e-06,0.0756989669913337,0.685,0.708,0.0540281289037111
"Zbtb16",1.83044853444054e-06,-0.157196387614863,0.435,0.505,0.0581899589098649
"Chfr",1.85063305271322e-06,-0.0863288265384956,0.475,0.557,0.0588316247457532
"Hivep2",1.86957720871601e-06,-0.110249888326666,0.767,0.825,0.059433859465082
"Fam155a",1.89183958360061e-06,0.0833901064984648,0.95,0.956,0.0601415803626633
"Pitpnc1",2.20751832517685e-06,-0.127594976231575,0.448,0.53,0.0701770075573722
"Arglu1",2.26583430068481e-06,-0.0283384915547513,0.671,0.735,0.0720308724187702
"Hba-a1",2.82968509909796e-06,0.0379810164814149,0.028,0.008,0.0899556893003243
"Ggt7",2.97193172012639e-06,-0.0777605211268924,0.304,0.379,0.094477709382818
"1700016P03Rik",3.10429736531997e-06,-0.0561852325374686,0.084,0.129,0.0986856132435219
"Snx3",3.1117415730514e-06,-0.0694985027419297,0.272,0.344,0.0989222646073039
"Vegfa",3.22416782627327e-06,-0.0829042760533716,0.098,0.151,0.102496295197227
"Tent4b",3.30911494218407e-06,-0.113647683329846,0.269,0.342,0.105196764012032
"Apba1",3.48784170332178e-06,-0.101999164585062,0.762,0.823,0.110878487748599
"2900097C17Rik",3.60581440689948e-06,-0.0713133151580789,0.169,0.231,0.114628839995334
"Mgat3",4.19878317022671e-06,-0.0895822333064096,0.134,0.192,0.133479316981507
