"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"1",3.90605751187663e-51,0.188609853296982,0.084,0,1.24173568302558e-46
"2",4.59556771560895e-48,0.451182423544696,0.443,0.224,1.46093097679208e-43
"3",5.25544619822849e-14,0.256106326629723,0.336,0.247,1.67070634641684e-09
"4",3.86899624278021e-13,0.250105165923028,0.292,0.209,1.22995390557983e-08
"5",1.68631248086701e-09,0.159119776093372,0.957,0.952,5.36078737667622e-05
"6",2.0273302422695e-05,0.151207003270596,0.388,0.33,0.644488284017475
"7",2.61842043073719e-05,0.206828862632398,0.552,0.508,0.832395854931351
"8",7.05690008299364e-05,0.215290333423983,0.398,0.383,1
"9",0.000113494594430163,0.246484766495377,0.336,0.307,1
"10",0.000130333716358318,0.153400834903227,0.332,0.281,1
"11",0.000158758079137141,0.226175649015694,0.306,0.306,1
"12",0.000303104360464341,0.141073411563657,0.281,0.244,1
"13",0.000816373357308393,0.166601653609305,0.264,0.237,1
"14",0.000865486659731133,0.140805900137621,0.173,0.141,1
"15",0.00144758047235172,0.149900387366033,0.389,0.358,1
"16",0.00198077422745599,0.192990865879474,0.269,0.23,1
"17",0.00231246589175083,0.160404948027272,0.422,0.4,1
"18",0.00271214756319119,0.154041881670171,0.472,0.454,1
"19",0.02132846695245,0.177519356534417,0.191,0.16,1
"20",0.0289669639730553,0.169290397370554,0.174,0.153,1
"21",3.38730385997306e-12,-0.142812346074141,0.538,0.653,1.07682389708544e-07
"22",5.88269785836912e-12,-0.17783591067181,0.605,0.691,1.87010964917554e-07
"23",4.52348499505396e-10,-0.189023183361474,0.599,0.688,1.43801587992765e-05
"24",6.67583807782644e-09,-0.150803124461104,0.849,0.899,0.000212224892494103
"25",2.03161741900969e-08,-0.166075872696813,0.6,0.683,0.000645851177503182
"26",2.24636676668944e-08,-0.15217792705317,0.413,0.507,0.000714119995130573
"27",1.00826081393537e-07,-0.133443705599171,0.137,0.201,0.00320526112750054
"28",2.1189940740568e-07,-0.131479405757461,0.249,0.325,0.00673628216142658
"29",2.46104959856083e-07,-0.175967713749488,0.49,0.567,0.00782367667382489
"30",3.3609639385125e-07,-0.157498713345617,0.234,0.311,0.0106845043605312
"31",3.71679886577532e-07,-0.129473973835827,0.611,0.682,0.0118157035942998
"32",1.0280504619967e-06,-0.138697026750806,0.423,0.501,0.032681724186875
"33",1.50894868328604e-06,-0.130587491810852,0.598,0.675,0.0479694786416632
"34",1.83044853444054e-06,-0.157196387614863,0.435,0.505,0.0581899589098649
"35",5.66651374732691e-06,-0.175995816789324,0.317,0.392,0.180138472027523
"36",7.13547227061851e-06,-0.20433200747573,0.255,0.306,0.226836663482962
"37",9.7840748643944e-06,-0.165749947617574,0.122,0.172,0.311035739939098
"38",1.04163633526992e-05,-0.161014672171327,0.233,0.299,0.331136190982308
"39",5.63725654315248e-05,-0.184347414959845,0.278,0.343,1
"40",0.0118727353897263,-0.141309805747567,0.177,0.213,1
