"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Il12b",6.1249350931517e-52,0.188609853296982,0.084,0,1.94711686611292e-47
"Thy1",4.6569780452585e-35,0.335131541546283,0.371,0.195,1.48045332058768e-30
"Pttg1",4.03475750866747e-32,-0.0985583455019638,0,0.05,1.28264941200539e-27
"AC149090.1",4.58358044555288e-19,-0.27049209631255,0.528,0.654,1.45712022364126e-14
"Meg3",5.60580072968945e-18,0.101526410009605,1,1,1.78208405196828e-13
"Rsrp1",1.15703138259991e-16,0.19060020423856,0.674,0.613,3.67820276528513e-12
"Fgf1",2.42666356349514e-10,-0.193260386867894,0.439,0.526,7.71436346835105e-06
"Prpf4b",5.37527180398646e-10,-0.143105208110095,0.635,0.701,1.7087989064873e-05
"Atxn2l",1.03108596806239e-09,-0.130738008063135,0.324,0.422,3.27782229247032e-05
"Arglu1",1.35796086631644e-09,0.137703272826043,0.671,0.648,4.31695759401997e-05
"Arhgap26",7.39632245236009e-09,-0.130657395368387,0.395,0.492,0.000235129090760527
"Hbb-bs",1.0014211887207e-08,0.108096873445732,0.093,0.045,0.000318351795894311
"Fndc9",1.79475580293897e-08,-0.168036647933103,0.313,0.398,0.000570552869754299
"Cryab",4.58042260991868e-08,-0.150031609224483,0.09,0.149,0.00145611634769315
"Slc15a2",2.14490537753648e-07,-0.077283720338802,0.059,0.104,0.00681865419518848
"Mbp",4.03370542364467e-07,-0.185119498165607,0.122,0.18,0.0128231495417664
"C1qb",4.81992163379562e-07,0.0982820568845132,0.053,0.021,0.0153225308738363
"Hip1",9.9272181410457e-07,-0.156292528263887,0.2,0.269,0.0315586264703843
"Gm42418",1.44900214299352e-06,-0.132088950506549,0.899,0.921,0.0460637781257639
"Hsp90ab1",1.55578226785894e-06,-0.129802703873152,0.455,0.527,0.0494583182952357
"A330076H08Rik",1.71850419333364e-06,0.0962574245364101,0.772,0.757,0.0546312483060765
"1700016K05Rik",2.51130056890055e-06,-0.142502992595551,0.158,0.21,0.0798342450853484
