"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Thy1",1.63509333003433e-55,0.412825871786061,0.428,0.195,5.19796169617913e-51
"Ttr",6.83329052514323e-40,-0.349372453403087,0.224,0.429,2.17230305794303e-35
"Gm26854",6.79780896616847e-21,-0.299490849350261,0.209,0.333,2.16102347034496e-16
"AC149090.1",2.20907969169798e-18,-0.246349305474714,0.546,0.654,7.02266433990787e-14
"Tmem181b-ps",1.05067634764969e-17,0.223757236394731,0.325,0.203,3.34010010917836e-13
"Ube3a",1.4000411196389e-15,-0.14602265145307,0.971,0.97,4.45073071933207e-11
"Rsrp1",1.09841555704498e-12,0.174478267545843,0.703,0.613,3.49186305584599e-08
"Pcsk1n",2.99163325483005e-12,0.188570596516783,0.493,0.381,9.51040211710474e-08
"Klhl29",2.35819278276673e-11,0.210945577236783,0.688,0.605,7.49669485641543e-07
"Slc15a2",2.84751304243828e-11,-0.156307140659841,0.047,0.104,9.0522439619113e-07
"2900097C17Rik",3.6115213940047e-11,0.0896797107537829,0.231,0.151,1.14810265115409e-06
"Ldlr",3.7535845147992e-11,0.130530395104093,0.089,0.035,1.19326451725467e-06
"Fgf1",1.19540964694517e-10,-0.2049797458136,0.466,0.526,3.80020726763868e-06
"2210408I21Rik",1.78695397767182e-10,0.16646900877011,0.565,0.458,5.6807266950187e-06
"Arglu1",1.98922489822627e-10,0.166041764380795,0.735,0.648,6.32374595146132e-06
"Peg3",2.19924182650017e-10,0.173005076829798,0.691,0.612,6.99138976644403e-06
"9630028H03Rik",6.97657136947395e-10,-0.230088287990893,0.445,0.518,2.21785203835577e-05
"Rbms3",1.30114326303646e-09,0.126528168383773,0.904,0.852,4.13633443319292e-05
"Ctnna3",1.37004273494304e-09,-0.157172773397351,0.821,0.83,4.35536585438393e-05
"Lrrtm4",1.46475430592961e-09,0.1366045154061,0.948,0.919,4.65645393855024e-05
"Cpeb2",4.55955339874539e-09,0.173064039286421,0.322,0.236,0.000144948202546116
"Vstm2a",6.2481973900845e-09,0.166015672754973,0.577,0.481,0.000198630195030786
"Ctss",6.37684954004503e-09,0.0537197133814051,0.036,0.009,0.000202720046878031
"Gm20388",6.51222197393933e-09,-0.0994960378524929,0.966,0.966,0.000207023536551531
"Shisa6",1.53889137350766e-08,0.151192628944746,0.555,0.457,0.000489213567638085
"Pura",1.98148456768727e-08,0.0708248563993601,0.545,0.452,0.000629913944067785
"Kmt2a",3.03561938646769e-08,0.134812354917076,0.6,0.51,0.000965023402958078
"Ndn",3.67935557174954e-08,0.102915899409079,0.125,0.07,0.00116966713625918
"Meg3",3.93892989407498e-08,0.066010135452772,1,1,0.00125218581332644
"4930445B16Rik",4.65091024844766e-08,-0.189767416803856,0.294,0.335,0.00147852436798151
"2810049E08Rik",5.69731691183699e-08,0.090684666130032,0.188,0.122,0.00181117704627298
"Sntg1",8.00633693194658e-08,-0.112524940796033,0.95,0.952,0.00254521451066582
"Atrnl1",8.58658638223881e-08,-0.130327365675678,0.662,0.671,0.00272967581091372
"Cdh7",8.66230883936169e-08,-0.205291031271123,0.128,0.193,0.00275374798003308
"Zfpm2",1.03429650245787e-07,0.273494868793475,0.343,0.264,0.00328802858131357
