"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Hbb-bt",0.00019727129857895,0.805316642840552,0.11,0,1
"A930033H14Rik",0.000485483069060241,0.593449220608622,0.098,0,1
"Rapgef5",0.000848994306474831,-0.849673158345481,0.024,0.19,1
"Prpf8",0.00119158464021156,0.54450047398179,0.085,0,1
"Slf1",0.00120743022729121,0.757500522357822,0.232,0.05,1
"Letm2",0.00139879142644838,-0.643831307404037,0,0.09,1
"Sept7",0.00207052196688398,-0.849729983125694,0.134,0.34,1
"Zfp704",0.00259132460742624,0.324291051432255,0.341,0.14,1
"Nceh1",0.00269780211831993,-0.845515947365244,0.012,0.14,1
"Dag1",0.00276267068300278,-0.432581682798318,0,0.08,1
"C130071C03Rik",0.0027626706830028,-0.477448774310445,0,0.08,1
"Gm16091",0.00276267068300281,-0.486387032381777,0,0.08,1
"Tmtc3",0.00276267068300284,-0.565845453915496,0,0.08,1
"BC028528",0.00292147414451489,0.573484511425207,0.073,0,1
"Mrpl32",0.00292147414451489,0.506207059660739,0.073,0,1
"Tmem14c",0.00292147414451489,0.384441154748738,0.073,0,1
"Guk1",0.0029214741445149,0.627323366181237,0.073,0,1
"Kat8",0.0029214741445149,0.591279930878979,0.073,0,1
"Gm45510",0.0029214741445149,0.537651561878687,0.073,0,1
"Arf2",0.0029214741445149,0.474053748911008,0.073,0,1
"F630028O10Rik",0.003615977272303,0.634448694531224,0.5,0.27,1
"Ttr",0.00419316146464763,-0.407764921377496,0.293,0.53,1
"Cryab",0.00456760553146448,-0.589516107339674,0.037,0.18,1
"Agap1",0.00464473590478082,-0.715813473829918,0.024,0.16,1
"Pnkp",0.00545478824089935,-0.494986760833598,0,0.07,1
"BC065397",0.00545478824089936,-0.450766472816911,0,0.07,1
"Mccc2",0.00545478824089939,-0.444349604369575,0,0.07,1
"Esyt1",0.00545478824089939,-0.583683070509747,0,0.07,1
"Dhx8",0.00545478824089939,-0.593584814127199,0,0.07,1
"Rras2",0.00545478824089942,-0.472466366232461,0,0.07,1
"Ppp1r16b",0.00545478824089945,-0.401569518222294,0,0.07,1
"Rpn2",0.00545478824089945,-0.450414663667536,0,0.07,1
"Asrgl1",0.00545478824089945,-0.460105498634963,0,0.07,1
"2310015A10Rik",0.00545478824089945,-0.49709574100682,0,0.07,1
"Plod3",0.00545478824089947,-0.518444502728993,0,0.07,1
"Capzb",0.00585574214260401,0.631192943669319,0.22,0.06,1
"Cenpf",0.00603432763007668,-0.869818705720398,0.049,0.2,1
"Urgcp",0.00698132415347277,-0.619735512003816,0.073,0.24,1
"Hnrnpul2",0.00717129760428434,0.449858090079015,0.061,0,1
"Scap",0.00717129760428446,0.528061409898743,0.061,0,1
"Rbm48",0.00717129760428446,0.388475580409977,0.061,0,1
"Parvb",0.00717129760428449,0.487505814930516,0.061,0,1
"Cltb",0.00717129760428449,0.481129212932931,0.061,0,1
"2310001H17Rik",0.00717129760428449,0.474322335284842,0.061,0,1
"Rack1",0.00717129760428451,0.544922061974582,0.061,0,1
"Rpp30",0.00717129760428451,0.508234946653305,0.061,0,1
"Psd4",0.00717129760428451,0.499206124673261,0.061,0,1
"Crip2",0.00717129760428451,0.467530639931467,0.061,0,1
"Unc119b",0.00717129760428451,0.440835163379039,0.061,0,1
"B3galt6",0.00717129760428451,0.43358829639522,0.061,0,1
"Rnase6",0.00717129760428451,0.428371558379788,0.061,0,1
"Nqo2",0.00717129760428451,0.362812227266948,0.061,0,1
"Nicn1",0.00717129760428451,0.328362458044027,0.061,0,1
"Mtss2",0.00717129760428451,0.303135115183431,0.061,0,1
"H2-DMa",0.00717129760428453,0.532187055361393,0.061,0,1
"Snx11",0.00717129760428453,0.491606810838567,0.061,0,1
"Rph3a",0.00717129760428453,0.379634413560688,0.061,0,1
"Cnot9",0.00717129760428453,0.347384279182745,0.061,0,1
"Def6",0.00717129760428453,0.330320929439011,0.061,0,1
"Trit1",0.00749540912656297,0.78995826553524,0.134,0.02,1
"Ino80dos",0.00752454743600195,0.632086310667519,0.159,0.03,1
"Zmat2",0.00835088170082713,0.490087018308097,0.11,0.01,1
"Cspg5",0.00859276458635748,0.598437421694333,0.134,0.02,1
"Pparg",0.00893223319043186,0.600327661418542,0.11,0.01,1
"Utp11",0.0102661373824488,0.377357242412241,0.146,0.03,1
"Dnajc6",0.010782298708111,-0.472925275653637,0,0.06,1
"Arv1",0.0107822987081111,-0.447719511509628,0,0.06,1
"Pex6",0.0107822987081111,-0.469319967831992,0,0.06,1
"Zfand2b",0.0107822987081111,-0.474368375498549,0,0.06,1
"Gm42508",0.0107822987081112,-0.436784567441987,0,0.06,1
"Enc1",0.0107822987081112,-0.470943048947555,0,0.06,1
"Synj2",0.0107822987081113,-0.410965024018505,0,0.06,1
"Zdhhc8",0.0107822987081113,-0.370673325404583,0,0.06,1
