"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Fkbp5",0.000127306553153701,0.923127699209899,0.582,0.3,1
"Prpf8",0.000481829055649096,0.697601534537228,0.104,0,1
"Kcnq5",0.000546914694352218,-1.17446621778854,0,0.12,1
"Dock4",0.000934424002537425,-0.148409460462168,0.418,0.68,1
"Tcaim",0.000990888924186532,-0.720165320115703,0,0.11,1
"Fopnl",0.000990888924186547,-0.703464356943058,0,0.11,1
"Pja2",0.00100963666394809,0.936350415046481,0.343,0.11,1
"Nol9",0.00134905432163849,0.676980284217051,0.09,0,1
"Eif3j1",0.00134905432163851,0.610903495667155,0.09,0,1
"Zbtb4",0.00179131125742888,-0.706814276796227,0,0.1,1
"Sestd1",0.0017913112574289,-0.635024312698379,0,0.1,1
"Rabep1",0.00220016193785021,-0.57758647305773,0.179,0.43,1
"Ewsr1",0.00236305589843063,-0.788181529093729,0.03,0.2,1
"Snhg20",0.00238558166964108,0.888462980555771,0.209,0.04,1
"Olfr56",0.00262663332151243,-0.714081714435196,0.06,0.25,1
"Peli2",0.00280274292638666,-0.729325207076722,0.015,0.16,1
"Jpt1",0.00282474081914447,0.950319805173926,0.134,0.01,1
"Gm49417",0.00323304086943252,-0.633588138771936,0,0.09,1
"Zfp532",0.00323304086943255,-0.536590437201247,0,0.09,1
"Lgr4",0.00323304086943258,-0.517666149036203,0,0.09,1
"Pip5k1c",0.00323304086943258,-0.618170555528531,0,0.09,1
"Abce1",0.00323304086943258,-0.681187899624613,0,0.09,1
"Ttc13",0.00323304086943258,-0.592512443539399,0,0.09,1
"Ntm",0.00323304086943263,-0.778728818612247,0,0.09,1
"Ppp2cb",0.00323304086943263,-0.779043631619755,0,0.09,1
"Eea1",0.00373318361612152,0.870307334936964,0.239,0.06,1
"Tagap",0.00377238911812592,0.636132233628727,0.075,0,1
"Slc33a1",0.00377238911812594,0.740498915804068,0.075,0,1
"Gsk3a",0.00377238911812604,0.511512789859013,0.075,0,1
"Coq9",0.00377238911812607,0.485884061978929,0.075,0,1
"Aagab",0.00391708920501504,0.852024983600933,0.179,0.03,1
"Ptgs1",0.00446976803675795,0.880426957803148,0.194,0.04,1
"Cbl",0.00483643101412117,-0.591598788936104,0.119,0.33,1
"Actn4",0.00544358946185169,-0.794052977119929,0.015,0.15,1
"0610009B22Rik",0.00582998206483341,-0.68092191676187,0,0.08,1
"Elp1",0.00582998206483343,-0.388633697628611,0,0.08,1
"Ntrk2",0.00582998206483343,-0.496258153285357,0,0.08,1
"Fam111a",0.00582998206483343,-0.510185915162089,0,0.08,1
"Akt1",0.00582998206483343,-0.550888218499428,0,0.08,1
"Lpcat3",0.00582998206483343,-0.598237318584989,0,0.08,1
"Ahctf1",0.00582998206483345,-0.60158655440602,0,0.08,1
"Apopt1",0.00582998206483347,-0.533110967002614,0,0.08,1
"Gzf1",0.00582998206483347,-0.542526927891469,0,0.08,1
"Dscaml1",0.00582998206483347,-0.543812554670509,0,0.08,1
"Nmnat3",0.00582998206483347,-0.544233240067802,0,0.08,1
"Pde6d",0.00582998206483347,-0.571264624389345,0,0.08,1
"Eif2s1",0.00582998206483347,-0.628174554682745,0,0.08,1
"Agpat4",0.00582998206483349,-0.555574241188408,0,0.08,1
"Cracr2b",0.00582998206483353,-0.552340439052286,0,0.08,1
"Fubp3",0.00582998206483354,-0.533554072418748,0,0.08,1
"Tenm2",0.00599572975752338,-1.38090436138281,0.045,0.21,1
"Nrg3",0.00624713140767707,-0.954877227087014,0.03,0.18,1
"Plekho1",0.00691960594394425,-0.542889606177472,0.104,0.3,1
"Frmd4b",0.00708259744390466,0.443801234674717,0.716,0.7,1
"Ripor2",0.00729676620547634,-0.580275198716811,0.104,0.3,1
"Thrap3",0.00798381959778117,-0.568575404548984,0.03,0.17,1
"Cfl2",0.00887042855735819,-0.657936228388318,0.015,0.14,1
"Gm20388",0.0104811037324303,-0.438289703248153,0.612,0.81,1
"Gm29237",0.010513880038248,-0.383608771977881,0,0.07,1
"Eef1b2",0.010513880038248,-0.611679209351553,0,0.07,1
"Ptpn6",0.0105138800382481,-0.591201240494362,0,0.07,1
"Prpf18",0.0105138800382481,-0.447929886464638,0,0.07,1
"Chst1",0.0105138800382481,-0.45871543179033,0,0.07,1
"Mrgbp",0.0105138800382481,-0.463124741599655,0,0.07,1
"Mrpl27",0.0105138800382481,-0.46825538685728,0,0.07,1
"Tmem191c",0.0105138800382481,-0.482779864602536,0,0.07,1
"Csk",0.0105138800382481,-0.509669259992879,0,0.07,1
"Ccdc122",0.0105138800382481,-0.514924952135437,0,0.07,1
"Plod3",0.0105138800382481,-0.518444502728993,0,0.07,1
"Gxylt1",0.0105138800382481,-0.526370587046977,0,0.07,1
"Rnmt",0.0105138800382481,-0.533336591777829,0,0.07,1
"Clcc1",0.0105138800382481,-0.537720460663615,0,0.07,1
"Exoc7",0.0105138800382481,-0.614879287567339,0,0.07,1
"Vgf",0.0105138800382481,-0.617144604574755,0,0.07,1
"BC005624",0.0105138800382481,-0.65569256514895,0,0.07,1
"Ints14",0.0105138800382481,-0.65782612630886,0,0.07,1
"Rab11b",0.0105138800382481,-0.712183035776029,0,0.07,1
"Vipas39",0.0105138800382481,-0.383162202605764,0,0.07,1
"1700037C18Rik",0.0105138800382481,-0.394744364155075,0,0.07,1
"Leprotl1",0.0105138800382481,-0.398724989036141,0,0.07,1
"A230006K03Rik",0.0105138800382481,-0.400834404525967,0,0.07,1
"Smpd3",0.0105138800382481,-0.437077297345966,0,0.07,1
"Hspa4l",0.0105138800382481,-0.541002808839276,0,0.07,1
"Myh10",0.0105138800382481,-0.546116707370488,0,0.07,1
"Ap5z1",0.0105138800382481,-0.578278583768584,0,0.07,1
"Gm50020",0.0105138800382481,-0.60590411080913,0,0.07,1
"Tcf3",0.0105138800382482,-0.493935903620351,0,0.07,1
"Esyt1",0.0105138800382482,-0.583683070509747,0,0.07,1
"Nars2",0.0105138800382482,-0.436739274143955,0,0.07,1
"Napg",0.0105147316203122,-0.745071577897045,0.015,0.13,1
"Anapc11",0.0105754688445748,0.513320124651125,0.06,0,1
"Fxyd5",0.0105754688445748,0.503466377941814,0.06,0,1
"Tmem50b",0.0105754688445751,0.58812228419436,0.06,0,1
"Ppfibp1",0.0105754688445751,0.62888272826394,0.06,0,1
"Mtss2",0.0105754688445751,0.46498330910077,0.06,0,1
"Htra2",0.0105754688445752,0.406789284026897,0.06,0,1
"Abhd2",0.0105754688445752,0.600987225933691,0.06,0,1
"Mtmr9",0.0105754688445752,0.552739890905814,0.06,0,1
"Arrdc1",0.0105754688445752,0.516289532426697,0.06,0,1
"Sept1",0.0105754688445752,0.513442449683868,0.06,0,1
"Eif3s6-ps2",0.0105754688445752,0.499700525199155,0.06,0,1
"Gm15155",0.0105754688445752,0.446270989783894,0.06,0,1
"Lyrm2",0.0105754688445752,0.511067701617205,0.06,0,1
"Tpra1",0.0105754688445752,0.581118672055886,0.06,0,1
"Exoc6",0.0122720073922377,-0.655827326761369,0.104,0.29,1
"Cst3",0.0125992297314238,0.524414253683516,0.642,0.52,1
"Ambra1",0.012792023668879,-0.415033727290467,0.194,0.4,1
"Nlgn1",0.0128243146282585,-0.760299520955089,0.03,0.16,1
"Gm12353",0.0132723035075189,-0.536325991596497,0.209,0.42,1
"Nnat",0.0146155686369201,-0.85980757235163,0.015,0.13,1
"Kdm3a",0.0146315126458909,-0.544039476047339,0.03,0.16,1
"Sh3bp5",0.0147258273612019,-0.708105757689571,0.045,0.19,1
"Nkain2",0.0155519854368063,-0.485802100215975,0.075,0.23,1
"C1qa",0.0171546896432834,0.745832346327475,0.448,0.26,1
"Mapk14",0.0172663915695061,0.0504354561357874,0.179,0.31,1
"Gm22146",0.0177616757326787,0.707830574841222,0.149,0.03,1
"Foxo3",0.0182168561894453,-0.496209712171752,0.119,0.3,1
"Rnf112",0.0189880995889808,-0.290766143771267,0,0.06,1
"Exosc8",0.0189880995889808,-0.404364865905444,0,0.06,1
"Hist3h2ba",0.0189880995889808,-0.419391922940919,0,0.06,1
"Zcrb1",0.0189880995889808,-0.461757993415178,0,0.06,1
"Pdhx",0.0189880995889808,-0.477999687971009,0,0.06,1
"Nbdy",0.0189880995889808,-0.492251725345493,0,0.06,1
"Slc25a37",0.0189880995889808,-0.516856683889412,0,0.06,1
"Ciita",0.0189880995889808,-0.714313088088108,0,0.06,1
"Mtus2",0.018988099588981,-0.409871123362059,0,0.06,1
"Zfp213",0.018988099588981,-0.420295277525779,0,0.06,1
"Tjp2",0.018988099588981,-0.424214304224982,0,0.06,1
"Tmem178",0.018988099588981,-0.454354002128845,0,0.06,1
"Dtx3",0.018988099588981,-0.465091663750269,0,0.06,1
"Timm13",0.018988099588981,-0.484411676785739,0,0.06,1
"Lztfl1",0.018988099588981,-0.299012356021293,0,0.06,1
"Gpr18",0.018988099588981,-0.352338462851331,0,0.06,1
"Gm42508",0.018988099588981,-0.436784567441987,0,0.06,1
"Sun1",0.018988099588981,-0.458191520452087,0,0.06,1
"Slc2a8",0.0189880995889811,-0.296221328383816,0,0.06,1
"Mcur1",0.0189880995889811,-0.298900988331507,0,0.06,1
"Ubxn6",0.0189880995889811,-0.38321358036467,0,0.06,1
"Mapk9",0.0189880995889811,-0.447110438239742,0,0.06,1
"Cntn3",0.0189880995889811,-0.450043039648344,0,0.06,1
"S1pr1",0.0189880995889811,-0.48936490889288,0,0.06,1
"Clip3",0.0189880995889811,-0.490056472998103,0,0.06,1
"Pxmp4",0.0189880995889811,-0.509583990461957,0,0.06,1
"Pirb",0.0189880995889811,-0.599288478742541,0,0.06,1
"Gm15952",0.0189880995889813,-0.464397110088515,0,0.06,1
"4930419G24Rik",0.0189880995889814,-0.257462425766422,0,0.06,1
"Grik5",0.0189880995889814,-0.323113961621265,0,0.06,1
"Aqr",0.0189880995889814,-0.359513441451991,0,0.06,1
"Acad12",0.0189880995889814,-0.520886794139625,0,0.06,1
"Grk4",0.0189880995889814,-0.342928337360771,0,0.06,1
"Hif1an",0.0189880995889816,-0.387520547824607,0,0.06,1
"Dcun1d4",0.0189880995889816,-0.398573366457205,0,0.06,1
"Ythdf1",0.0189880995889816,-0.411526357241154,0,0.06,1
