"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ttr",4.87253457197323e-129,0.866840665504375,0.482,0.18,1.54897874043029e-124
"Anxa3",8.32147314527809e-21,0.34777312761773,0.395,0.282,2.64539631288391e-16
"Pttg1",1.05897952604401e-19,-0.257152756259815,0.001,0.027,3.36649591329391e-15
"Hbb-bs",1.49422506560701e-19,0.299640551391025,0.085,0.032,4.75014148356468e-15
"Il12b",1.67610330617392e-17,0.206331908874022,0.019,0,5.3283324103269e-13
"Fkbp5",1.12306018908967e-16,-0.299471820197182,0.31,0.404,3.57020834111608e-12
"Gm35188",4.04848725300187e-14,0.230012182997497,0.625,0.555,1.2870140977293e-09
"Ctnna3",1.00903106216926e-11,0.63054969101349,0.103,0.055,3.20770974663607e-07
"Rsrp1",7.76251488917369e-11,0.206969386378192,0.502,0.419,2.46770348326832e-06
"Plp1",8.3743542305959e-11,-0.280421811290895,0.229,0.302,2.66220720990644e-06
"Tgfbr2",1.23348199242961e-10,0.221684280660262,0.523,0.459,3.92123925393373e-06
"Mef2c",3.65885545809964e-09,0.163122542565344,0.748,0.697,0.000116315015012988
"Ank",7.38264895796833e-09,0.283559268906208,0.353,0.291,0.000234694410373813
"P2ry12",9.37977760084401e-09,0.204812424678856,0.496,0.432,0.000298183129930831
"Hba-a1",1.12249374820333e-08,0.146569272095003,0.026,0.007,0.000356840762553837
"Mgp",1.31228595361256e-08,0.177469000933675,0.025,0.006,0.000417175704653431
"9130019P16Rik",1.47589418444395e-08,0.284888527457369,0.121,0.074,0.000469186761234732
"Fth1",2.2483670238077e-08,-0.157458081282035,0.503,0.578,0.000714755876868467
"Hba-a2",2.57610474817044e-08,0.130928039174981,0.017,0.002,0.000818943699443383
"Mbnl1",3.6496063892356e-08,0.140351958339157,0.7,0.655,0.001160209871138
"Serinc3",1.70335341515249e-07,-0.151103948977458,0.399,0.473,0.00541496050676976
"Gm26520",1.78121918446859e-07,0.254508225114258,0.065,0.034,0.00566249578742564
"Gm22146",2.99271281249835e-07,-0.21616624008497,0.045,0.081,0.00951383403093226
"Il6st",3.35304281080394e-07,0.262644700020577,0.197,0.151,0.0106593230955457
"Mycbp2",8.57285624854139e-07,-0.130950279363489,0.52,0.544,0.0272531100141131
"Ssh2",1.41607648073755e-06,-0.110631028298709,0.737,0.771,0.0450170713226468
"Ppp3ca",2.1138753572833e-06,-0.105821211125347,0.556,0.623,0.0672000976080361
"Klhl6",2.17137658587566e-06,0.251294776109132,0.173,0.13,0.0690280616649871
"Prkcb",4.02899311946084e-06,-0.162913813690863,0.325,0.386,0.12808169126766
"Lrrtm3",4.44991456588497e-06,0.295850107684993,0.054,0.028,0.141462784049483
"Apoe",9.0676904560022e-06,0.077137462481649,0.52,0.457,0.28826187959631
"Malat1",9.25998726346509e-06,0.0410366480823221,1,1,0.294374995105555
"Ints6l",1.06820083054726e-05,0.199800646651621,0.329,0.274,0.339581044030975
"Ptgds",1.7602691701508e-05,0.108556854906635,0.2,0.162,0.55958956919094
"Sst",1.85950651720193e-05,0.229893129200765,0.132,0.097,0.591137121818495
"Picalm",1.86546775107091e-05,-0.146095172455913,0.447,0.496,0.593032198065443
"Hbb-bt",2.05119847593883e-05,0.0850164799915119,0.016,0.004,0.652075995500955
"Dnm1",2.15832868021685e-05,-0.216966964931469,0.054,0.084,0.686132687440935
"Tanc2",3.16326333416728e-05,-0.0828334166832421,0.861,0.887,1
"Fus",4.79782621763637e-05,0.15751236199282,0.407,0.354,1
"Il10ra",4.87501029608268e-05,-0.169608960895019,0.202,0.251,1
"Slc15a2",7.12542289537748e-05,0.203629534908555,0.054,0.033,1
"Elmo1",7.32441740054986e-05,0.0838243958506228,0.762,0.762,1
"Tgfbr1",7.53990151935016e-05,-0.096070372328481,0.782,0.805,1
"Eed",7.84400468500049e-05,-0.203983589639343,0.102,0.134,1
"Tnfrsf12a",7.85083230328539e-05,-0.0499169582575903,0,0.004,1
"Capn11",7.89195095006652e-05,-0.0852217830025203,0.001,0.008,1
"Man1a",8.66160444003896e-05,-0.171951749699913,0.213,0.254,1
"Ly6c1",9.53489266665732e-05,0.0766161021322435,0.008,0.001,1
"Acly",0.000105657589897911,-0.146593933929087,0.045,0.072,1
"Pag1",0.000115960588893552,-0.0845451673520508,0.723,0.767,1
"Fermt3",0.000135285459891767,-0.162298714506792,0.236,0.278,1
"Rbm39",0.000143494987010619,0.0921714243404406,0.624,0.61,1
"Ubash3b",0.000145296276834667,0.141765565867906,0.469,0.422,1
"Apbb1ip",0.000145329927935596,0.0823093189998985,0.699,0.688,1
"Chgb",0.000243529215921434,-0.203578563153936,0.095,0.126,1
"4933406I18Rik",0.000277547749913499,0.100611083501124,0.524,0.511,1
"Zfp608",0.000290837805735359,0.179996988220461,0.21,0.17,1
"Ctsh",0.000308100321831063,-0.157820671112481,0.202,0.241,1
"Ahsa1",0.000321041248292612,-0.152578342964552,0.028,0.049,1
"Cacnb2",0.000329912430642137,-0.110678955402506,0.226,0.272,1
"Calm2",0.000340943406514131,-0.088857801778409,0.48,0.533,1
"Serpine2",0.000366322749192813,0.103401282792995,0.315,0.27,1
"Aqr",0.000373620121032267,-0.148051536477254,0.034,0.056,1
"Dkk2",0.000382116973525541,0.248205672191828,0.045,0.026,1
"Eif3h",0.000394425215731129,-0.133136550996575,0.048,0.073,1
"Gm11826",0.000413023078791086,0.030924145333267,0.003,0,1
"Jmjd1c",0.000416878586828733,0.107512556208982,0.507,0.487,1
"Gna12",0.000425828502526593,-0.155619969390567,0.255,0.298,1
"Lims1",0.000435439567807647,0.12750455779594,0.396,0.349,1
"0610040J01Rik",0.00045792862180307,-0.145372162203493,0.3,0.343,1
"Jpx",0.000474022598274583,0.129818186432502,0.083,0.057,1
"Snhg11",0.000486473343673898,0.0564935083836546,0.423,0.435,1
"Abcb4",0.000572869962614857,-0.147832282822951,0.051,0.065,1
"Tbc1d9",0.000662269811306386,-0.174655337466908,0.186,0.222,1
"Snta1",0.000738019852601417,-0.154824389528045,0.102,0.134,1
"Ranbp10",0.000795391016775228,-0.134693360221929,0.124,0.159,1
"Mamdc2",0.000834717079112647,0.217407349875127,0.077,0.053,1
"Ube2e1",0.000836062891200642,-0.143534969664409,0.095,0.126,1
"Zfp981",0.000872052723299083,-0.144539827033023,0.037,0.058,1
"Perp",0.000912260899998661,0.0270208712844689,0.003,0,1
"Rbm3-ps",0.000912260899999067,0.0326315875701844,0.003,0,1
"Gm20663",0.000927059657990359,0.0852611785492701,0.256,0.217,1
"Arhgef18",0.000950587092629188,-0.132485277335479,0.045,0.068,1
"Ttc28",0.000951939598502597,-0.124093364806385,0.28,0.326,1
"Aff1",0.000958136346766388,-0.16018405221605,0.108,0.14,1
"Lpl",0.000980618218567323,0.142168917881925,0.064,0.042,1
"Spef2",0.000983266889998604,0.112490458965452,0.015,0.005,1
"Gm20110",0.00103139550036408,0.0909164512240784,0.008,0.001,1
"Fcho2",0.00104001750897038,-0.0716284291370755,0.288,0.331,1
"Fam102b",0.00104947630098974,0.135492938760027,0.336,0.305,1
"Spp1",0.00106807148437075,0.0710940367790724,0.007,0.001,1
"Prdx6",0.00107592571960882,0.152143009126845,0.057,0.036,1
"Nemf",0.00108018953158718,-0.155684768008265,0.097,0.128,1
"Numb",0.00109429351099575,0.0764877194061819,0.601,0.598,1
"Lysmd4",0.00116723942763599,0.120480885581387,0.481,0.437,1
"Pkig",0.00118227079642188,-0.14835202597549,0.204,0.239,1
"Mapk8ip1",0.00128334581971707,0.0986999755303395,0.023,0.011,1
"Arpc1b",0.00130489679953748,-0.162948213620838,0.092,0.116,1
"Smad3",0.00131973742568578,-0.153703160048984,0.167,0.205,1
"Gm16299",0.00132774918303343,0.0860509387983463,0.012,0.004,1
"Map1b",0.00137241552551343,-0.160072736086449,0.116,0.149,1
"Chn1",0.00139453351216657,-0.164576557283627,0.093,0.123,1
"Pts",0.00140090491170798,0.170737550252271,0.119,0.092,1
"Bahd1",0.00147280826760554,-0.0802975310091995,0.004,0.013,1
"Yaf2",0.00150959322783412,-0.16302898546157,0.095,0.125,1
"Sema5a",0.00153952211863953,-0.119865422197739,0.011,0.022,1
"Slc38a2",0.00153982774504558,-0.147364245639397,0.111,0.129,1
"Rnf144b",0.00163143101375525,0.178187353660713,0.106,0.082,1
"BC028777",0.00164099835999579,0.049916805264083,0.006,0.001,1
"Ptn",0.00164118338893228,0.0796567239774201,0.106,0.084,1
"Ldlrad3",0.00164586484859737,0.172602143290803,0.057,0.037,1
"Dgkd",0.00167022274414232,0.139333743639909,0.312,0.273,1
"Kctd13",0.0016945859276504,-0.116257246283514,0.011,0.022,1
"Csf1",0.00171462523278879,0.188366422814609,0.082,0.063,1
"Gnas",0.00175362291636466,0.106159053143351,0.492,0.467,1
"Pten",0.00178851989321615,-0.132229002491155,0.268,0.31,1
"Rapgef5",0.00182966918800809,-0.0887493652054347,0.467,0.513,1
"Wnk1",0.0018647539445197,-0.0949213089690502,0.462,0.507,1
"Glul",0.00195707707138333,-0.15824520685125,0.124,0.15,1
"Slc43a2",0.00196114280925269,-0.137871996155394,0.105,0.135,1
"Gpr88",0.00202469322173482,0.0326708742577065,0.003,0,1
"C430014B12Rik",0.0020246932217351,0.0251003610786912,0.003,0,1
"Gpx3",0.00202469322173544,0.0323564435342495,0.003,0,1
"Gm45502",0.00202469322173602,0.0350172343714754,0.003,0,1
"Lbx2",0.00202469322173635,0.0261275426621704,0.003,0,1
"Gm7008",0.00202469322173637,0.0299662627365151,0.003,0,1
"Zswim6",0.00203176432481098,-0.120223097518833,0.382,0.408,1
"Arf2",0.00205170829748104,-0.113144338389335,0.013,0.025,1
"Adap2",0.00207916067302654,-0.111184488979313,0.426,0.471,1
"9330175E14Rik",0.00210298551490168,0.0470455574803539,0.005,0,1
"Olfr1033",0.00220079057166225,-0.140519751185586,0.028,0.045,1
"D7Ertd443e",0.00222925384391241,0.14914476288128,0.084,0.06,1
"Pdk1",0.00227957650138053,0.159648939208531,0.169,0.138,1
"Egr1",0.00229174759006214,-0.100020434701184,0.013,0.025,1
"Sln",0.00229615795767656,-0.0298336516516339,0,0.003,1
"Cspg5",0.00232524276994938,0.0712794809813656,0.054,0.04,1
"Trpc4ap",0.00235768726699979,-0.101224965455783,0.125,0.155,1
"Man2b1",0.00238738206273416,-0.130411781699165,0.194,0.23,1
"Slc44a2",0.00245552163894135,0.151467477079092,0.101,0.075,1
"C1qa",0.00257815479262465,-0.142576000399035,0.217,0.255,1
"Ebf3",0.0026085284936984,0.146952256162115,0.103,0.077,1
"Gm10653",0.00270956845534421,0.0759882536893252,0.008,0.002,1
"Plekhm2",0.00271320319518191,-0.138365183702797,0.19,0.225,1
"Tmem229a",0.00277618952302609,-0.0845538032848271,0.004,0.012,1
"Nhs",0.00287594260085251,0.130802233760729,0.033,0.019,1
"Cbr3",0.00289317684811792,0.0631203512467087,0.011,0.003,1
"Coro2a",0.00295285606454785,0.167810049917288,0.127,0.098,1
"Opcml",0.00297152695751046,-0.160828046543432,0.091,0.117,1
"Itm2b",0.00305365450698107,-0.110293848534514,0.391,0.43,1
"Tubb2b",0.00308933050075886,0.122492859875945,0.04,0.024,1
"Luc7l",0.00312130598741938,-0.122910381211872,0.06,0.082,1
"Med12l",0.00312405979951727,0.133557173138749,0.265,0.228,1
"Alkal2",0.00316009944833914,-0.0630551534872957,0.001,0.006,1
"Pyroxd1",0.00316288565659377,-0.0700029323720213,0.021,0.034,1
"Rbpms",0.003176415548645,-0.134064809850463,0.076,0.102,1
"Zfp330",0.00324433532050722,-0.115548481026973,0.017,0.03,1
"Upk1b",0.00325830368253764,0.155883444962097,0.069,0.048,1
"Htra1",0.00326835554148418,0.0945167527178526,0.032,0.019,1
"Lrif1",0.00338561911224224,0.153667343892716,0.078,0.056,1
"Eml2",0.00342582036249999,-0.12764121390287,0.012,0.022,1
"Zfp526",0.00344950656911592,0.0503569347585377,0.006,0.001,1
"Zbtb20",0.00346251160251132,0.0747231654395013,0.647,0.634,1
"Gm20319",0.00348955215300018,0.0572544280573716,0.007,0.001,1
"A830008E24Rik",0.00356820038072684,0.148038422891791,0.164,0.145,1
"4930403D09Rik",0.00359746602950003,0.0819761548662369,0.013,0.005,1
"Pgrmc1",0.0036035882421701,0.0848334853951094,0.112,0.09,1
"Nrgn",0.00366605671355388,-0.104122819091467,0.333,0.374,1
"Rps15a-ps5",0.00366719055352598,0.0927494094959508,0.013,0.005,1
"Pdpk1",0.00378687205665722,-0.0950176068410401,0.104,0.131,1
"Man1c1",0.00384710046227606,-0.111752751634478,0.255,0.294,1
"Ifngr2",0.0038711295691693,-0.144703164557862,0.172,0.205,1
"2810454H06Rik",0.00390399172821912,0.086145020211639,0.019,0.008,1
"Lpp",0.003912031748948,-0.0847457170464705,0.167,0.198,1
"Evl",0.00391780506705089,0.108133256206535,0.251,0.238,1
"Cited2",0.00395076701463018,0.128682186930312,0.041,0.025,1
"Cadps",0.00396271683222459,-0.0916687940420506,0.035,0.051,1
"Gm6159",0.00404500231867961,-0.0647014467810833,0.002,0.007,1
"Ndrg2",0.00405497322488723,0.139142266892666,0.036,0.022,1
"Tmem246",0.0042161770178165,-0.120985465216026,0.012,0.023,1
"Sf3b1",0.00426535581181314,0.0756115719759045,0.28,0.28,1
"Sphkap",0.0042769006455185,-0.11554507546145,0.022,0.037,1
"mt-Nd2",0.00441060383387371,0.142067076472823,0.067,0.054,1
"Gm4258",0.00444641208058032,0.138424269524557,0.197,0.163,1
"Entpd1",0.00446394241534091,-0.117371825019422,0.422,0.459,1
"Fhl3",0.00452084225952351,-0.0759851847187198,0.006,0.015,1
"4930545L23Rik",0.00452173693269748,0.0286387976390061,0.002,0,1
"Pgm5",0.00452173693269862,0.0257289551570477,0.002,0,1
"Gm10509",0.0045217369326994,0.0226858791083316,0.002,0,1
"Lrrc23",0.00452173693269947,0.0323316286636003,0.002,0,1
"Cd36",0.00452173693269979,0.0328159745857393,0.002,0,1
"Slc13a4",0.00452173693269983,0.0203178383788663,0.002,0,1
"Qrfpr",0.00452173693270021,0.0251924092715078,0.002,0,1
"Aurkb",0.00452173693270104,0.0204811763610651,0.002,0,1
"Gm32552",0.00456045489787358,-0.0224163547689827,0,0.002,1
"Gm26954",0.00456045489787869,-0.0238850590840002,0,0.002,1
