"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ank",2.90201532810136e-96,1.57366764231837,0.353,0.079,9.22550672803423e-92
"Fgf13",1.0262151743833e-89,1.26820217588439,0.531,0.264,3.26233803936453e-85
"Myo1e",6.20948052525788e-87,1.41108496570384,0.298,0.05,1.97399385897948e-82
"Apbb2",7.43583762308944e-74,1.0653306489273,0.414,0.153,2.36385278038013e-69
"Cacna1a",8.47754369871554e-71,1.1441874446949,0.369,0.129,2.69501114182167e-66
"Olfr111",1.8814312192407e-67,1.15015784388625,0.215,0.025,5.98106984596618e-63
"Etl4",3.04273396545276e-67,1.32777786687788,0.224,0.031,9.67285127617432e-63
"Plxdc2",2.37915526015391e-60,0.405194433323386,0.942,0.921,7.56333457202928e-56
"Cadm1",3.36852540575449e-58,0.839045037752098,0.502,0.27,1.07085422648935e-53
"Gm15155",6.9381436212185e-58,1.0794838587032,0.141,0.005,2.20563585718536e-53
"Zfhx3",1.50366194918113e-56,-0.446550555665804,0.653,0.827,4.7801413364468e-52
"Ptchd1",2.50614018071638e-51,0.962227604024713,0.148,0.012,7.96701963449738e-47
"Acaca",5.28613536543482e-51,0.996816175439201,0.226,0.052,1.68046243267173e-46
"Prkg1",8.5237489593445e-51,1.05515059377428,0.3,0.101,2.70969979417562e-46
"Nav2",5.5386012385928e-50,-0.400265709711896,0.776,0.902,1.76072133374865e-45
"Igf1",7.96706817605012e-45,1.0194292945559,0.116,0.006,2.53273097316633e-40
"Xylt1",3.05332758327634e-44,0.881711997348614,0.182,0.033,9.7065283872355e-40
"Arhgap24",2.7427153666693e-42,0.824167039948635,0.315,0.124,8.71909215064171e-38
"Lrmda",5.85210941342848e-42,0.412543388237147,0.846,0.713,1.86038558252891e-37
"Elmo1",4.80165169922195e-40,-0.321894174159187,0.762,0.899,1.52644507518266e-35
"Clec7a",2.51068748905542e-39,0.773764610070448,0.094,0.002,7.9814755277072e-35
"Hdac9",1.36675321119483e-38,0.672905315506912,0.476,0.29,4.34490845838838e-34
"Srgap2",1.67857997092449e-37,-0.331371204653977,0.764,0.867,5.33620572756894e-33
"Malat1",2.94056976725176e-37,-0.110275070086097,1,1,9.34807129009336e-33
"Myo5a",1.43706795838394e-36,0.815818678768174,0.194,0.051,4.56843903970253e-32
"Nrp1",1.16221630790918e-35,0.767596577460388,0.304,0.131,3.69468564284327e-31
"Chd9",1.39055384286314e-35,-0.408382401916264,0.548,0.71,4.42057066646193e-31
"Mamdc2",1.24597395938812e-34,0.917377496028192,0.077,0.001,3.96095121689484e-30
"Hif1a",3.04826979828924e-34,0.808915472898406,0.183,0.05,9.69044968876149e-30
"Gm15283",8.89435320113894e-33,0.779503489863694,0.194,0.057,2.82751488264207e-28
"Ctnna3",2.83456865146182e-31,1.3760204429357,0.103,0.014,9.01109374299712e-27
"Tgfbr2",2.96249353042872e-31,0.545136771814741,0.523,0.37,9.41776693323291e-27
