"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Fgf13",1.80203548427459e-95,1.28828526241109,0.553,0.264,5.72867080450893e-91
"Apbb2",5.60308084290042e-85,1.09193664201265,0.434,0.153,1.78121939995804e-80
"Myo1e",3.64393339878134e-78,1.34895124271404,0.276,0.05,1.15840642747259e-73
"Cacna1a",1.78847624752816e-68,1.10322504197647,0.364,0.129,5.68556599089202e-64
"Malat1",1.56507965500707e-67,-0.15131171816842,1,1,4.97538822326749e-63
"Ank",3.32657425276231e-66,1.29010837341216,0.291,0.079,1.05751795495314e-61
"Cadm1",4.98805441658255e-62,0.844968546060685,0.498,0.27,1.58570249903159e-57
"Etl4",3.89186872099252e-60,1.23676569750009,0.207,0.031,1.23722506640352e-55
"Zfhx3",4.7635074879904e-60,-0.452223658716634,0.646,0.827,1.51431903043215e-55
"Elmo1",1.57273199586946e-58,-0.405718570009809,0.762,0.899,4.99971501486901e-54
"Gm15155",1.75437889649143e-57,1.05679965625638,0.138,0.005,5.57717051194625e-53
"Olfr111",4.45325153672353e-57,1.04428674724295,0.19,0.025,1.41568866352441e-52
"Acaca",3.30561375650268e-55,0.976339745139939,0.234,0.052,1.0508546131922e-50
"Srgap2",1.38357681762777e-54,-0.405135872524907,0.752,0.867,4.39839070323869e-50
"Ptchd1",6.88553158511941e-52,0.966799163401339,0.146,0.012,2.18891049090946e-47
"Arhgap24",4.88301450995694e-50,0.865341794656617,0.334,0.124,1.55231031271531e-45
"Plxdc2",1.43725577139505e-47,0.348570575983295,0.936,0.921,4.56903609726486e-43
"Prkg1",2.6518374801998e-43,0.957267294384244,0.278,0.101,8.43019134955518e-39
"Xylt1",3.97016174075323e-42,0.884319863015507,0.174,0.033,1.26211441738545e-37
"Lrmda",3.21004557344737e-41,0.42586349192555,0.834,0.713,1.02047348779892e-36
"Chd9",5.51064779511976e-41,-0.431622816692273,0.543,0.71,1.75183493406857e-36
"Nav2",4.10960037016131e-40,-0.335725806054883,0.777,0.902,1.30644195767428e-35
"Hdac9",6.60964005277939e-39,0.65575450970441,0.476,0.29,2.10120457277857e-34
"Igf1",9.9064839220697e-39,0.91217053070158,0.101,0.006,3.14927123882596e-34
"Fnip2",5.6137747834579e-38,0.738056056444184,0.32,0.14,1.78461900366127e-33
"Myo5a",1.18727028501279e-36,0.794642245751348,0.191,0.051,3.77433223605565e-32
"8030442B05Rik",5.27617583520383e-36,-0.581350559621008,0.205,0.393,1.6772962980113e-31
"Hif1a",9.19075467086252e-36,0.789251800880108,0.185,0.05,2.92174090986719e-31
"Nrp1",1.04057488956614e-35,0.738580750543456,0.3,0.131,3.30798757393074e-31
"Rftn1",2.61746949087172e-34,0.769044150922184,0.169,0.042,8.3209355114812e-30
"Ttr",6.68255867077236e-34,-0.592427333678322,0.18,0.36,2.12438540143853e-29
"Gm10790",3.89387505400989e-33,-0.483639948411817,0.382,0.566,1.23786287966974e-28
"Clec7a",7.17587327821262e-33,0.64418593659686,0.079,0.002,2.28121011514379e-28
"Rassf3",2.2364796533359e-29,0.655929834381927,0.258,0.11,7.10976881795483e-25
"Akt3",2.11766265398908e-28,0.58546349482654,0.331,0.169,6.73204957703127e-24
"Gm15283",7.6459496039029e-27,0.689401373207304,0.175,0.057,2.43064737908073e-22
"Lysmd4",1.83196987047394e-26,-0.414831914616347,0.437,0.582,5.82383221823666e-22
"Numb",1.09554288095041e-25,-0.340493641870321,0.598,0.72,3.48273081854135e-21
"Dock4",1.50986064927229e-25,-0.267968054776172,0.764,0.863,4.7998470040366e-21
"Bank1",1.84356231621989e-25,-0.590772644177347,0.082,0.202,5.86068460326305e-21
"Maml3",1.82202929279955e-24,-0.310141476129124,0.617,0.714,5.79223112180977e-20
"Axl",3.59305387931873e-24,0.466560868173253,0.068,0.005,1.14223182823543e-19
"Agmo",3.83040443332341e-24,-0.427574822336456,0.372,0.52,1.21768556935351e-19
"Mamdc2",1.30287607321446e-23,0.699970146153065,0.053,0.001,4.14184303674878e-19
"Cpeb2",3.1447673924583e-22,0.603998876613163,0.193,0.081,9.99721554062493e-18
"Tmem163",4.47378035965213e-22,0.611949514370749,0.093,0.017,1.42221477633341e-17
"Dock10",5.61579491103697e-22,-0.330273020602871,0.49,0.639,1.78526120221865e-17
"Ctse",6.14943565936244e-22,0.459279071146752,0.056,0.002,1.95490559611132e-17
"F630206G17Rik",1.10476433269698e-21,0.524447128358582,0.075,0.009,3.5120458136437e-17
"Cd300lf",1.96930293397305e-21,0.454463871114177,0.055,0.002,6.26041402710033e-17
"Frmd4a",6.46720363716253e-21,-0.276241799579974,0.602,0.725,2.05592403625397e-16
"Mef2a",1.27657204429366e-20,-0.254002917043964,0.73,0.799,4.05822252880955e-16
"Baiap2l2",1.6481512082798e-20,0.333867446035514,0.041,0,5.23947269112149e-16
"Snhg11",1.75269178880679e-20,-0.371612551817155,0.435,0.558,5.57180719661677e-16
"Cd9",1.10999523465881e-19,0.531028366422864,0.268,0.146,3.52867485098037e-15
"Tnfsf8",1.21781203022867e-19,0.499289520967916,0.091,0.02,3.87142444409695e-15
"Gm8995",3.44748868843939e-19,0.528874980099664,0.13,0.042,1.09595665405488e-14
"Gm26714",5.0163428379449e-19,0.522822764486358,0.094,0.022,1.59469538818268e-14
"Prkca",5.08217815512635e-19,-0.414688731580346,0.259,0.396,1.61562443551467e-14
"Lyst",5.3132391903553e-19,0.516296970194396,0.229,0.113,1.68907873861395e-14
"Fchsd2",8.16006438366878e-19,-0.334769996356076,0.436,0.575,2.59408446756831e-14
"Ctsb",9.94910961701215e-19,0.478303764305428,0.315,0.184,3.16282194724816e-14
"Gcnt2",1.16808844018492e-18,0.547560579075993,0.153,0.058,3.71335315134786e-14
"Flt1",1.44085574314549e-18,0.465901612128456,0.051,0.003,4.5804804074595e-14
"Thy1",1.55948601257097e-18,0.510643255969556,0.185,0.081,4.9576060339631e-14
"Serpine2",1.61785747883958e-18,0.543427652220348,0.27,0.154,5.14316892523103e-14
"Gm43821",2.37009372793198e-18,-0.428069373688429,0.024,0.09,7.53452796109576e-14
"Gm46367",6.76709995926717e-18,-0.422021090138266,0.28,0.411,2.15126107705103e-13
"Dip2b",7.71339225372278e-18,-0.286365459026452,0.531,0.655,2.45208739745847e-13
"Fkbp5",9.80970247409193e-18,0.422733865776272,0.404,0.289,3.11850441651383e-13
"Stab1",1.03649957871709e-17,-0.479351658835322,0.126,0.234,3.29503216074163e-13
"Mitf",1.47870948208878e-17,0.392036059309146,0.464,0.325,4.70081744356024e-13
"Ccl4",1.52611550220693e-17,0.506491708793213,0.051,0.004,4.85152118151583e-13
"Rai14",1.53349082965192e-17,0.438956521545395,0.055,0.006,4.87496734746346e-13
"Gm32036",2.90255546761312e-17,-0.437067475884583,0.199,0.308,9.22722383154211e-13
"4933406I18Rik",3.1924417697836e-17,-0.310163376586612,0.511,0.625,1.01487723861421e-12
"Myo1d",6.19030997296486e-17,-0.510519801510291,0.05,0.127,1.96789954040553e-12
"Asap1",7.43031716957776e-17,0.317704989160636,0.589,0.46,2.36209782820877e-12
"Gng12",1.09223009584339e-16,0.491005587512413,0.188,0.088,3.47219947468614e-12
"Acer3",1.29969551562267e-16,0.424795404457736,0.404,0.288,4.13173204416447e-12
"Myo1f",1.79112563623353e-16,0.341546024588024,0.537,0.433,5.69398839758638e-12
"Cacnb2",5.13198341871708e-16,-0.358090210791245,0.272,0.403,1.63145752881016e-11
"Ccr5",6.44268088227278e-16,-0.403931115969061,0.144,0.254,2.04812825247452e-11
"Gm20663",8.58695667350414e-16,0.545444819487399,0.217,0.12,2.72979352650697e-11
"Apoe",1.00939014827078e-15,0.435951809804652,0.457,0.334,3.2088512813528e-11
"Zfp710",1.2511080915649e-15,-0.312027650529154,0.432,0.549,3.97727262308482e-11
"Cx3cr1",1.67503351692853e-15,-0.289239109212588,0.459,0.585,5.32493155031581e-11
"Maf",1.81605702304623e-15,-0.391038661451872,0.213,0.33,5.77324527626398e-11
"Otulin",1.85863124552368e-15,0.502657383047213,0.184,0.09,5.90858872951979e-11
"Klf7",2.52027773637756e-15,-0.449119146335934,0.073,0.156,8.01196292394425e-11
"Plekhh2",3.4624031011093e-15,0.428017328501847,0.076,0.018,1.10069794584265e-10
"Plekhm2",3.92506849936201e-15,0.442461312653381,0.225,0.121,1.24777927594718e-10
"Arid5b",5.93348364326998e-15,0.485492230608359,0.236,0.135,1.88625445019553e-10
"Cst7",6.24712847803514e-15,0.313028826782562,0.038,0.002,1.98596214316737e-10
"Bcar3",1.06296490432679e-14,0.368250907318855,0.042,0.003,3.37916543085488e-10
"St8sia6",1.33522004911926e-14,0.414173882744442,0.07,0.016,4.24466453615012e-10
"Plaur",1.85665505205314e-14,0.373451526756145,0.059,0.011,5.90230641047694e-10
"Ldlrad4",1.92061608036897e-14,-0.221464347009142,0.715,0.802,6.10563851949295e-10
"Samsn1",1.9519585767527e-14,0.440452571251268,0.234,0.134,6.20527631549682e-10
"C030034L19Rik",2.61809047705381e-14,0.420879188116571,0.069,0.016,8.32290962655407e-10
"P2ry12",3.0120521860136e-14,-0.303140874686366,0.432,0.539,9.57531389933724e-10
"Rapgef5",4.01063821108185e-14,-0.274699691255984,0.513,0.625,1.27498188730292e-09
"Gab2",5.15429857542558e-14,0.264430731337108,0.709,0.607,1.63855151712779e-09
"Abcd2",5.19840456352585e-14,0.458645334733772,0.199,0.106,1.65257281074487e-09
"Adarb1",6.3808119837389e-14,0.456960579687365,0.125,0.05,2.0284601296306e-09
"Oasl2",8.99128518314598e-14,0.356173802763217,0.042,0.004,2.85832955972211e-09
"Gm4951",1.11438865335619e-13,0.448451836859011,0.068,0.016,3.54264152901932e-09
"Apobec1",1.79609950879414e-13,0.525659917080517,0.204,0.119,5.70980033845659e-09
"Chst11",1.84536664799373e-13,0.450043469375079,0.212,0.118,5.86642057397205e-09
"Ccl3",1.95154230949007e-13,0.30254134165773,0.034,0.002,6.20395300186892e-09
"Gab3",1.95340671143158e-13,0.453323986045139,0.105,0.039,6.20987993564099e-09
"Anapc15",1.99235876197333e-13,0.448729433021198,0.179,0.09,6.33370850431322e-09
"Itga9",2.06194064761885e-13,-0.375414309802231,0.144,0.243,6.55490931878033e-09
"Ifi207",2.15659000779044e-13,0.324899806921346,0.036,0.002,6.85579963476582e-09
"Dkk2",2.19527785713921e-13,0.354472149905226,0.026,0,6.97878830784554e-09
"Meg3",2.23903723198861e-13,-0.290097363835838,0.445,0.553,7.11789936049179e-09
