"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"1",1.80203548427459e-95,1.28828526241109,0.553,0.264,5.72867080450893e-91
"2",5.60308084290042e-85,1.09193664201265,0.434,0.153,1.78121939995804e-80
"3",3.64393339878134e-78,1.34895124271404,0.276,0.05,1.15840642747259e-73
"4",1.78847624752816e-68,1.10322504197647,0.364,0.129,5.68556599089202e-64
"5",3.32657425276231e-66,1.29010837341216,0.291,0.079,1.05751795495314e-61
"6",4.98805441658255e-62,0.844968546060685,0.498,0.27,1.58570249903159e-57
"7",3.89186872099252e-60,1.23676569750009,0.207,0.031,1.23722506640352e-55
"8",1.75437889649143e-57,1.05679965625638,0.138,0.005,5.57717051194625e-53
"9",4.45325153672353e-57,1.04428674724295,0.19,0.025,1.41568866352441e-52
"10",3.30561375650268e-55,0.976339745139939,0.234,0.052,1.0508546131922e-50
"11",6.88553158511941e-52,0.966799163401339,0.146,0.012,2.18891049090946e-47
"12",4.88301450995694e-50,0.865341794656617,0.334,0.124,1.55231031271531e-45
"13",2.6518374801998e-43,0.957267294384244,0.278,0.101,8.43019134955518e-39
"14",3.97016174075323e-42,0.884319863015507,0.174,0.033,1.26211441738545e-37
"15",9.9064839220697e-39,0.91217053070158,0.101,0.006,3.14927123882596e-34
"16",1.18727028501279e-36,0.794642245751348,0.191,0.051,3.77433223605565e-32
"17",9.19075467086252e-36,0.789251800880108,0.185,0.05,2.92174090986719e-31
"18",1.04057488956614e-35,0.738580750543456,0.3,0.131,3.30798757393074e-31
"19",2.61746949087172e-34,0.769044150922184,0.169,0.042,8.3209355114812e-30
"20",2.09743145256004e-12,0.745470751922207,0.055,0.014,6.66773458768838e-08
"21",4.7635074879904e-60,-0.452223658716634,0.646,0.827,1.51431903043215e-55
"22",1.57273199586946e-58,-0.405718570009809,0.762,0.899,4.99971501486901e-54
"23",1.38357681762777e-54,-0.405135872524907,0.752,0.867,4.39839070323869e-50
"24",5.51064779511976e-41,-0.431622816692273,0.543,0.71,1.75183493406857e-36
"25",5.27617583520383e-36,-0.581350559621008,0.205,0.393,1.6772962980113e-31
"26",6.68255867077236e-34,-0.592427333678322,0.18,0.36,2.12438540143853e-29
"27",3.89387505400989e-33,-0.483639948411817,0.382,0.566,1.23786287966974e-28
"28",1.83196987047394e-26,-0.414831914616347,0.437,0.582,5.82383221823666e-22
"29",1.84356231621989e-25,-0.590772644177347,0.082,0.202,5.86068460326305e-21
"30",3.83040443332341e-24,-0.427574822336456,0.372,0.52,1.21768556935351e-19
"31",5.08217815512635e-19,-0.414688731580346,0.259,0.396,1.61562443551467e-14
"32",2.37009372793198e-18,-0.428069373688429,0.024,0.09,7.53452796109576e-14
"33",6.76709995926717e-18,-0.422021090138266,0.28,0.411,2.15126107705103e-13
"34",1.03649957871709e-17,-0.479351658835322,0.126,0.234,3.29503216074163e-13
"35",2.90255546761312e-17,-0.437067475884583,0.199,0.308,9.22722383154211e-13
"36",6.19030997296486e-17,-0.510519801510291,0.05,0.127,1.96789954040553e-12
"37",2.52027773637756e-15,-0.449119146335934,0.073,0.156,8.01196292394425e-11
"38",3.00023414844305e-13,-0.43715375886234,0.053,0.12,9.53774435790045e-09
"39",1.7813154607319e-12,-0.445021359569011,0.019,0.065,5.6628018496667e-08
"40",3.78708732425475e-12,-0.430633211849926,0.055,0.12,1.20391506038058e-07
