"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ttr",7.93735573946272e-32,0.629070036949232,0.457,0.197,2.5232853895752e-27
"Ebf1",4.74831745102611e-26,-0.669852405518103,0.047,0.212,1.5094901176812e-21
"Adarb2",1.99454507552891e-12,0.3076493164984,0.888,0.842,6.3406587951064e-08
"Lhfpl3",6.81822315809737e-12,-0.193308309276238,0.949,0.945,2.16751314195915e-07
"Il12b",2.60416692564083e-11,0.156138694427082,0.035,0,8.27864665661221e-07
"Gm13052",2.8304087952788e-11,0.44943464162689,0.334,0.193,8.99786956019129e-07
"Tafa1",3.4596311383006e-07,0.290622326793816,0.588,0.49,0.0109981673886576
"Plcb1",3.50273569720819e-07,0.225215863802561,0.818,0.763,0.0111351967814249
"Kcnip1",4.58913982353228e-07,0.254078632062568,0.504,0.381,0.0145888754990091
"Hbb-bt",6.9946231699274e-07,0.0757855279775729,0.02,0,0.0222359070571992
"Plce1",8.09561017412753e-07,0.310252932991881,0.42,0.307,0.0257359447435514
"Erbb4",2.53475023908161e-06,0.151199737192846,0.972,0.961,0.0805797101004044
"Pttg1",3.77006896144706e-06,-0.119601556346892,0.001,0.026,0.119850492284402
"Malat1",3.9424559879286e-06,0.089885902195328,1,1,0.12533067585625
"Sgcd",4.22202291602495e-06,0.168993469033666,0.859,0.822,0.134218108500433
"Clu",4.79767585960271e-06,0.245540712455089,0.117,0.053,0.15251811557677
"Tnr",5.31135547599484e-06,0.141636002081074,0.945,0.943,0.168847990581876
"Inpp4b",5.41306835657224e-06,0.26224130048252,0.589,0.483,0.172081443055432
"Olfm2",6.45327506513065e-06,-0.285466449701071,0.342,0.439,0.205149614320503
"Hbb-bs",7.21248966307337e-06,0.177938968973341,0.093,0.039,0.229285046389103
"Sema5a",7.87158089267895e-06,0.284621612083184,0.455,0.355,0.250237556578264
"Sez6l",1.02721898781289e-05,0.190820779590778,0.366,0.263,0.326552916225717
"Phlpp1",1.14351677580539e-05,-0.243011257868355,0.533,0.586,0.363523983028532
"Hip1",1.73035246272731e-05,-0.210978573000725,0.455,0.535,0.550079047901013
"Gm12296",2.00418216001183e-05,0.250307398792122,0.124,0.062,0.637129508667761
"Csmd1",2.4109030528594e-05,0.113784119454305,0.957,0.957,0.766426080504004
"Asic2",2.71865936051324e-05,0.234001427622478,0.632,0.545,0.864261810707158
"Speer4b",3.593587271125e-05,0.0662481988615807,0.014,0,1
"Kcnma1",4.21027904112743e-05,0.221793076162441,0.622,0.547,1
"Pde7b",5.93865974137382e-05,-0.201217169251861,0.463,0.523,1
"Gm2164",8.4304130007938e-05,-0.205689650845538,0.394,0.491,1
"Cfap20",8.68061887945038e-05,-0.239877214596389,0.258,0.335,1
"Gm45352",9.45845554271056e-05,0.117557271988655,0.078,0.036,1
"Samd4",9.88721539759869e-05,-0.232960149138864,0.272,0.352,1
"Dpp6",9.89450595078831e-05,0.188713590215519,0.763,0.69,1
"Nxph1",0.000110097976869457,-0.178817361953683,0.848,0.88,1
"Cntn4",0.000132793157538365,0.155047162226446,0.81,0.774,1
"Kazn",0.000137101164149487,0.259188124555928,0.27,0.188,1
"Rpp40",0.000155966583332907,-0.0513288325634444,0,0.012,1
"Slc5a7",0.000179650378886395,0.194664826860841,0.083,0.038,1
"Itgav",0.000185469211425486,-0.232177308334693,0.279,0.331,1
"Grik2",0.00020340083382521,0.161772933072174,0.828,0.809,1
"Rab31",0.000206203140974882,-0.195251719608379,0.391,0.453,1
"C430049B03Rik",0.000210819518983612,0.276477258648449,0.194,0.127,1
"Sox8",0.000221976163481155,0.167545275175702,0.315,0.232,1
"Gm49318",0.000305511421149918,-0.0535137968308982,0,0.011,1
"Rbm11",0.00031089621127694,0.149515757059887,0.07,0.03,1
"Tmem108",0.000340655391554733,-0.0604954551193679,0.446,0.539,1
"Pdss2",0.000348975307370234,-0.196738283229676,0.19,0.216,1
"St3gal4",0.000395438946365765,-0.248541724131896,0.116,0.155,1
"Sycp2",0.000413374198660698,0.264091533744674,0.331,0.253,1
"AC149090.1",0.00041339567911161,0.192222798087945,0.299,0.218,1
"Nasp",0.000422361791452838,-0.19832307449729,0.116,0.142,1
"Zfr",0.000450701903832202,-0.153064495769568,0.392,0.428,1
"Cacna1e",0.000479148879763067,0.247839872287066,0.296,0.232,1
"Apoe",0.0004794203697333,0.106035778268566,0.623,0.535,1
"Dner",0.000522357525651184,0.199862923080531,0.365,0.28,1
"Adhfe1",0.000556120506139757,0.0949936709000844,0.027,0.005,1
"Soga3",0.000562030653732357,-0.189566505062278,0.216,0.294,1
"Sox2ot",0.000586312545758876,-0.147100019956198,0.929,0.938,1
"Phf6",0.000628034531733301,-0.130234051323111,0.165,0.169,1
"Frrs1l",0.000692082998863383,-0.198823378672671,0.075,0.129,1
