"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"1",7.93735573946272e-32,0.629070036949232,0.457,0.197,2.5232853895752e-27
"2",1.99454507552891e-12,0.3076493164984,0.888,0.842,6.3406587951064e-08
"3",2.8304087952788e-11,0.44943464162689,0.334,0.193,8.99786956019129e-07
"4",3.4596311383006e-07,0.290622326793816,0.588,0.49,0.0109981673886576
"5",3.50273569720819e-07,0.225215863802561,0.818,0.763,0.0111351967814249
"6",4.58913982353228e-07,0.254078632062568,0.504,0.381,0.0145888754990091
"7",8.09561017412753e-07,0.310252932991881,0.42,0.307,0.0257359447435514
"8",4.79767585960271e-06,0.245540712455089,0.117,0.053,0.15251811557677
"9",5.41306835657224e-06,0.26224130048252,0.589,0.483,0.172081443055432
"10",7.87158089267895e-06,0.284621612083184,0.455,0.355,0.250237556578264
"11",2.00418216001183e-05,0.250307398792122,0.124,0.062,0.637129508667761
"12",2.71865936051324e-05,0.234001427622478,0.632,0.545,0.864261810707158
"13",0.000137101164149487,0.259188124555928,0.27,0.188,1
"14",0.000210819518983612,0.276477258648449,0.194,0.127,1
"15",0.000413374198660698,0.264091533744674,0.331,0.253,1
"16",0.000479148879763067,0.247839872287066,0.296,0.232,1
"17",0.00579220584522726,0.226630290591143,0.16,0.109,1
"18",0.0275778068331535,0.51230903226334,0.243,0.199,1
"19",0.0536739799152951,0.297448784347911,0.194,0.151,1
"20",0.129907923296175,0.365608503408542,0.18,0.147,1
"21",4.74831745102611e-26,-0.669852405518103,0.047,0.212,1.5094901176812e-21
"22",6.45327506513065e-06,-0.285466449701071,0.342,0.439,0.205149614320503
"23",1.14351677580539e-05,-0.243011257868355,0.533,0.586,0.363523983028532
"24",1.73035246272731e-05,-0.210978573000725,0.455,0.535,0.550079047901013
"25",5.93865974137382e-05,-0.201217169251861,0.463,0.523,1
"26",8.4304130007938e-05,-0.205689650845538,0.394,0.491,1
"27",8.68061887945038e-05,-0.239877214596389,0.258,0.335,1
"28",9.88721539759869e-05,-0.232960149138864,0.272,0.352,1
"29",0.000185469211425486,-0.232177308334693,0.279,0.331,1
"30",0.000395438946365765,-0.248541724131896,0.116,0.155,1
"31",0.000692082998863383,-0.198823378672671,0.075,0.129,1
"32",0.000723760440615984,-0.218495290946234,0.198,0.223,1
"33",0.00107861805676729,-0.233090208785531,0.181,0.247,1
"34",0.00113147969005586,-0.212203744478033,0.256,0.309,1
"35",0.00115338194609383,-0.242756740024812,0.068,0.102,1
"36",0.00283079012305784,-0.213890411448929,0.126,0.166,1
"37",0.00352003789531519,-0.264819836660712,0.05,0.085,1
"38",0.00614784598000323,-0.226055955330893,0.147,0.178,1
"39",0.0943169385325615,-0.215541877780897,0.082,0.088,1
"40",0.0965430071353425,-0.27332627881055,0.142,0.171,1
