"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ebf1",2.23198908527862e-24,-0.668433739221573,0.047,0.216,7.09549330210072e-20
"Malat1",6.33624419840983e-21,0.189865867751219,1,1,2.01429203067449e-16
"Zfp804b",4.15737972762713e-11,0.492285275203981,0.109,0.024,1.32163101541266e-06
"Il12b",1.60916373645524e-09,0.156138694427082,0.035,0,5.1155315181912e-05
"Zbtb16",3.00817704951376e-09,0.41969786079158,0.222,0.109,9.56299484040425e-05
"Plce1",3.73545596547196e-09,0.398238817246409,0.42,0.287,0.000118750145142354
"Kcnip3",7.23429214975191e-09,-0.358461746555707,0.501,0.6,0.000229978147440613
"Thy1",2.54142568599095e-08,0.275917250933585,0.182,0.086,0.000807919225576524
"Cryab",2.2055220651638e-07,-0.377964646475603,0.102,0.196,0.00701135464515571
"Gm38505",7.49515247684505e-06,-0.243840382500437,0.688,0.758,0.238270897238904
"Gm20388",9.22827603074902e-06,-0.177479124619206,0.923,0.931,0.293366895017511
"Snhg11",1.94671383890111e-05,-0.193274957653795,0.602,0.709,0.618860329386662
"Epn2",2.42056217881769e-05,-0.147900534061406,0.893,0.921,0.769496716646143
"Tafa1",2.85052275655709e-05,0.269561364712676,0.588,0.512,0.906181184309498
"C1qa",3.13348661512752e-05,0.211771453559467,0.051,0.012,0.99613539494904
"Atg4a",3.79154098974113e-05,0.125469976939127,0.053,0.014,1
"Fbxl2",7.02941699183228e-05,-0.243137525342854,0.153,0.188,1
"Gabrb2",8.22390044677663e-05,0.236083897184228,0.258,0.169,1
"F8",0.000119977916653923,0.172062801972165,0.05,0.014,1
"Slc35f1",0.000132093585798523,0.122135456004192,0.838,0.853,1
"S1pr3",0.000135938579502241,-0.228784955744823,0.015,0.05,1
"Tyrobp",0.000145639592240641,0.0829579098423046,0.021,0.001,1
"Itga9",0.000159703230868896,-0.240506299536984,0.415,0.471,1
"Pttg1",0.000196102059530418,-0.129679537991714,0.001,0.02,1
"Grk3",0.000237638346261605,-0.238679120619947,0.095,0.162,1
"Xylt1",0.000245888655607082,-0.146721259089451,0.867,0.898,1
"Tbc1d7",0.000286942162784378,0.109305204332659,0.037,0.008,1
"Nudt14",0.000323715274032645,-0.0717949574076607,0,0.012,1
"Gfap",0.000355233520392122,0.0988988160998878,0.028,0.004,1
"Slc24a3",0.000384166146774621,0.269829668325925,0.42,0.341,1
"B9d1",0.000390624498689055,-0.27231419751201,0.097,0.154,1
"Cdh19",0.000432607336322121,0.2375226250385,0.305,0.218,1
"Calr",0.000433389472639815,-0.148615126425957,0.096,0.158,1
"CT010467.1",0.000456878180171979,-0.22929669950116,0.195,0.245,1
"Mertk",0.000457069566040628,0.257388408546896,0.274,0.192,1
"Gng4",0.000498290269648105,0.148441454572414,0.039,0.01,1
"Pde4b",0.000505839405428579,-0.129801713508354,0.867,0.898,1
"Tafa2",0.000520139319481187,0.221459664699551,0.511,0.424,1
"Prkar2b",0.000537565452838216,0.17617518955734,0.081,0.035,1
"Unc13c",0.000630474949974734,-0.197908904654162,0.476,0.559,1
"Kcnip1",0.000644109347304963,0.17076812433518,0.504,0.408,1
"Stim1",0.000650536301394446,-0.216529108913747,0.145,0.177,1
"Gm26936",0.000677087570374801,-0.227877369490894,0.256,0.293,1
"Diras1",0.000712107167444706,0.0587260156166483,0.012,0,1
"Tmem74b",0.000712107167444826,0.0879271012761668,0.012,0,1
"Epb41l2",0.000730303695279629,0.417721552393351,0.162,0.102,1
"Gm15247",0.000735263018166775,-0.0472857406007444,0,0.011,1
"Slc26a5",0.000735263018166781,-0.051452979786649,0,0.011,1
"Pts",0.000764769862205187,0.106270683671319,0.091,0.048,1
"Osbp",0.000868889335193622,0.190798086828232,0.096,0.048,1
"Hip1",0.000887413492007385,-0.157260919748173,0.455,0.539,1
"Hsp90ab1",0.000891723530931577,-0.227349919224777,0.347,0.424,1
"Rabep1",0.000929564204466482,-0.228448257944254,0.364,0.433,1
"C4b",0.000935240243680993,0.162655517709549,0.04,0.011,1
"Nrxn3",0.000979080899225998,0.109747845563478,0.859,0.878,1
"Zfp300",0.00102419592585824,0.0832502989185339,0.019,0.001,1
"Zfp398",0.00105545950020969,-0.182056462096879,0.177,0.2,1
"Shtn1",0.00112523321688226,-0.21668397143771,0.088,0.116,1
"Wdr3",0.00113383520593195,0.102397385086142,0.034,0.008,1
"Hbb-bs",0.00115236433775011,0.132063743547819,0.093,0.049,1
"Sco2",0.00115748846955147,0.106152522219856,0.034,0.008,1
"Nsmce2",0.00119446232963838,-0.196704031585977,0.251,0.279,1
"Clasp1",0.00122388616067042,0.129586948544198,0.299,0.224,1
"Ctnna3",0.0012600225760212,-0.173636914122397,0.772,0.82,1
"Rnf14",0.00126097802110998,0.0128998968143521,0.153,0.114,1
"Atp6v0c",0.00127923557809159,-0.186527113884314,0.433,0.471,1
"Plcb1",0.00133453116887516,0.155904894061757,0.818,0.773,1
"Zbtb20",0.00140719910182647,-0.127631855335397,0.872,0.902,1
"Gm47135",0.00142550920329319,0.122256836609579,0.067,0.03,1
"Ubb",0.00151570465463504,-0.199267559054219,0.277,0.343,1
"4930420G21Rik",0.00155071047301207,-0.149829916351737,0.009,0.034,1
"Rev3l",0.0015827992284533,-0.15552558475154,0.671,0.743,1
"Stxbp3",0.00161457456134649,0.202340135199605,0.165,0.103,1
"Tnfsf13os",0.00167724280769353,-0.047722951262595,0,0.01,1
"Rps27a-ps2",0.00167724280769366,-0.0410566018735177,0,0.01,1
"Tnfsf13b",0.00167724280769374,-0.0517725568720094,0,0.01,1
"Aass",0.00167724280769375,-0.0452539596690059,0,0.01,1
"Gm9520",0.00167724280769378,-0.0446621168328972,0,0.01,1
"Tube1",0.00167822179894118,-0.0811145718630886,0.001,0.016,1
"Nr2c1",0.00168669039682631,-0.180807178793431,0.074,0.127,1
"Bmper",0.00168797151781906,0.0382846776374005,0.125,0.087,1
