"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ttr",1.80065779713309e-25,-0.519586097088415,0.197,0.435,5.72429113708611e-21
"Zbtb16",6.78698524805595e-21,0.603925649901751,0.29,0.109,2.15758261035699e-16
"Grk3",9.48023856864011e-11,-0.40889037110619,0.063,0.162,3.01376784097069e-06
"Tmem108",2.28862654430668e-10,0.412339138617732,0.539,0.39,7.27554378435094e-06
"Zfp804b",6.40572802507484e-09,0.436733006450234,0.093,0.024,0.000203638093917129
"Thy1",2.02786274053351e-08,0.297014507983583,0.183,0.086,0.000644657565215602
"Sycp2",2.2607216122204e-08,-0.336161595038716,0.253,0.38,0.000718683400524864
"AC149090.1",2.62566393119885e-08,-0.324208897518204,0.218,0.344,0.000834698563728114
"Epn2",2.80752523834848e-08,-0.192943209580604,0.88,0.921,0.000892512273270981
"Slc15a2",1.68307449764389e-07,-0.287936922289236,0.044,0.116,0.00535049382800992
"C4b",2.10109448670301e-07,0.215281313658798,0.059,0.011,0.00667937937322888
"Ncam2",4.42550053618269e-07,0.176180333859971,0.914,0.863,0.0140686662045248
"Dner",8.47999614013789e-07,-0.286997240757949,0.28,0.4,0.0269579077294984
"Grm5",1.12645236398008e-06,0.212761601100153,0.767,0.727,0.0358099206509267
"Gdpd3",2.4375736433222e-06,-0.176858450398523,0.008,0.046,0.0774904661212128
"Sema3d",2.50698758314035e-06,0.276184284648291,0.528,0.424,0.0796971352680316
"Snhg11",2.69812740519182e-06,-0.218260034823842,0.599,0.709,0.0857734702110481
"Malat1",3.07776953074779e-06,0.0999799655558906,1,1,0.0978422933824722
"Pid1",6.22902060872021e-06,-0.207911485312749,0.694,0.781,0.198020565151215
"Gm20713",6.96969707119571e-06,-0.258697270205412,0.547,0.634,0.221566669893312
"Unc13c",7.43025299719372e-06,-0.263175649166602,0.47,0.559,0.236207742780788
"Fstl5",7.58811433841237e-06,0.364378055226878,0.178,0.116,0.241226154818129
"Cd9",8.06778719650542e-06,0.267099232580043,0.388,0.278,0.256474954976907
"4932443L11Rik",8.34358881175216e-06,-0.280762533874569,0.334,0.438,0.265242688325601
"Pstpip2",1.02474819009735e-05,-0.324566335556867,0.189,0.283,0.325767449631947
"Ctss",1.65175974090484e-05,0.172867204429807,0.037,0.005,0.525094421633648
"B230217J21Rik",2.31936929251544e-05,-0.135214351083455,0.115,0.182,0.737327498090657
"Zmynd8",3.37846672459814e-05,-0.244941424052648,0.328,0.424,1
"Itga9",3.7447237207153e-05,-0.277701032484055,0.395,0.471,1
"Kcnip3",3.95011117847831e-05,-0.245600362329402,0.528,0.6,1
"Usp24",4.19230393359648e-05,0.224931825792378,0.673,0.603,1
"Prkcq",4.40969202992168e-05,-0.181999664290829,0.322,0.427,1
"Nrcam",5.39745477147562e-05,0.234895713537801,0.581,0.512,1
"Tvp23a",5.91015042569435e-05,0.236676127121516,0.072,0.027,1
"Pacrg",6.29797199188022e-05,-0.216261520682049,0.341,0.446,1
"Pde4b",8.83330943212054e-05,-0.142909024823239,0.862,0.898,1
"Degs2",0.000105269732101371,-0.111456491579794,0.002,0.023,1
"Unc5c",0.000114208383148477,0.157214237991802,0.799,0.79,1
"Meg3",0.000126659287505222,-0.168456552999047,0.683,0.763,1
"Zbtb20",0.000135933372898334,-0.132516589338768,0.867,0.902,1
"Lhfpl3",0.000155071844068387,0.122404891400644,0.945,0.95,1
"Cdh2",0.000175060092191523,0.237674061880807,0.385,0.293,1
"Pcdh9",0.000179618508639639,-0.0738330034205799,0.991,0.996,1
"Dst",0.00018524284113431,0.204099054568616,0.585,0.52,1
"Tyrobp",0.000185663533220419,0.08014981048907,0.02,0.001,1
