"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ttr",6.49194803891246e-211,0.82321184797138,0.483,0.205,2.06379028157027e-206
"Rnf220",1.41429780344103e-97,-0.395028308779219,0.622,0.756,4.49605271713902e-93
"Plcl1",3.05064513544611e-66,0.217733179620358,0.956,0.939,9.69800088558318e-62
"Spock1",5.1749628371126e-64,0.430574349401191,0.563,0.426,1.6451206859181e-59
"Otud7a",2.07996124851881e-63,0.394757034614411,0.551,0.409,6.61219680904131e-59
"Mast4",1.15224630173341e-62,0.226741690083257,0.932,0.887,3.6629909932105e-58
"Slc8a1",1.75549586009955e-60,0.326396900838258,0.712,0.608,5.58072133925648e-56
"Elmo1",3.05523320447419e-55,0.277544369570815,0.759,0.654,9.71258635702345e-51
"Malat1",1.53620715420494e-44,0.0835781935381528,1,1,4.8836025432175e-40
"Tenm2",5.80925302390575e-43,0.470209028123757,0.308,0.201,1.84676153629964e-38
"Hbb-bs",2.24820541181193e-41,0.281666685268055,0.081,0.028,7.14704500415011e-37
"Ptprk",4.57357012052242e-37,0.239283174418838,0.721,0.636,1.45393794131408e-32
"Pttg1",2.71254244409417e-33,-0.212786822432787,0.001,0.025,8.62317242977536e-29
"Shtn1",1.13028144987179e-30,-0.274057709438729,0.351,0.444,3.59316472914243e-26
"Plin4",3.81329990923984e-29,0.321194026019506,0.079,0.03,1.21224804114735e-24
"St18",5.2410952608087e-29,-0.148281748664495,0.888,0.93,1.66614418341109e-24
"Ptgds",7.30901984697066e-29,0.279593132778569,0.563,0.477,2.32353740935197e-24
"Zfand4",1.10809055228381e-27,0.363185894332698,0.104,0.049,3.52261986571024e-23
"Oxr1",4.36623124535569e-27,0.264393260374166,0.519,0.427,1.38802491289857e-22
"Pex5l",6.87332730392496e-26,0.186948199689344,0.818,0.76,2.18503074991775e-21
"Il12b",1.02249827967218e-24,0.114784078986694,0.013,0,3.25052203107787e-20
"Ano4",2.24423564034225e-24,-0.182413888460304,0.665,0.735,7.13442510064802e-20
"Rcan2",1.33128340234344e-23,-0.254147255582429,0.295,0.375,4.23214993604981e-19
"Cdc42bpa",2.23489472798154e-23,0.189891017317071,0.726,0.668,7.1047303402533e-19
"Anks1b",2.91314498961999e-23,-0.238810966034413,0.401,0.479,9.26088792200193e-19
"Gm37459",2.55392684197153e-22,0.237454445187337,0.328,0.242,8.11893343062749e-18
"Hif3a",3.0833705718262e-22,0.307437682944988,0.084,0.039,9.80203504783549e-18
"Enox1",1.69595313632802e-21,0.221056437883065,0.583,0.502,5.39143502038678e-17
"Gm29114",1.61644782421445e-20,0.29600616444289,0.076,0.035,5.13868763317775e-16
"St6galnac3",2.54980815124462e-20,0.143406262515124,0.817,0.79,8.10584011280666e-16
"Dtnb",2.61141456474753e-20,0.322577943342497,0.178,0.116,8.30168690133241e-16
"Tmem178b",2.75310689910998e-20,-0.175507013598013,0.583,0.634,8.75212683227061e-16
"Cdh19",3.50107148565733e-20,0.26235426369881,0.378,0.295,1.11299062529046e-15
"Spock3",5.26314073687841e-20,-0.212987198145123,0.392,0.447,1.67315244025365e-15
"Hecw2",1.48569287213683e-19,0.163328476430578,0.727,0.679,4.72301764052297e-15
"Gas7",3.45204484294748e-19,-0.277896626950725,0.181,0.243,1.097405055573e-14
"Adamts2",1.73938109581886e-18,-0.277344433107412,0.033,0.067,5.52949250360817e-14
"Dtna",1.88085137538076e-18,-0.241799701370445,0.236,0.299,5.97922652233544e-14
"Pcdh11x",2.52692740254488e-18,0.350358628059601,0.269,0.205,8.03310221269017e-14
"Fth1",3.4389448352063e-18,-0.163383656186349,0.646,0.707,1.09324056311208e-13
"Gm13052",2.81756191823337e-17,0.222820289702932,0.035,0.011,8.9570293380639e-13
"Gli2",3.35280634482416e-17,0.232100493901101,0.042,0.015,1.0658571370196e-12
"Slc22a23",3.38236474634529e-17,-0.256578823274243,0.18,0.238,1.07525375286317e-12
"Ephb1",6.8716330228318e-17,-0.227564565614487,0.271,0.336,2.18449213795823e-12
"Gm49001",7.01547116722771e-17,0.247951267648625,0.081,0.042,2.23021828406169e-12
"Cdh20",1.01021709276943e-16,-0.18186279719978,0.499,0.55,3.21148013791402e-12
"A330015K06Rik",2.01957838312298e-16,0.212736443256694,0.47,0.394,6.42023967994796e-12
"Hbb-bt",2.2672974709589e-16,0.13211286588837,0.023,0.005,7.20773866017835e-12
"4930419G24Rik",3.7964336199187e-16,0.210519577679903,0.459,0.382,1.20688624777216e-11
"Cadm2",6.5397869861694e-16,-0.158602070549578,0.595,0.66,2.07899828290325e-11
"Hsp90ab1",7.91669687206496e-16,-0.180789600967971,0.344,0.391,2.51671793562945e-11
"Myo1d",1.97440681047353e-15,-0.196409401736381,0.334,0.398,6.27663925049534e-11
"Ube2e2",2.39366863597637e-15,-0.17306721734626,0.555,0.616,7.60947259376886e-11
"Slc25a13",4.79466659726663e-15,0.239926775434295,0.284,0.218,1.52422451127106e-10
"Mob3b",5.4176800667858e-15,-0.23824257377878,0.1,0.152,1.72228049323121e-10
"Samd4",5.95196031552549e-15,-0.233584646146136,0.196,0.256,1.89212818430555e-10
"4930420G21Rik",2.05386545201703e-14,0.199102626427365,0.422,0.349,6.52923827196215e-10
"Zbtb20",2.48360466121896e-14,-0.136805956575532,0.699,0.742,7.89537921801506e-10
"Stxbp6",3.91230134304303e-14,-0.186139234706541,0.363,0.424,1.24372059695338e-09
"Dscaml1",4.83812189448629e-14,0.156937898854174,0.649,0.583,1.53803895025719e-09
"Zdhhc14",5.05605375367492e-14,-0.172135650178868,0.382,0.432,1.60731948829326e-09
"Dtnbos",6.50761456815609e-14,0.222876893524486,0.048,0.021,2.06877067121682e-09
"Sytl2",1.69972594703815e-13,-0.220104564234466,0.22,0.271,5.40342878563428e-09
"Kcnab1",6.7418025712625e-13,0.192776436114402,0.466,0.403,2.14321903740435e-08
"AC149090.1",7.31767280237965e-13,0.0649565703888355,0.104,0.077,2.32628818387649e-08
"Gm11149",8.41246714574969e-13,0.214311381565925,0.323,0.261,2.67432330563383e-08
"Dcc",1.05307898447845e-12,-0.219955204656939,0.263,0.306,3.34773809165698e-08
"Tmod2",1.94738258168096e-12,0.163691097053627,0.568,0.516,6.19072922716378e-08
"Adipor2",3.43407366752909e-12,-0.136926296348502,0.584,0.634,1.0916920189075e-07
"Zfp536",7.80765067861212e-12,0.106070563801426,0.844,0.808,2.48205215073079e-07
"Pak7",1.01792188596445e-11,-0.126316962030908,0.544,0.577,3.235973675481e-07
"Pde4b",1.41109097895732e-11,-0.0684745817840104,0.994,0.994,4.48585822210531e-07
"Slc24a3",2.06485160400601e-11,0.208896798905939,0.144,0.1,6.5641632491351e-07
"Ppp3ca",2.35601770056721e-11,-0.142711378944697,0.434,0.48,7.48978027010317e-07
"Kif13a",2.3830243552884e-11,-0.152531904227446,0.423,0.472,7.57563442546183e-07
"Unc5c",3.30208708206387e-11,0.134725874355573,0.694,0.645,1.0497334833881e-06
"Pnpla7",5.30401478837916e-11,0.208150478757193,0.076,0.045,1.68614630122574e-06
"Rftn1",6.52563491434784e-11,-0.198630136913345,0.15,0.193,2.07449933927118e-06
"Ttll5",7.69259168841112e-11,-0.170719580667753,0.244,0.286,2.44547489774589e-06
"Rhoj",8.09265630841062e-11,0.223688290510766,0.157,0.113,2.57265544044373e-06
"Tcf12",1.33063409979275e-10,-0.124254433140202,0.54,0.578,4.23008580324117e-06
"Ncam2",1.66671641838789e-10,-0.135041671504378,0.628,0.668,5.29849149405509e-06
"Hba-a1",2.10252006247143e-10,0.113697500971948,0.025,0.01,6.68391127859668e-06
"Ikzf2",2.69832194292302e-10,0.194991097110836,0.257,0.204,8.57796545655229e-06
"Lrmda",3.57840853551451e-10,-0.237911694369226,0.124,0.158,1.13757607344006e-05
"Ninj2",5.00498122665099e-10,-0.157365440257528,0.332,0.376,1.59108353195235e-05
"Srgap1",6.18477266681382e-10,-0.182146333783573,0.208,0.254,1.96613923078011e-05
"Sgk3",9.73851472070424e-10,0.216955417999499,0.176,0.132,3.09587382971188e-05
"Rab31",1.06926163609542e-09,-0.123435809738661,0.51,0.555,3.39918274114733e-05
"Olfm1",1.1563323621484e-09,-0.163697394265011,0.243,0.279,3.67598057926978e-05
"Eif2s3y",1.1842878957666e-09,0.0740859353943268,0.19,0.157,3.76485122064201e-05
"Tbc1d5",1.33133777801925e-09,0.115669727207869,0.688,0.633,4.23232279632321e-05
"Il1rapl1",2.01946366221286e-09,-0.142806930843428,0.475,0.514,6.41987498217469e-05
"Syne1",2.06089569734747e-09,-0.19931843516497,0.106,0.142,6.55158742186762e-05
"Sh3kbp1",2.19353915963518e-09,-0.176928889686731,0.214,0.26,6.97326098848024e-05
