"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"1",6.49194803891246e-211,0.82321184797138,0.483,0.205,2.06379028157027e-206
"2",5.1749628371126e-64,0.430574349401191,0.563,0.426,1.6451206859181e-59
"3",2.07996124851881e-63,0.394757034614411,0.551,0.409,6.61219680904131e-59
"4",1.75549586009955e-60,0.326396900838258,0.712,0.608,5.58072133925648e-56
"5",3.05523320447419e-55,0.277544369570815,0.759,0.654,9.71258635702345e-51
"6",5.80925302390575e-43,0.470209028123757,0.308,0.201,1.84676153629964e-38
"7",2.24820541181193e-41,0.281666685268055,0.081,0.028,7.14704500415011e-37
"8",4.57357012052242e-37,0.239283174418838,0.721,0.636,1.45393794131408e-32
"9",3.81329990923984e-29,0.321194026019506,0.079,0.03,1.21224804114735e-24
"10",7.30901984697066e-29,0.279593132778569,0.563,0.477,2.32353740935197e-24
"11",1.10809055228381e-27,0.363185894332698,0.104,0.049,3.52261986571024e-23
"12",4.36623124535569e-27,0.264393260374166,0.519,0.427,1.38802491289857e-22
"13",2.55392684197153e-22,0.237454445187337,0.328,0.242,8.11893343062749e-18
"14",3.0833705718262e-22,0.307437682944988,0.084,0.039,9.80203504783549e-18
"15",1.61644782421445e-20,0.29600616444289,0.076,0.035,5.13868763317775e-16
"16",2.61141456474753e-20,0.322577943342497,0.178,0.116,8.30168690133241e-16
"17",3.50107148565733e-20,0.26235426369881,0.378,0.295,1.11299062529046e-15
"18",2.52692740254488e-18,0.350358628059601,0.269,0.205,8.03310221269017e-14
"19",7.01547116722771e-17,0.247951267648625,0.081,0.042,2.23021828406169e-12
"20",4.79466659726663e-15,0.239926775434295,0.284,0.218,1.52422451127106e-10
"21",1.41429780344103e-97,-0.395028308779219,0.622,0.756,4.49605271713902e-93
"22",2.71254244409417e-33,-0.212786822432787,0.001,0.025,8.62317242977536e-29
"23",1.13028144987179e-30,-0.274057709438729,0.351,0.444,3.59316472914243e-26
"24",1.33128340234344e-23,-0.254147255582429,0.295,0.375,4.23214993604981e-19
"25",2.91314498961999e-23,-0.238810966034413,0.401,0.479,9.26088792200193e-19
"26",5.26314073687841e-20,-0.212987198145123,0.392,0.447,1.67315244025365e-15
"27",3.45204484294748e-19,-0.277896626950725,0.181,0.243,1.097405055573e-14
"28",1.73938109581886e-18,-0.277344433107412,0.033,0.067,5.52949250360817e-14
"29",1.88085137538076e-18,-0.241799701370445,0.236,0.299,5.97922652233544e-14
"30",3.38236474634529e-17,-0.256578823274243,0.18,0.238,1.07525375286317e-12
"31",6.8716330228318e-17,-0.227564565614487,0.271,0.336,2.18449213795823e-12
"32",1.97440681047353e-15,-0.196409401736381,0.334,0.398,6.27663925049534e-11
"33",5.4176800667858e-15,-0.23824257377878,0.1,0.152,1.72228049323121e-10
"34",5.95196031552549e-15,-0.233584646146136,0.196,0.256,1.89212818430555e-10
"35",1.69972594703815e-13,-0.220104564234466,0.22,0.271,5.40342878563428e-09
"36",1.05307898447845e-12,-0.219955204656939,0.263,0.306,3.34773809165698e-08
"37",6.52563491434784e-11,-0.198630136913345,0.15,0.193,2.07449933927118e-06
"38",3.57840853551451e-10,-0.237911694369226,0.124,0.158,1.13757607344006e-05
"39",2.06089569734747e-09,-0.19931843516497,0.106,0.142,6.55158742186762e-05
"40",1.81504129337673e-07,-0.193870211176337,0.055,0.076,0.00577001627164462
