"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"C4b",7.48473422510943e-83,0.581312735292798,0.093,0.014,2.37939701016229e-78
"Rnf220",5.27507755986591e-63,-0.328734989043264,0.622,0.746,1.67694715628137e-58
"Thy1",4.92694339325469e-48,0.505578257265815,0.168,0.077,1.56627530471566e-43
"Pttg1",1.88036988942855e-47,-0.279364638062871,0.001,0.035,5.97769587849336e-43
"Zbtb16",1.21347555590514e-45,0.415431386935614,0.34,0.221,3.85763879222245e-41
"Meg3",9.69639122390882e-45,-0.308502799234076,0.408,0.539,3.08248277008061e-40
"Unc5c",2.23583062502214e-42,0.269425677053821,0.694,0.608,7.10770555694538e-38
"Snhg11",5.04780542337173e-38,-0.277512431850286,0.436,0.557,1.60469734408987e-33
"Tenm2",2.19149930930465e-35,0.423363269001694,0.308,0.227,6.9667763042795e-31
"Ttr",9.98882599889017e-31,0.29275567334418,0.483,0.401,3.17544778504718e-26
"Plcl1",2.4758769378836e-29,0.145067384424025,0.956,0.94,7.87081278553197e-25
"Eml1",2.72007118381468e-28,-0.326777275997838,0.195,0.287,8.64710629334687e-24
"Ptprk",1.03389591763564e-27,0.20427014652999,0.721,0.659,3.28675512216371e-23
"Pacrg",2.79404842282318e-25,-0.197675071179026,0.6,0.691,8.88227993615488e-21
"Plp1",4.22619006451388e-24,0.123175444321405,0.928,0.913,1.34350582150896e-19
"Cdc42bpa",6.37990655116397e-24,0.183771971304151,0.726,0.676,2.02817229261502e-19
"Ctnna3",1.15051648081516e-23,0.215771073635187,0.645,0.58,3.65749189251141e-19
"Spock3",1.45212923339227e-23,-0.242483692140988,0.392,0.477,4.61631883295402e-19
"Il12b",1.47048538692994e-23,0.114784078986694,0.013,0,4.67467304505027e-19
"Hbb-bs",1.68591027843023e-23,0.146765354940469,0.081,0.043,5.3595087751297e-19
"Zfand4",5.94176831558104e-23,0.339026078894867,0.104,0.054,1.88888814752321e-18
"Kirrel3",7.24003359663794e-23,0.341844424706288,0.434,0.364,2.3016066803712e-18
"Cldn11",1.05897379554045e-22,0.280096163061021,0.383,0.302,3.3664776960231e-18
"Hsp90ab1",7.15543756693256e-22,-0.241751873916359,0.344,0.421,2.27471360252786e-17
"Spock1",8.23872701200371e-22,0.244127572306637,0.563,0.494,2.61909131711598e-17
"Cryab",1.48949310942041e-21,-0.263729484550708,0.231,0.315,4.73509859484749e-17
"Plekha1",2.11879681816941e-21,0.283694757350567,0.347,0.275,6.73565508496056e-17
"Slc38a2",1.53751744005042e-20,-0.246792767393999,0.356,0.435,4.8877679419203e-16
"Otud7a",5.92583691640086e-20,0.21632602032349,0.551,0.48,1.88382355572383e-15
"Mast4",5.82574018842061e-19,0.119002193751721,0.932,0.919,1.85200280589891e-14
"A230001M10Rik",8.64384588394775e-19,-0.201110565459168,0.337,0.421,2.74787860650699e-14
"Cdh19",9.82212306745975e-19,0.262064013043232,0.378,0.307,3.12245292314545e-14
"Grid2",1.5325732433972e-18,0.19290823841288,0.597,0.536,4.87205034075969e-14
"Dgki",2.07358418075255e-18,0.203615537587317,0.603,0.551,6.59192411061234e-14
"Map7d2",3.7206350133179e-18,0.301706513956872,0.206,0.142,1.18278987073376e-13
