"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ttr",1.22593635994765e-128,-0.5304561746272,0.205,0.401,3.89725168827358e-124
"C4b",1.01634845547856e-97,0.581424503826388,0.095,0.014,3.23097173996633e-93
"Thy1",6.47081146539889e-76,0.568589320261096,0.185,0.077,2.05707096485031e-71
"Gm37459",4.55522243605168e-75,-0.430523327002017,0.242,0.394,1.44810521242083e-70
"Pex5l",1.78455398521252e-63,-0.240016760131089,0.76,0.848,5.67309711899059e-59
"4930419G24Rik",4.19922444645791e-53,-0.31451160638701,0.382,0.515,1.33493345152897e-48
"Plp1",8.29129382752705e-50,0.174283219106415,0.932,0.913,2.63580230777085e-45
"Magi2",1.0389736070045e-47,0.147830756015372,0.988,0.981,3.30289709666732e-43
"Cldn11",2.19169619051079e-47,0.336847588977018,0.394,0.302,6.96740218963379e-43
"Malat1",8.56945256154261e-47,-0.0652592851996472,1,1,2.7242289693144e-42
"Eml1",1.84903934371924e-46,-0.381203432535406,0.179,0.287,5.87809607368347e-42
"Rcan2",1.34538369228903e-44,0.337833295457326,0.375,0.28,4.27697475778684e-40
"Kirrel3",1.08995249892634e-43,0.426263778430646,0.447,0.364,3.46495899408683e-39
"Meg3",5.28285248195543e-43,-0.255972676713571,0.416,0.539,1.67941880401363e-38
"Gm44866",2.20315288069749e-42,-0.358039605586161,0.184,0.288,7.00382300773733e-38
"Snhg11",1.79651285998825e-40,-0.269665263047559,0.441,0.557,5.71111438190265e-36
"St18",2.5936431848971e-38,0.156745239862139,0.93,0.903,8.24519168478788e-34
"Mobp",2.48526993105987e-36,0.22284500680501,0.62,0.552,7.90067311083933e-32
"Zbtb16",3.09738220436707e-36,0.33863130915549,0.307,0.221,9.84657802768292e-32
"Elmo1",1.16504355973942e-35,-0.199532645931977,0.654,0.735,3.70367347641161e-31
"Gm13052",4.80773962315923e-35,-0.290632711419575,0.011,0.047,1.52838042620232e-30
"Slc24a2",6.26285508874724e-35,0.133238503976364,0.97,0.957,1.99096163271275e-30
"Sik3",8.82179418492445e-33,0.200884127902682,0.68,0.63,2.80444837138748e-28
"Lrp1b",1.63995418009289e-32,0.135153748580314,0.946,0.938,5.21341433851528e-28
"Ctnna3",4.10326352529887e-32,0.229299573248688,0.648,0.58,1.30442747469251e-27
"Pacrg",1.29459457934564e-31,-0.214244992848108,0.601,0.691,4.11551616773979e-27
"Ptgds",1.3205269102779e-30,-0.231945490621369,0.477,0.576,4.19795504777344e-26
"Cadm2",2.91567867453345e-30,0.213426556735056,0.66,0.6,9.26894250634182e-26
"Dcc",1.20621752329928e-28,0.337388701476795,0.306,0.235,3.8345655065684e-24
"Kcnab1",3.14891239284617e-28,-0.242724357461499,0.403,0.497,1.0010392496858e-23
"Gm32036",5.40775301567071e-28,-0.280163110993921,0.119,0.19,1.71912468368172e-23
"A230001M10Rik",1.32746189480981e-27,-0.220194802447834,0.326,0.421,4.2200013636004e-23
"Slc38a2",5.52531713177505e-27,-0.266676356999724,0.345,0.435,1.75649831619129e-22
"Polr3e",5.79201104098711e-27,0.307598813994585,0.179,0.121,1.8412803099298e-22
"Gm11149",1.53207519202829e-26,-0.250758506411753,0.261,0.35,4.87046703545794e-22
"A330015K06Rik",3.71696074237977e-25,-0.244233537041075,0.394,0.48,1.18162182000253e-20
"Ano4",1.18308067240767e-24,0.161051096553333,0.735,0.682,3.76101345758398e-20
"Gli2",3.23878715851318e-24,-0.230969285431268,0.015,0.047,1.02961043769134e-19
"Fth1",6.9861607725217e-24,0.178791707275877,0.707,0.652,2.22090050958465e-19
"Ube2e2",9.35530653931298e-24,0.192046648494454,0.616,0.566,2.9740519488476e-19
"Cd9",2.42237072750577e-23,0.301081167441642,0.205,0.139,7.70071654274083e-19
"Il1rapl1",3.97537984316084e-23,0.225730419814183,0.514,0.447,1.26377325214083e-18
"Gm29114",1.02364210904906e-22,-0.24750629386504,0.035,0.074,3.25415826466695e-18
"Grik2",8.21589487784047e-22,0.1903395735539,0.587,0.548,2.61183298166549e-17
"Scd2",1.25490726630981e-21,0.227662340832178,0.362,0.308,3.98935019959889e-17
"Cryab",1.32639756423796e-21,-0.215345506997096,0.238,0.315,4.21661785671247e-17
"Stxbp6",2.02998391778302e-21,0.209014480068664,0.424,0.375,6.45331887463224e-17
"Gjc3",2.8393892397418e-21,-0.171422868745345,0.511,0.594,9.02641839313919e-17
"Qk",3.10525903805432e-21,0.108878852181919,0.933,0.93,9.8716184819747e-17
"Slc6a1",4.02649392864384e-21,0.273911019145798,0.22,0.157,1.28002241991588e-16
"Gm42413",2.90671034033232e-20,-0.217793782214814,0.287,0.366,9.24043217191644e-16
"Neat1",1.24744833235293e-19,0.142059063702253,0.69,0.669,3.96563824854996e-15
"Plin4",1.51477727218973e-19,-0.204747750299316,0.03,0.064,4.81547694829116e-15
"Mapt",1.78948309354763e-19,0.102520089248689,0.863,0.856,5.68876675438791e-15
"Bach2",5.12874844506929e-19,-0.225803411325577,0.163,0.228,1.63042913068753e-14
"Piezo2",8.92858704668588e-19,0.228504992109547,0.034,0.011,2.83839782214144e-14
"Auts2",1.28354177532422e-18,0.189782491115844,0.518,0.465,4.08037930375569e-14
