"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"1",1.01634845547856e-97,0.581424503826388,0.095,0.014,3.23097173996633e-93
"2",6.47081146539889e-76,0.568589320261096,0.185,0.077,2.05707096485031e-71
"3",2.19169619051079e-47,0.336847588977018,0.394,0.302,6.96740218963379e-43
"4",1.34538369228903e-44,0.337833295457326,0.375,0.28,4.27697475778684e-40
"5",1.08995249892634e-43,0.426263778430646,0.447,0.364,3.46495899408683e-39
"6",3.09738220436707e-36,0.33863130915549,0.307,0.221,9.84657802768292e-32
"7",4.10326352529887e-32,0.229299573248688,0.648,0.58,1.30442747469251e-27
"8",1.20621752329928e-28,0.337388701476795,0.306,0.235,3.8345655065684e-24
"9",5.79201104098711e-27,0.307598813994585,0.179,0.121,1.8412803099298e-22
"10",2.42237072750577e-23,0.301081167441642,0.205,0.139,7.70071654274083e-19
"11",1.25490726630981e-21,0.227662340832178,0.362,0.308,3.98935019959889e-17
"12",4.02649392864384e-21,0.273911019145798,0.22,0.157,1.28002241991588e-16
"13",8.92858704668588e-19,0.228504992109547,0.034,0.011,2.83839782214144e-14
"14",8.60285545097624e-18,0.27545728621847,0.213,0.155,2.73484774786535e-13
"15",5.62221169896543e-17,0.250225139231612,0.225,0.169,1.78730109910111e-12
"16",1.27472022238013e-16,0.237591120797503,0.067,0.035,4.05233558694643e-12
"17",3.15249405060868e-16,0.260950392266667,0.143,0.098,1.0021778586885e-11
"18",1.17624088606441e-15,0.240851707456705,0.098,0.063,3.73926977679876e-11
"19",4.31510319726348e-15,0.234486408501702,0.168,0.122,1.37177130641006e-10
"20",1.6219149002077e-12,0.251341002705843,0.158,0.123,5.15606746776029e-08
"21",1.22593635994765e-128,-0.5304561746272,0.205,0.401,3.89725168827358e-124
"22",4.55522243605168e-75,-0.430523327002017,0.242,0.394,1.44810521242083e-70
"23",1.78455398521252e-63,-0.240016760131089,0.76,0.848,5.67309711899059e-59
"24",4.19922444645791e-53,-0.31451160638701,0.382,0.515,1.33493345152897e-48
"25",1.84903934371924e-46,-0.381203432535406,0.179,0.287,5.87809607368347e-42
"26",5.28285248195543e-43,-0.255972676713571,0.416,0.539,1.67941880401363e-38
"27",2.20315288069749e-42,-0.358039605586161,0.184,0.288,7.00382300773733e-38
"28",1.79651285998825e-40,-0.269665263047559,0.441,0.557,5.71111438190265e-36
"29",4.80773962315923e-35,-0.290632711419575,0.011,0.047,1.52838042620232e-30
"30",1.3205269102779e-30,-0.231945490621369,0.477,0.576,4.19795504777344e-26
"31",3.14891239284617e-28,-0.242724357461499,0.403,0.497,1.0010392496858e-23
"32",5.40775301567071e-28,-0.280163110993921,0.119,0.19,1.71912468368172e-23
"33",5.52531713177505e-27,-0.266676356999724,0.345,0.435,1.75649831619129e-22
"34",1.53207519202829e-26,-0.250758506411753,0.261,0.35,4.87046703545794e-22
"35",3.71696074237977e-25,-0.244233537041075,0.394,0.48,1.18162182000253e-20
"36",3.23878715851318e-24,-0.230969285431268,0.015,0.047,1.02961043769134e-19
"37",1.02364210904906e-22,-0.24750629386504,0.035,0.074,3.25415826466695e-18
"38",2.14949218422678e-18,-0.238330524732024,0.029,0.062,6.83323565365694e-14
"39",1.26197878086888e-16,-0.243473015861759,0.132,0.188,4.01183054438218e-12
"40",0.000100130640424879,-0.25885043460705,0.03,0.044,1
