"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Foxp2",3.78485180215236e-07,0.653959031896012,0.261,0.08,0.0120320438790424
"Bnc2",1.22936734397421e-05,0.737133152302226,0.254,0.09,0.390815878649402
"Ttr",2.9490586707397e-05,0.774417411222888,0.424,0.239,0.937505751428152
"Slc4a10",3.2892302607358e-05,1.15167202079753,0.275,0.181,1
"Gstt1",3.46632964010251e-05,0.283970559863109,0.061,0,1
"Myzap",3.88066949937689e-05,0.474133945998438,0.105,0.011,1
"Mindy2",5.92500669368607e-05,0.448599832326641,0.166,0.043,1
"Slc31a2",5.9350163187774e-05,0.280271997665994,0.058,0,1
"Foxp1",7.14688467144064e-05,0.463797230607744,0.62,0.431,1
"Crispld1",8.70419613376216e-05,0.494356378708243,0.173,0.048,1
"Eya1",9.26823060492053e-05,0.317054635266319,0.108,0.016,1
"Aox1",9.39058254288379e-05,0.354622383738186,0.098,0.011,1
"Pcdh7",0.000100645359681538,0.840183830236645,0.302,0.144,1
"Efcab7",0.000101588833618601,0.297525561409737,0.054,0,1
"Gm48960",0.000101588833618603,0.319551228569067,0.054,0,1
"Gm6260",0.000116359757288179,0.710749632296945,0.132,0.027,1
"Smad6",0.000128568510727392,0.353684614293598,0.136,0.032,1
"Adamtsl3",0.000132442201352455,0.308731662237028,0.193,0.074,1
"Adamts2",0.000132771220637141,0.559001729301188,0.108,0.016,1
"Rell2",0.000163395843535427,-0.43997063741525,0,0.043,1
"Slc26a7",0.000178017947654255,0.456291725695409,0.146,0.037,1
"Nfib",0.000178225953465592,0.180416620554559,0.468,0.298,1
"Sfxn2",0.000178378676493383,0.410620098614407,0.078,0.005,1
"Lmo4",0.000183269736480643,0.520627693345251,0.217,0.08,1
"Pbx3",0.000214811693936364,0.737624840768087,0.278,0.133,1
"Angpt1",0.000248302850069832,0.548357916420691,0.115,0.021,1
"Npr3",0.000292503227953584,0.499681010882862,0.153,0.043,1
"Gm37184",0.000297562721840068,0.3154360806046,0.047,0,1
"Mgp",0.000317402930105137,0.0973897688052749,0.285,0.144,1
"March3",0.000335656026059981,0.383507308746473,0.149,0.043,1
"Rspo3",0.000358158969107003,0.461577887999055,0.176,0.059,1
"Prdm6",0.000361270227337852,0.64316417283455,0.142,0.037,1
"Tmtc1",0.000361887642212802,0.581412833144681,0.342,0.181,1
"Slc47a1",0.000370805733500323,0.743408015541969,0.21,0.08,1
"Col5a2",0.000374104012887607,0.418486106561894,0.132,0.032,1
"Mpped2",0.000440144208986173,0.532786204736007,0.302,0.149,1
"Anxa2",0.000478907053241836,0.420458204181943,0.19,0.069,1
"Slc24a3",0.000480550532756118,0.662723699995709,0.275,0.133,1
"Gm16193",0.000509393802279432,0.258819075980262,0.044,0,1
"Tmem159",0.000509393802279432,0.24505444356194,0.044,0,1
"Slit2",0.00055538071753328,0.944710606376564,0.197,0.08,1
"Trabd2b",0.000581044734504987,0.273939867779009,0.18,0.069,1
"Gulp1",0.000637544396066439,0.513388005427225,0.363,0.202,1
"Sec24a",0.000648484735450261,0.342415125357499,0.146,0.043,1
"Eya2",0.000652039520902959,0.505728916382566,0.217,0.09,1
"Hspa12b",0.000714188294313337,0.33863271076213,0.2,0.08,1
"Slc7a2",0.000746560999610908,0.429484116209777,0.136,0.037,1
"Tmtc4",0.000762652695444414,0.313056345029696,0.149,0.048,1
"Ampd3",0.000782178771180853,0.326129879842375,0.095,0.016,1
"Smoc1",0.000825720847760683,0.570442690625152,0.125,0.032,1
"Gm16070",0.000840990599288337,0.433799114104849,0.125,0.032,1
"Gm49267",0.000841405485619231,0.4529560646037,0.115,0.027,1
"Tspan33",0.000872452442389042,0.253177707514019,0.041,0,1
"Zfp367",0.000872452442389061,0.301147191273241,0.041,0,1
"Gdpd3",0.000872452442389083,0.170353380751163,0.041,0,1
"Gm5860",0.000873248869967728,0.390172252183361,0.105,0.021,1
"Nrxn1",0.00092958962889112,-0.433058271618541,0.308,0.25,1
"Slc38a2",0.000943196719238182,0.742318009625962,0.349,0.218,1
"Fchsd2",0.000981203363540209,0.526272869149425,0.342,0.191,1
"Slc9b2",0.00109461308249342,0.341911339156766,0.112,0.027,1
"Zfand6",0.0011565911238875,0.381313044882346,0.251,0.122,1
"Apoe",0.00116538099150235,0.138453669031734,0.573,0.415,1
"Dab2",0.00119469545457784,0.408064962855247,0.092,0.016,1
"Ccdc93",0.00120795371601437,0.482080623458041,0.078,0.011,1
"Coro1a",0.00125021947140149,-0.277163638727748,0,0.032,1
"Prrx1",0.00128264188391499,0.384780867530647,0.129,0.037,1
