"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Pttg1",2.90868716988333e-05,-0.278321495214075,0,0.051,0.92467165130591
"Zbtb16",5.47522500281931e-05,0.572148806069141,0.397,0.213,1
"Gm15414",0.000207882424628207,-0.184681827312248,0,0.041,1
"Gm2115",0.00020788242462821,-0.289677617105853,0,0.041,1
"Slc25a37",0.000395146044198669,0.310649596754742,0.044,0,1
"A830008E24Rik",0.000395146044198679,0.237248614100126,0.044,0,1
"Abcg2",0.000512752650579932,0.546926739646682,0.41,0.249,1
"Ttr",0.000563792619866897,0.292752748467671,0.424,0.467,1
"Pcdh18",0.000711860565863845,-0.481786778980284,0.007,0.066,1
"Plcb4",0.00081196935283569,0.503556527167452,0.441,0.284,1
"Arl1",0.000979590955395821,0.247107040594344,0.088,0.015,1
"Thy1",0.0010330157636441,0.511468745106753,0.207,0.086,1
"Katnal1",0.00120502782304789,0.238188941647567,0.037,0,1
"Ctss",0.00120502782304801,0.370555762619167,0.037,0,1
"Gm15345",0.00120502782304801,0.21956385483904,0.037,0,1
"Baz1b",0.00137280997496361,0.499654708896643,0.21,0.091,1
"Shpk",0.00149820827238497,-0.190226759676436,0,0.03,1
"Mir124-2hg",0.0014982082723851,-0.219901766905224,0,0.03,1
"Fam228a",0.0014982082723851,-0.224805157269368,0,0.03,1
"Mir133a-1hg",0.00176639015706947,0.328403263075153,0.061,0.005,1
"2900060N12Rik",0.0021076321866182,0.274221407780888,0.034,0,1
"Slc25a44",0.00210763218661825,0.213378386772316,0.034,0,1
"Ppp1r16a",0.00210763218661828,0.180377435155116,0.034,0,1
"Plcl1",0.00211814012805647,0.0531897958957073,0.424,0.543,1
"Tsc22d1",0.00216900338708404,0.499208531236962,0.41,0.264,1
"Fbxl12",0.00219026110963643,-0.385255326930863,0.044,0.132,1
"Sbf2",0.0024640786752996,0.398362925980732,0.441,0.289,1
"Paxbp1",0.0026994448824622,0.520402615367182,0.22,0.107,1
"Trp53inp1",0.0028105400761523,0.349251646394087,0.136,0.046,1
"Gabrb1",0.00292595570185901,-0.55505726107556,0.092,0.198,1
"Ppp2r2b",0.00294812755922407,-0.569689225276576,0.054,0.142,1
"Lsamp",0.00322715613545805,-0.42088712189256,0.481,0.604,1
"Gm16833",0.00328222895395624,-0.536461395093134,0.047,0.132,1
"Fcgrt",0.00332504913783416,0.512779211190297,0.105,0.03,1
"Kcnh7",0.0034172903004089,-0.511475835340316,0.041,0.122,1
"Dtx3l",0.00369251584018809,0.160990252425301,0.031,0,1
"Mbd4",0.00369251584018809,0.159648620646151,0.031,0,1
"Rbck1",0.00383092259438732,0.278863811658662,0.068,0.01,1
"Gga3",0.0039249465739386,0.352495059192642,0.068,0.01,1
"Sgsm1",0.00405223824626732,-0.0949894123657205,0,0.025,1
"Amz1",0.00405223824626778,-0.113003216137741,0,0.025,1
"Fam131b",0.00405223824626778,-0.229543601044305,0,0.025,1
"Gm15810",0.00405223824626779,-0.0798405348629407,0,0.025,1
"Fam227a",0.00405223824626779,-0.122666759692156,0,0.025,1
"E330011O21Rik",0.0040522382462678,-0.135462172687874,0,0.025,1
"Snai1",0.00405223824626782,-0.144866839034058,0,0.025,1
"Copb1",0.00469593913924696,-0.594016224524318,0.075,0.157,1
"Samd12",0.0049381165996661,0.741658534152801,0.254,0.147,1
"Sema6a",0.00525158067757763,0.367302376016014,0.136,0.051,1
"Slain1",0.00525620730437806,-0.296944619561252,0.017,0.076,1
"Sgk3",0.00531069176061705,0.370603640631839,0.153,0.061,1
"Ccm2l",0.00575526328592877,0.42058863046627,0.075,0.015,1
"Zcchc2",0.00584670816374535,0.238973681644359,0.064,0.01,1
"Ints7",0.00592951306047877,0.309682498985809,0.064,0.01,1
"Gabra5",0.00600022616606518,-0.449587022209061,0.027,0.091,1
"Smad2",0.00603164753974141,0.430494769172189,0.136,0.051,1
"E230001N04Rik",0.00605138895415178,0.288531125723027,0.064,0.01,1
"Tmem41b",0.00630604219859547,0.288145687449369,0.085,0.02,1
"Prxl2c",0.00646428171717832,0.502647262352381,0.108,0.036,1
"Gabrd",0.00648439657289577,0.154849592320739,0.027,0,1
"Gm50252",0.00648439657289632,0.184790389427362,0.027,0,1
"Rida",0.00648439657289632,0.148169658173989,0.027,0,1
"Fuca2",0.00648439657289642,0.206231455069662,0.027,0,1
"4930586N03Rik",0.00648439657289647,0.135671686238557,0.027,0,1
"2810032G03Rik",0.00648439657289651,0.145370196966734,0.027,0,1
"Sfxn4",0.00648827308725504,0.249216893897245,0.051,0.005,1
"Dgkb",0.00666816230241815,-0.510346444962934,0.173,0.294,1
"Pkp4",0.00706441339614878,0.285036869282115,0.325,0.198,1
"Tal1",0.00712724392449272,0.323591964356179,0.051,0.005,1
"Src",0.00735675056278964,-0.231229308303887,0.007,0.051,1
