"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ttr",9.86603122218474e-06,-0.481664662755217,0.239,0.467,0.313641132553253
"Gm32036",4.20988179375695e-05,-0.364664855645109,0,0.066,1
"Foxp2",5.74511892886817e-05,-0.759723547341998,0.08,0.239,1
"Rpl36",0.000104978891299412,0.449658587287961,0.059,0,1
"Gm48960",0.000181641722645074,-0.249084436808962,0,0.056,1
"Prdm6",0.000358256860736331,-0.720372132669158,0.037,0.152,1
"Gm29683",0.000371265607102635,-0.669631490279475,0.027,0.132,1
"Lypla2",0.000377236509311023,-0.340132122481705,0,0.051,1
"Gpr156",0.000377236509311029,-0.316252885295628,0,0.051,1
"Pde7b",0.000662389530329107,0.686209316075036,0.394,0.228,1
"Afap1",0.000691536907629254,-0.523211858341803,0.059,0.183,1
"Nr3c2",0.000755076889092321,-0.762235684884552,0.261,0.426,1
"Spout1",0.000783908530776942,-0.292195258351756,0,0.046,1
"Trmt10b",0.000783908530776971,-0.283670963514512,0,0.046,1
"Larp7",0.000783908530776971,-0.28992180489828,0,0.046,1
"Ccdc141",0.00094424984717251,0.499371323643396,0.516,0.36,1
"Angpt1",0.00103830576550142,-0.552263170493354,0.021,0.112,1
"Katnal1",0.00109323789012021,0.201960953239179,0.043,0,1
"Meg3",0.0012385983793667,-0.0955008524956926,0.463,0.635,1
"Aamp",0.00139520126565423,-0.460051283911803,0.005,0.071,1
"Gli3",0.00142587529785136,-0.332010387830346,0.032,0.127,1
"Gm5834",0.00163112211443357,-0.256409283195062,0,0.041,1
"Gm15520",0.00163112211443359,-0.179547056542528,0,0.041,1
"Gstt1",0.00163112211443359,-0.276578155402734,0,0.041,1
"Tspan33",0.00163112211443361,-0.148904295169467,0,0.041,1
"Slc7a2",0.00173430626766702,-0.580377659266502,0.037,0.137,1
"Foxp1",0.0017344278773077,-0.428977320249645,0.431,0.599,1
"Ap2a1",0.00201675593535704,-0.515039080153088,0.011,0.081,1
"Ccn3",0.00214622353866857,-0.594121488241383,0.048,0.152,1
"1700096K18Rik",0.00239438550234659,0.317654071029115,0.037,0,1
"Gm26903",0.00239438550234661,0.304583432978876,0.037,0,1
"Thsd4",0.00261042123068373,-0.600231293520041,0.059,0.168,1
