"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"1",1.9342660278506e-290,0.388504521044724,0.394,0.202,6.14903170253705e-286
"2",1.38411980457748e-130,0.23821302603309,0.599,0.491,4.4001168587518e-126
"3",1.35053187074569e-93,0.150095181436602,0.86,0.821,4.29334081710053e-89
"4",5.30395477124851e-69,0.146864161399941,0.092,0.042,1.6861272217799e-64
"5",1.63477729547317e-62,0.152894838317185,0.676,0.606,5.1969570223092e-58
"6",9.84365855597525e-57,0.136566211302984,0.955,0.934,3.12929905494453e-52
"7",3.40254170612228e-56,0.177230153260193,0.541,0.453,1.08166800837627e-51
"8",1.7267542014198e-55,0.146324563158139,0.794,0.756,5.48935160631355e-51
"9",4.3993120121592e-50,0.144752429303092,0.745,0.689,1.39854128866541e-45
"10",4.37335409843135e-48,0.155040777432027,0.756,0.693,1.39028926789133e-43
"11",3.15285162394973e-47,0.138271476161204,0.792,0.747,1.00229153125362e-42
"12",4.91049475192275e-38,0.204785928334227,0.503,0.428,1.56104628163624e-33
"13",7.56753059377874e-34,0.175519183498334,0.387,0.318,2.40571797576226e-29
"14",1.35322420138426e-32,0.154186292747924,0.321,0.256,4.30189973620056e-28
"15",2.36498104317737e-28,0.179440374825492,0.487,0.434,7.51827473626086e-24
"16",5.91210080374914e-28,0.148494461534894,0.353,0.295,1.87945684551185e-23
"17",3.69949380307667e-23,0.163347061277565,0.325,0.282,1.17606907999807e-18
"18",1.02629717166191e-20,0.164060620847681,0.503,0.451,3.26259870871322e-16
"19",1.34501585436714e-12,0.154391951606264,0.415,0.377,4.27580540103314e-08
"20",0.00640836582280689,0.181481827556142,0.09,0.085,1
"21",2.33956839767066e-100,-0.42528967608404,0.188,0.292,7.43748793619502e-96
"22",3.62096312182292e-78,-0.197050099541178,0.629,0.705,1.15110417642751e-73
"23",5.24289967542736e-75,-0.228182522660914,0.8,0.845,1.66671780681836e-70
"24",2.87046277777083e-57,-0.186902764963135,0.185,0.255,9.12520117053346e-53
"25",3.18142669796543e-57,-0.200672775040103,0.449,0.504,1.01137554728321e-52
"26",2.6315613792416e-47,-0.162514991254948,0.512,0.56,8.36573362460904e-43
"27",2.55192199731377e-43,-0.234135783093109,0.111,0.163,8.11256002946048e-39
"28",3.42331518136399e-42,-0.200282242241458,0.439,0.485,1.08827189615561e-37
"29",1.47908559244089e-41,-0.225379186723472,0.134,0.187,4.70201309836958e-37
"30",1.40993510421409e-32,-0.192621003800287,0.091,0.136,4.48218369629659e-28
"31",1.57789363923969e-32,-0.152157437252215,0.422,0.47,5.01612387914299e-28
"32",2.43346225115972e-31,-0.204798881526626,0.115,0.161,7.73597649643675e-27
"33",2.52725574311193e-31,-0.2197637764814,0.447,0.489,8.03414600735282e-27
"34",1.85513086822843e-27,-0.164290516727011,0.171,0.212,5.89746103009818e-23
"35",1.97340819130669e-26,-0.193631665335215,0.223,0.262,6.27346464016396e-22
"36",1.77138329852735e-25,-0.180054655991952,0.192,0.237,5.63122750601843e-21
"37",2.94765090608446e-24,-0.272902941882424,0.17,0.193,9.3705822304425e-20
"38",9.35736975798825e-20,-0.242293864808925,0.406,0.426,2.97470784606446e-15
"39",6.09600082098784e-18,-0.164373116792353,0.337,0.377,1.93791866099203e-13
"40",7.85097205911796e-15,-0.157593012746174,0.422,0.459,2.4958240175936e-10
