"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"1",1.79207079066754e-10,0.617958093013458,0.662,0.369,5.69699304353211e-06
"2",3.26188823300117e-06,0.46761084760183,0.446,0.236,0.103695426927107
"3",4.28206505219282e-06,0.5598017508034,0.216,0.064,0.13612684800921
"4",5.17545340528564e-06,0.489611318536736,0.499,0.286,0.164527663754031
"5",1.57624350693226e-05,0.588284962110762,0.312,0.138,0.501087810853764
"6",1.99870341320928e-05,0.431035463791071,0.245,0.094,0.63538781505923
"7",2.20002986969822e-05,0.489094122504381,0.274,0.113,0.699389495577065
"8",7.37193547296752e-05,0.419840285971803,0.207,0.079,1
"9",8.40403725797768e-05,0.413632397582197,0.207,0.074,1
"10",0.000111429301533259,0.524024441526652,0.397,0.222,1
"11",0.00032434167452544,0.440537416894529,0.23,0.099,1
"12",0.000333046486954668,0.415978488236498,0.067,0.005,1
"13",0.000469772486209632,0.43705923107087,0.169,0.059,1
"14",0.00123365670864692,0.451505014387997,0.12,0.034,1
"15",0.00130388793733225,0.555978949625491,0.187,0.079,1
"16",0.00173564670511002,0.455877001590923,0.125,0.039,1
"17",0.00242868544016211,0.424059865296532,0.394,0.251,1
"18",0.0326305283049733,0.489124483705076,0.324,0.222,1
"19",0.0440986889791567,0.429462991302632,0.219,0.138,1
"20",0.0494457038059502,0.42060010789876,0.079,0.03,1
"21",9.07917679610097e-09,-0.461140710854328,0.303,0.567,0.00028862703034805
"22",0.00197419820116249,-0.447966300451065,0.227,0.31,1
"23",0.00437767985805055,-0.362763830635705,0.335,0.379,1
"24",0.0195913187875841,-0.43520285987975,0.082,0.133,1
"25",0.0213370163578599,-0.394079602521078,0.172,0.217,1
"26",0.0221694482555529,-0.403920688726318,0.099,0.172,1
"27",0.0316823119463094,-0.381472968635891,0.093,0.163,1
"28",0.0332222574887876,-0.407100986084268,0.093,0.133,1
"29",0.0420479904806827,-0.455283478395028,0.093,0.158,1
"30",0.0578408967217603,-0.363261547748657,0.073,0.128,1
"31",0.0602244244327015,-0.362463443942677,0.102,0.123,1
"32",0.0712213603427818,-0.41068443506948,0.07,0.113,1
"33",0.0723359525162715,-0.378238927299545,0.032,0.069,1
"34",0.0867113932544831,-0.483324754259475,0.12,0.133,1
"35",0.0950775691470371,-0.362525145519644,0.108,0.163,1
"36",0.0954987033172439,-0.367548628653121,0.058,0.099,1
"37",0.101615359419545,-0.363557761831286,0.026,0.059,1
"38",0.119271620523392,-0.359610282987226,0.038,0.074,1
"39",0.143125612658819,-0.380937760122766,0.064,0.089,1
"40",0.223401792286113,-0.483514093366562,0.058,0.084,1
