"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"1",6.1249350931517e-52,0.188609853296982,0.084,0,1.94711686611292e-47
"2",4.6569780452585e-35,0.335131541546283,0.371,0.195,1.48045332058768e-30
"3",1.15703138259991e-16,0.19060020423856,0.674,0.613,3.67820276528513e-12
"4",6.26812849767101e-06,0.165766802778609,0.62,0.584,0.199263804940962
"5",8.92666021908942e-06,0.220088287461282,0.326,0.277,0.283778528364853
"6",9.11576090351802e-06,0.171600633747667,0.829,0.83,0.289790039122838
"7",2.32275074192182e-05,0.162056431661409,0.518,0.459,0.738402460856946
"8",5.18102951725547e-05,0.176983503308745,0.225,0.171,1
"9",0.000112828758475793,0.249334759213461,0.201,0.161,1
"10",0.000250212443800144,0.172866659272356,0.487,0.446,1
"11",0.00029180573482723,0.145059045940755,0.273,0.218,1
"12",0.000409105004990897,0.149173430388063,0.398,0.342,1
"13",0.000490914691195577,0.145942875665872,0.149,0.118,1
"14",0.000591906572378764,0.180795686127854,0.567,0.512,1
"15",0.00302527625126044,0.225727847768284,0.191,0.155,1
"16",0.00404474474675811,0.145062851286873,0.373,0.33,1
"17",0.00443509058357706,0.174353689549971,0.307,0.264,1
"18",0.0129946073496297,0.146752899211265,0.266,0.24,1
"19",0.0306668462559868,0.152933506950154,0.289,0.256,1
"20",0.0597904807836645,0.152501932929871,0.269,0.236,1
"21",4.58358044555288e-19,-0.27049209631255,0.528,0.654,1.45712022364126e-14
"22",2.42666356349514e-10,-0.193260386867894,0.439,0.526,7.71436346835105e-06
"23",5.37527180398646e-10,-0.143105208110095,0.635,0.701,1.7087989064873e-05
"24",1.03108596806239e-09,-0.130738008063135,0.324,0.422,3.27782229247032e-05
"25",7.39632245236009e-09,-0.130657395368387,0.395,0.492,0.000235129090760527
"26",1.79475580293897e-08,-0.168036647933103,0.313,0.398,0.000570552869754299
"27",4.58042260991868e-08,-0.150031609224483,0.09,0.149,0.00145611634769315
"28",4.03370542364467e-07,-0.185119498165607,0.122,0.18,0.0128231495417664
"29",9.9272181410457e-07,-0.156292528263887,0.2,0.269,0.0315586264703843
"30",1.44900214299352e-06,-0.132088950506549,0.899,0.921,0.0460637781257639
"31",1.55578226785894e-06,-0.129802703873152,0.455,0.527,0.0494583182952357
"32",2.51130056890055e-06,-0.142502992595551,0.158,0.21,0.0798342450853484
"33",2.68432726757455e-06,-0.162347672022247,0.443,0.518,0.0853347638361948
"34",4.7039749317375e-06,-0.161835504135929,0.328,0.353,0.149539363079935
"35",1.9693155117618e-05,-0.135549849065629,0.749,0.793,0.626045401189075
"36",7.48658357379438e-05,-0.133704930801852,0.234,0.294,1
"37",0.000149617347532726,-0.177058171602376,0.255,0.296,1
"38",0.000455398817922161,-0.126305652147576,0.286,0.335,1
"39",0.00164072891751446,-0.130782559563294,0.417,0.469,1
"40",0.0246029778263177,-0.130680876206083,0.49,0.525,1
