"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"1",2.90201532810136e-96,1.57366764231837,0.353,0.079,9.22550672803423e-92
"2",1.0262151743833e-89,1.26820217588439,0.531,0.264,3.26233803936453e-85
"3",6.20948052525788e-87,1.41108496570384,0.298,0.05,1.97399385897948e-82
"4",7.43583762308944e-74,1.0653306489273,0.414,0.153,2.36385278038013e-69
"5",8.47754369871554e-71,1.1441874446949,0.369,0.129,2.69501114182167e-66
"6",1.8814312192407e-67,1.15015784388625,0.215,0.025,5.98106984596618e-63
"7",3.04273396545276e-67,1.32777786687788,0.224,0.031,9.67285127617432e-63
"8",3.36852540575449e-58,0.839045037752098,0.502,0.27,1.07085422648935e-53
"9",6.9381436212185e-58,1.0794838587032,0.141,0.005,2.20563585718536e-53
"10",2.50614018071638e-51,0.962227604024713,0.148,0.012,7.96701963449738e-47
"11",5.28613536543482e-51,0.996816175439201,0.226,0.052,1.68046243267173e-46
"12",8.5237489593445e-51,1.05515059377428,0.3,0.101,2.70969979417562e-46
"13",7.96706817605012e-45,1.0194292945559,0.116,0.006,2.53273097316633e-40
"14",3.05332758327634e-44,0.881711997348614,0.182,0.033,9.7065283872355e-40
"15",2.7427153666693e-42,0.824167039948635,0.315,0.124,8.71909215064171e-38
"16",1.43706795838394e-36,0.815818678768174,0.194,0.051,4.56843903970253e-32
"17",1.24597395938812e-34,0.917377496028192,0.077,0.001,3.96095121689484e-30
"18",3.04826979828924e-34,0.808915472898406,0.183,0.05,9.69044968876149e-30
"19",8.89435320113894e-33,0.779503489863694,0.194,0.057,2.82751488264207e-28
"20",2.83456865146182e-31,1.3760204429357,0.103,0.014,9.01109374299712e-27
"21",1.50366194918113e-56,-0.446550555665804,0.653,0.827,4.7801413364468e-52
"22",5.5386012385928e-50,-0.400265709711896,0.776,0.902,1.76072133374865e-45
"23",1.39055384286314e-35,-0.408382401916264,0.548,0.71,4.42057066646193e-31
"24",6.97976529902437e-30,-0.517393917306788,0.216,0.393,2.21886738855985e-25
"25",9.47166047300226e-29,-0.52798430051848,0.228,0.396,3.01104086436742e-24
"26",1.71028482572466e-28,-0.468769166193751,0.226,0.403,5.43699546097871e-24
"27",5.54744202795609e-27,-0.649671824177084,0.08,0.202,1.76353182068724e-22
"28",4.05645221969213e-25,-0.41462118052661,0.417,0.575,1.28954616064013e-20
"29",5.42693439453951e-24,-0.363449056461419,0.467,0.625,1.72522244402411e-19
"30",1.12059958271723e-23,-0.556902584808971,0.107,0.234,3.56238607345807e-19
"31",1.79848994800785e-21,-0.375443450431646,0.408,0.566,5.71739954471695e-17
"32",2.96275333031625e-18,-0.366467715303676,0.39,0.52,9.41859283707535e-14
"33",5.19776660978811e-17,-0.537908478523609,0.046,0.12,1.65237000525164e-12
"34",6.00688635340619e-15,-0.426531664351525,0.147,0.254,1.90958917174783e-10
"35",1.25946479862467e-13,-0.437300903338713,0.065,0.139,4.00383859482784e-09
"36",1.96812532318084e-13,-0.383957459694382,0.142,0.243,6.25667040239190e-09
"37",4.26531115568998e-12,-0.378319112147772,0.102,0.186,1.35594241639384e-07
"38",2.00294952977067e-11,-0.424123138486973,0.061,0.127,6.36737655514097e-07
"39",6.2700640751646e-11,-0.372914773660908,0.041,0.098,1.99325336949483e-06
"40",1.2317083094154e-10,-0.400492885392319,0.059,0.12,3.91560071563154e-06
