"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"1",4.15737972762713e-11,0.492285275203981,0.109,0.024,1.32163101541266e-06
"2",3.00817704951376e-09,0.41969786079158,0.222,0.109,9.56299484040425e-05
"3",3.73545596547196e-09,0.398238817246409,0.42,0.287,0.000118750145142354
"4",2.54142568599095e-08,0.275917250933585,0.182,0.086,0.000807919225576524
"5",2.85052275655709e-05,0.269561364712676,0.588,0.512,0.906181184309498
"6",8.22390044677663e-05,0.236083897184228,0.258,0.169,1
"7",0.000384166146774621,0.269829668325925,0.42,0.341,1
"8",0.000432607336322121,0.2375226250385,0.305,0.218,1
"9",0.000457069566040628,0.257388408546896,0.274,0.192,1
"10",0.000730303695279629,0.417721552393351,0.162,0.102,1
"11",0.00183367563247077,0.239005098924221,0.296,0.229,1
"12",0.00376394101078743,0.592733900845122,0.18,0.159,1
"13",0.00391768138428441,0.25020088987937,0.334,0.259,1
"14",0.00442164514029497,0.351843683498364,0.446,0.39,1
"15",0.00583440251074994,0.416125890331074,0.147,0.103,1
"16",0.0162928815166161,0.243996940673438,0.069,0.037,1
"17",0.0762518862813488,0.335898906315249,0.243,0.204,1
"18",0.0900509256582965,0.244446401031548,0.19,0.162,1
"19",0.347663854067252,0.252200035779276,0.194,0.166,1
"20",0.427899636828166,0.234524773567077,0.132,0.112,1
"21",2.23198908527862e-24,-0.668433739221573,0.047,0.216,7.09549330210072e-20
"22",7.23429214975191e-09,-0.358461746555707,0.501,0.6,0.000229978147440613
"23",2.2055220651638e-07,-0.377964646475603,0.102,0.196,0.00701135464515571
"24",7.49515247684505e-06,-0.243840382500437,0.688,0.758,0.238270897238904
"25",7.02941699183228e-05,-0.243137525342854,0.153,0.188,1
"26",0.000135938579502241,-0.228784955744823,0.015,0.05,1
"27",0.000159703230868896,-0.240506299536984,0.415,0.471,1
"28",0.000237638346261605,-0.238679120619947,0.095,0.162,1
"29",0.000390624498689055,-0.27231419751201,0.097,0.154,1
"30",0.000456878180171979,-0.22929669950116,0.195,0.245,1
"31",0.000677087570374801,-0.227877369490894,0.256,0.293,1
"32",0.000891723530931577,-0.227349919224777,0.347,0.424,1
"33",0.000929564204466482,-0.228448257944254,0.364,0.433,1
"34",0.00205551165049655,-0.225307545024427,0.071,0.114,1
"35",0.00251054273208304,-0.231216237148432,0.177,0.233,1
"36",0.00275226044013759,-0.220439877483281,0.2,0.253,1
"37",0.00492070030056455,-0.219948141714241,0.226,0.265,1
"38",0.00546722756451338,-0.234716336910436,0.068,0.11,1
"39",0.00784080523496197,-0.226791799716051,0.121,0.156,1
"40",0.0177817751975391,-0.226193592586374,0.114,0.139,1
