"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"1",7.48473422510943e-83,0.581312735292798,0.093,0.014,2.37939701016229e-78
"2",4.92694339325469e-48,0.505578257265815,0.168,0.077,1.56627530471566e-43
"3",1.21347555590514e-45,0.415431386935614,0.34,0.221,3.85763879222245e-41
"4",2.23583062502214e-42,0.269425677053821,0.694,0.608,7.10770555694538e-38
"5",2.19149930930465e-35,0.423363269001694,0.308,0.227,6.9667763042795e-31
"6",9.98882599889017e-31,0.29275567334418,0.483,0.401,3.17544778504718e-26
"7",5.94176831558104e-23,0.339026078894867,0.104,0.054,1.88888814752321e-18
"8",7.24003359663794e-23,0.341844424706288,0.434,0.364,2.3016066803712e-18
"9",1.05897379554045e-22,0.280096163061021,0.383,0.302,3.3664776960231e-18
"10",8.23872701200371e-22,0.244127572306637,0.563,0.494,2.61909131711598e-17
"11",2.11879681816941e-21,0.283694757350567,0.347,0.275,6.73565508496056e-17
"12",9.82212306745975e-19,0.262064013043232,0.378,0.307,3.12245292314545e-14
"13",3.7206350133179e-18,0.301706513956872,0.206,0.142,1.18278987073376e-13
"14",1.00217536693614e-17,0.273846038229061,0.284,0.218,3.18591549148999e-13
"15",1.94031000329207e-17,0.275327226040684,0.11,0.063,6.16824550046549e-13
"16",9.65159513218945e-16,0.278940855487278,0.093,0.052,3.06824209252302e-11
"17",2.23190148253353e-12,0.259918102481699,0.137,0.095,7.0952148129741e-08
"18",2.3148168651792e-11,0.260687766418817,0.157,0.119,7.35880281440468e-07
"19",3.15821914454513e-11,0.262989739431292,0.052,0.028,1.0039978660509e-06
"20",7.5340949528764e-10,0.253970368823722,0.086,0.055,2.39508878551941e-05
"21",5.27507755986591e-63,-0.328734989043264,0.622,0.746,1.67694715628137e-58
"22",1.88036988942855e-47,-0.279364638062871,0.001,0.035,5.97769587849336e-43
"23",9.69639122390882e-45,-0.308502799234076,0.408,0.539,3.08248277008061e-40
"24",5.04780542337173e-38,-0.277512431850286,0.436,0.557,1.60469734408987e-33
"25",2.72007118381468e-28,-0.326777275997838,0.195,0.287,8.64710629334687e-24
"26",2.79404842282318e-25,-0.197675071179026,0.6,0.691,8.88227993615488e-21
"27",1.45212923339227e-23,-0.242483692140988,0.392,0.477,4.61631883295402e-19
"28",7.15543756693256e-22,-0.241751873916359,0.344,0.421,2.27471360252786e-17
"29",1.48949310942041e-21,-0.263729484550708,0.231,0.315,4.73509859484749e-17
"30",1.53751744005042e-20,-0.246792767393999,0.356,0.435,4.8877679419203e-16
"31",8.64384588394775e-19,-0.201110565459168,0.337,0.421,2.74787860650699e-14
"32",1.64634599196082e-15,-0.195219285180197,0.164,0.228,5.23373390844344e-11
"33",8.75755109630709e-15,-0.192159648248303,0.196,0.262,2.78402549351602e-10
"34",2.67517591602038e-14,-0.207762119097564,0.183,0.247,8.50438423702879e-10
"35",3.12212413969839e-13,-0.19306888181468,0.328,0.394,9.92523264010119e-09
"36",1.32535408177189e-12,-0.191223119976988,0.271,0.334,4.21330062595284e-08
"37",3.67003008601329e-12,-0.188986260511495,0.226,0.288,1.16670256434363e-07
"38",1.16837411007906e-10,-0.187154753175501,0.18,0.233,3.71426129594133e-06
"39",3.03716731967727e-10,-0.195132960647582,0.062,0.097,9.65515490925403e-06
"40",3.91728679803672e-07,-0.201094321219395,0.09,0.122,0.0124530547309587
