"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Il12b",4.54258575106546e-12,0.144535752167093,0.074,0,1.44408801026371e-07
"Thy1",2.00269289846021e-06,0.253272647276569,0.371,0.222,0.0636656072420499
"Adgra2",5.76879098791236e-06,-0.233967651094183,0.031,0.092,0.183389865505734
"Arhgap26",7.24084880704019e-06,-0.198420728909268,0.283,0.431,0.230186583575808
"Cnr1",3.51634507416923e-05,0.239971038463651,0.748,0.674,1
"Far1os",0.000119237948982216,0.229331764519235,0.318,0.2,1
"C1qb",0.000133558199301515,0.17010685523226,0.051,0.009,1
"Rsrp1",0.000189526297235415,0.163648069477984,0.64,0.587,1
"Pttg1",0.000248832799693953,-0.0524115750880091,0,0.02,1
"Gm44698",0.000248832799693957,-0.0415424849776945,0,0.02,1
"Hbb-bs",0.000339574299243699,0.17481333918418,0.103,0.038,1
"Klhdc2",0.000343422584184456,-0.237624087484679,0.164,0.258,1
"AC149090.1",0.000348281884405306,-0.246385253229419,0.513,0.622,1
"Prdx1",0.000420888984300544,0.212073027841091,0.125,0.054,1
"Gm26805",0.000462844543299941,0.0397655631233614,0.02,0,1
"Gm30954",0.000582549609532019,-0.0546497416296619,0,0.018,1
"C78197",0.000582549609532029,-0.0512330913151374,0,0.018,1
"Gpr88",0.000582549609532055,-0.0301717562243717,0,0.018,1
"Sept8",0.000674629557496858,-0.17272890879265,0.116,0.204,1
"Mbp",0.00073043663206114,-0.312221325296617,0.119,0.198,1
"Trim17",0.000750349391494703,0.127973922474377,0.092,0.034,1
"Prkn",0.000757520485942031,0.154023637290079,0.807,0.778,1
"Rnf149",0.000820485231256204,-0.164794565600524,0.059,0.117,1
"Neto1",0.000852415020142243,0.283248951504228,0.546,0.476,1
"Pgrmc1",0.00086262691127308,0.161272980242512,0.261,0.164,1
"Gm47334",0.000877590705417536,0.0355055820809086,0.018,0,1
"Ryk",0.000984288641127183,-0.211863013992997,0.199,0.29,1
"Hip1",0.00107244515258963,-0.23347937267804,0.147,0.227,1
"Lrsam1",0.00122790218624138,-0.162907950223387,0.062,0.112,1
"Gm47460",0.00131223610642296,-0.0254203352006371,0.029,0.067,1
"Gm2396",0.00136904325968937,-0.0327966325036523,0,0.016,1
"Gm45861",0.00136904325968951,-0.0409174599351794,0,0.016,1
"Gm14325",0.00147577685215022,0.100123555530623,0.062,0.018,1
"Meg3",0.00153904797054683,0.076231127796631,1,1,1
"Tmbim1",0.00164635372055343,-0.165989391403372,0.075,0.142,1
"4930563M21Rik",0.0016678996801079,0.0431992494496107,0.017,0,1
"Gm43582",0.00166789968010827,0.0386772973022609,0.017,0,1
"Fgf1",0.00179783879374449,-0.221701150623877,0.336,0.425,1
"Kcnd2",0.00180976804522814,-0.19825551819044,0.594,0.699,1
"Ccdc34",0.00183592465164506,0.0989564754397962,0.188,0.11,1
"Tshz1",0.00201788137943247,0.145589146047789,0.154,0.083,1
"Srrm1",0.00207653716124163,-0.211720452374095,0.388,0.47,1
"Tpt1-ps3",0.0020886854788667,-0.148665520936708,0.033,0.079,1
"Htr3a",0.0021644360237632,0.156763299994943,0.153,0.081,1
"Ctnnbip1",0.00221670725837959,0.138499722492489,0.151,0.081,1
"Srsf2",0.00222834072686539,0.130231706394296,0.41,0.306,1
"9630028H03Rik",0.00231837239120853,-0.248378684041634,0.303,0.396,1
"Cntn4",0.00232897680436647,-0.268237377173267,0.46,0.535,1
"Astn1",0.00240807182030503,0.138006633364001,0.634,0.528,1
"Tle2",0.00242901673376824,0.0264658122291395,0.206,0.144,1
"Cacna1h",0.00258700012669489,-0.148864373828529,0.037,0.076,1
"Zfp874a",0.00266971810906861,0.0518479848457696,0.053,0.018,1
"Cadps2",0.00280634672280101,0.253589705262364,0.491,0.393,1
"Rpl14-ps1",0.00284006611675277,0.0538319250791955,0.053,0.016,1
"Hmgb1",0.00299085841933313,-0.050628672378476,0.132,0.2,1
"Ppil2",0.0030335525210507,-0.103539509078185,0.191,0.187,1
"Sik3",0.00304811108066333,-0.190437255681185,0.586,0.634,1
"Zfp641",0.00313697082087125,0.0524030010872838,0.21,0.144,1
"Gm44624",0.00317956771076098,0.0267416409118273,0.015,0,1
"Spsb2",0.00317956771076111,0.0369485852847634,0.015,0,1
"Setmar",0.00317956771076115,0.0233498189005267,0.015,0,1
"Cryab",0.00322381232555946,-0.203936736392515,0.081,0.146,1
"Gm36855",0.00323432755057528,-0.0190768355534028,0,0.013,1
"Gm49857",0.00323432755057531,-0.0266463829070084,0,0.013,1
"Sgpp2",0.00323432755057547,-0.0400751308173464,0,0.013,1
"Lrrc14b",0.0032343275505755,-0.0271673666316648,0,0.013,1
"Cdc14a",0.00323432755057578,-0.0321782215278703,0,0.013,1
"Kcnt2",0.00327452438498705,-0.206420495469271,0.64,0.733,1
"Gm38604",0.00329439127315968,-0.142186190198207,0.246,0.252,1
"Fth1",0.00348605444213368,-0.197669917614833,0.537,0.618,1
"Dusp10",0.00357182358402326,-0.110556258494557,0.024,0.067,1
"Flywch1",0.0035953281939154,-0.0346472715851671,0.298,0.249,1
"Smarca5",0.00361296599658976,0.198804502425553,0.279,0.2,1
"Gnl2",0.00380581152988907,0.143717569797967,0.208,0.128,1
"Lancl1",0.00383898414738505,0.0300359834700702,0.355,0.274,1
"Siah1a",0.00393428072050452,0.128460042689388,0.16,0.09,1
"Snx21",0.00395224791609388,-0.151238659143999,0.18,0.189,1
"Zc3h7a",0.00405689934518929,-0.199487497505494,0.256,0.346,1
"Bclaf3",0.00409655335588605,-0.160476371865747,0.169,0.193,1
"Tank",0.0041535803250363,-0.00745669549702213,0.119,0.085,1
"Metap1d",0.00419265081143609,-0.169315575141389,0.52,0.578,1
"Gm26871",0.00419310932393937,0.153589405202877,0.572,0.467,1
"Arl4a",0.00431898717911066,-0.158898703086027,0.061,0.085,1
"Gm43821",0.00437857237935324,0.0596980457393717,0.031,0.004,1
"Bex1",0.00454286406026897,0.105554625100293,0.176,0.108,1
"Lrrtm2",0.00466856421794986,0.0865523923023493,0.072,0.027,1
"Gm14862",0.0046724017417099,0.0647947810026706,0.044,0.011,1
"Igf2bp3",0.00477799671395969,-0.190950151343237,0.347,0.434,1
"Ahi1",0.00484553518336145,-0.124281008827531,0.932,0.948,1
"Pcgf3",0.00495626777344309,-0.14202188136514,0.096,0.155,1
"A630052C17Rik",0.00499792947793228,-0.0430910079637965,0.004,0.027,1
"Ncoa1",0.00506129633572893,-0.156836419858559,0.7,0.775,1
"Arglu1",0.00516218096686168,0.159149040939818,0.684,0.636,1
"Ino80dos",0.00531375728934719,-0.213081429035527,0.228,0.29,1
"Gm10097",0.00534236306168411,0.0539235942417886,0.062,0.022,1
"Gabra2",0.00541203521071434,0.210251504216475,0.597,0.524,1
"Gm13936",0.00545885033305402,0.0197669311624722,0.033,0.007,1
"Cdh12",0.00546600233373292,-0.279179023416727,0.154,0.227,1
"Stau2",0.00568666947658365,-0.170179547331253,0.542,0.604,1
"Hs1bp3",0.00588352483094066,0.0884130051044359,0.086,0.038,1
"Grm7",0.00592375157285605,-0.0941222773779895,0.608,0.706,1
"Ccdc190",0.00608546824574648,0.0334077872649002,0.013,0,1
"Ogfod3",0.00608546824574648,0.0314963635291651,0.013,0,1
"Tmem74",0.00608546824574651,0.0247968919478901,0.013,0,1
"Pde6h",0.00608546824574651,0.0154261139364585,0.013,0,1
"Vtn",0.00608546824574656,0.0347797104303888,0.013,0,1
"Ficd",0.00608546824574656,0.0224901165142819,0.013,0,1
"Gm44760",0.00608546824574662,0.0293911569755543,0.013,0,1
"Platr6",0.00608546824574662,0.0261392566738149,0.013,0,1
"S100a13",0.00608546824574672,0.0496142859401127,0.013,0,1
"A2ml1",0.00608546824574672,0.0398968150745962,0.013,0,1
"Gm10524",0.00608546824574675,0.0197979143709302,0.013,0,1
"Itga1",0.00608546824574748,0.0219400606004283,0.013,0,1
"Fcf1",0.00615739002261654,-0.0181314912841166,0.103,0.07,1
"Rpl36al",0.00620800484885139,0.0625527098530004,0.035,0.007,1
"Srrm4",0.00623128748972138,-0.152398248779518,0.55,0.636,1
"Hpf1",0.00626557307171958,0.0867247850305795,0.206,0.135,1
"Gm29536",0.00632002064518133,-0.120979361996471,0.07,0.124,1
"Zfp689",0.00632858981432492,0.076537725360139,0.033,0.007,1
"Syt9",0.00633214328988425,0.120251565571124,0.11,0.056,1
"Gm1043",0.006332510011365,-0.128406926218555,0.164,0.245,1
"Rpl41",0.00640393379478225,0.133236631123474,0.226,0.148,1
"1500004A13Rik",0.00655197004647554,0.148493143812272,0.436,0.337,1
"Selenof",0.00662364954799514,0.0507696602108363,0.169,0.112,1
"Gm47350",0.00668512645699934,-0.136252543074262,0.062,0.112,1
"Atp13a1",0.00670420916412834,0.134702122316664,0.09,0.04,1
"Mfsd4b1",0.00678579282104666,0.0127197057345719,0.026,0.004,1
"Gm44559",0.00680016661346353,-0.191298084151022,0.221,0.29,1
"Fkbp7",0.00693256130868743,0.108492874925072,0.051,0.016,1
"Spred3",0.00694400577507862,-0.127584585308626,0.114,0.184,1
"Magi1",0.00696625104175602,-0.184553348111221,0.688,0.739,1
"Fbxl18",0.00703792438348866,0.11978229591044,0.085,0.038,1
"Commd9",0.00706894632459709,0.0497413666998453,0.029,0.004,1
"Znhit6",0.00730817272823926,-0.151481797037134,0.173,0.218,1
"Ust",0.00731095019172165,-0.105886194170216,0.267,0.357,1
"Jag2",0.00733224255693575,-0.113134097642452,0.088,0.153,1
"Ocrl",0.00734904324039027,0.111904220269685,0.346,0.258,1
"Gak",0.00741918576031006,0.0621711013832527,0.217,0.148,1
"Tbc1d30",0.00742222711321439,0.0693987867575491,0.265,0.193,1
"Tprkb",0.00742532779832956,-0.109681174318276,0.094,0.099,1
"Socs6",0.00743268325170214,0.148244884688909,0.162,0.097,1
"Mtmr1",0.00743653349284272,0.156309107407308,0.283,0.198,1
"Adhfe1",0.00748571441425296,-0.0650643878350156,0.013,0.045,1
"Prep",0.00755628452699068,-0.0802507584108816,0.039,0.085,1
"Gm18021",0.00769777255726764,-0.0301854168853171,0,0.011,1
"Gm48370",0.00769777255726768,-0.023113547842303,0,0.011,1
"Rpsa-ps7",0.00769777255726772,-0.0424968768816,0,0.011,1
"Gm10146",0.00769777255726786,-0.0216437538137493,0,0.011,1
"Gm6040",0.00769777255726786,-0.024996260429544,0,0.011,1
"Slc13a3",0.00769777255726786,-0.0380189247073749,0,0.011,1
