"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Mycbp2",0.00193618555893516,-2.2640808414601,0,0.889,1
"Golph3l",0.00431439487115506,1.59833254010952,0.75,0,1
"Mapkbp1",0.00431439487115506,1.39672163462819,0.75,0,1
"Rap1gds1",0.00431439487115506,1.37689016849801,0.75,0,1
"Satb1",0.00431439487115506,1.37689016849801,0.75,0,1
"Exoc2",0.00431439487115506,1.2727791832636,0.75,0,1
"Eya3",0.00431439487115506,1.2727791832636,0.75,0,1
"Gm36198",0.00431439487115506,1.2727791832636,0.75,0,1
"Ubxn4",0.00431439487115506,1.2727791832636,0.75,0,1
"Usp4",0.00431439487115506,1.2727791832636,0.75,0,1
"Lgi4",0.00431439487115506,1.38680322584377,0.75,0,1
"Gna13",0.00431439487115506,1.26154465569932,0.75,0,1
"Resf1",0.00431439487115506,1.26154465569932,0.75,0,1
"Sfi1",0.00431439487115506,1.26154465569932,0.75,0,1
"Zbtb44",0.00431439487115506,1.60999658019948,0.75,0,1
"Zfp641",0.00431439487115506,1.42065531231887,0.75,0,1
"2610316D01Rik",0.00431439487115506,1.41097260866009,0.75,0,1
"Foxo1",0.00431439487115506,1.17464061694308,0.75,0,1
"Phip",0.00431439487115506,1.17464061694308,0.75,0,1
"Mllt10",0.00702714165525049,-1.28525334178192,0,0.778,1
"Dnmt3a",0.00750770929865057,1.07695487065564,1,0.111,1
"Eif2s3y",0.0075420034606228,1.47943379421389,1,0.111,1
"Shc3",0.00795973080557127,1.29075493731352,1,0.111,1
"Bicral",0.00816888518487149,1.20002466848127,1,0.111,1
"Fus",0.016987562236182,-0.982232893370137,0.25,1,1
"Lrp4",0.0188812284455007,-1.21040341178038,0,0.667,1
"Arhgap32",0.0188812284455007,-1.61226798207653,0,0.667,1
"Cacng4",0.0188812284455007,-1.16636651794812,0,0.667,1
"Hecw1",0.0188812284455007,-1.21303808202303,0,0.667,1
"Gpr137c",0.0188812284455007,-1.2369298864719,0,0.667,1
"Pcsk2",0.0188812284455007,-1.27956467219286,0,0.667,1
"Abr",0.0188812284455007,-1.4879361279404,0,0.667,1
"Kctd8",0.0188812284455007,-1.58774986211924,0,0.667,1
"Grk4",0.0188812284455007,-1.43908795990295,0,0.667,1
"Ica1",0.0188812284455007,-1.54414505725031,0,0.667,1
"Megf11",0.0188812284455007,-1.54731901347302,0,0.667,1
"Pex5l",0.0239116798268522,-0.153970357360911,0.75,0.111,1
"Nipbl",0.0260933238890089,1.30744369539358,1,0.222,1
"St3gal3",0.0261384913107419,1.02127792790619,1,0.222,1
"Wdfy3",0.0262922836858655,1.12573603178212,1,0.222,1
"Nr3c2",0.0264360010667871,1.0061194251247,1,0.222,1
"Sfxn5",0.0264364044697305,1.17302571838642,1,0.222,1
"Ap1b1",0.0325301797331344,1.11831900891383,0.5,0,1
"Chrna7",0.0325301797331344,1.11831900891383,0.5,0,1
"Ctnna1",0.0325301797331344,1.11831900891383,0.5,0,1
"Dagla",0.0325301797331344,1.11831900891383,0.5,0,1
"Fdft1",0.0325301797331344,1.11831900891383,0.5,0,1
"Gm17168",0.0325301797331344,1.11831900891383,0.5,0,1
"Maged1",0.0325301797331344,1.11831900891383,0.5,0,1
"Man2c1os",0.0325301797331344,1.11831900891383,0.5,0,1
"Manba",0.0325301797331344,1.11831900891383,0.5,0,1
"Rxrg",0.0325301797331344,1.11831900891383,0.5,0,1
"Sema4d",0.0325301797331344,1.11831900891383,0.5,0,1
"Snhg14",0.0325301797331344,1.11831900891383,0.5,0,1
"Speg",0.0325301797331344,1.11831900891383,0.5,0,1
"Tha1",0.0325301797331344,1.11831900891383,0.5,0,1
"Ube2j2",0.0325301797331344,1.11831900891383,0.5,0,1
"Zfp369",0.0325301797331345,1.46691055348101,0.5,0,1
"Rps27rt",0.0325301797331345,1.35187226722184,0.5,0,1
"Cdc42ep1",0.0325301797331345,1.14392794510723,0.5,0,1
"Ddit4l",0.0325301797331345,1.14392794510723,0.5,0,1
"Hbs1l",0.0325301797331345,1.14392794510723,0.5,0,1
"Micu2",0.0325301797331345,1.14392794510723,0.5,0,1
"Nedd8",0.0325301797331345,1.14392794510723,0.5,0,1
"Rapgef4",0.0325301797331345,1.14392794510723,0.5,0,1
"Atg4b",0.0325301797331345,0.981295234369156,0.5,0,1
"C1qa",0.0325301797331345,0.981295234369156,0.5,0,1
"Cx3cr1",0.0325301797331345,0.981295234369156,0.5,0,1
"D830024N08Rik",0.0325301797331345,0.981295234369156,0.5,0,1
"Epha7",0.0325301797331345,0.981295234369156,0.5,0,1
"F730043M19Rik",0.0325301797331345,0.981295234369156,0.5,0,1
"Fhod3",0.0325301797331345,0.981295234369156,0.5,0,1
"Gm10125",0.0325301797331345,0.981295234369156,0.5,0,1
"Kxd1",0.0325301797331345,0.981295234369156,0.5,0,1
"Lonp2",0.0325301797331345,0.981295234369156,0.5,0,1
"Mcm9",0.0325301797331345,0.981295234369156,0.5,0,1
"Mul1",0.0325301797331345,0.981295234369156,0.5,0,1
"Nmt2",0.0325301797331345,0.981295234369156,0.5,0,1
"Osbpl3",0.0325301797331345,0.981295234369156,0.5,0,1
"Polr3k",0.0325301797331345,0.981295234369156,0.5,0,1
"Sh3bgrl",0.0325301797331345,0.981295234369156,0.5,0,1
"Snap47",0.0325301797331345,0.981295234369156,0.5,0,1
"Sra1",0.0325301797331345,0.981295234369156,0.5,0,1
"Tmem256",0.0325301797331345,0.981295234369156,0.5,0,1
"Uqcrq",0.0325301797331345,0.981295234369156,0.5,0,1
"Usp7",0.0325301797331345,0.981295234369156,0.5,0,1
"Zfp972",0.0325301797331345,0.981295234369156,0.5,0,1
"Zmat2",0.0325301797331345,0.981295234369156,0.5,0,1
"Mid1",0.0325301797331345,1.80862457619725,0.5,0,1
"Eif2s2",0.0325301797331345,1.59031704840373,0.5,0,1
"Arhgap17",0.0325301797331345,1.45776413138097,0.5,0,1
"Klhl23",0.0325301797331345,1.38690689474668,0.5,0,1
"Sipa1l3",0.0325301797331345,1.38690689474668,0.5,0,1
"Gm47339",0.0325301797331345,1.32123182789324,0.5,0,1
"Arhgef3",0.0325301797331345,1.29971547442214,0.5,0,1
"Epb41l5",0.0325301797331345,1.29971547442214,0.5,0,1
"Eps15l1",0.0325301797331345,1.28889550730002,0.5,0,1
"Kazn",0.0325301797331345,1.28889550730002,0.5,0,1
"Tle1",0.0325301797331345,1.28889550730002,0.5,0,1
"Tbc1d14",0.0325301797331345,1.18688892745089,0.5,0,1
"Gm11149",0.0325301797331345,1.18676230223849,0.5,0,1
"Shisa6",0.0325301797331345,1.18676230223849,0.5,0,1
"Btaf1",0.0325301797331345,1.16224042308825,0.5,0,1
"Mapkap1",0.0325301797331345,1.16224042308825,0.5,0,1
"Vma21",0.0325301797331345,1.16224042308825,0.5,0,1
"Anapc11",0.0325301797331345,1.13127238356912,0.5,0,1
"Brsk2",0.0325301797331345,1.13127238356912,0.5,0,1
"Cbx4",0.0325301797331345,1.13127238356912,0.5,0,1
"Ciapin1",0.0325301797331345,1.13127238356912,0.5,0,1
"Ep300",0.0325301797331345,1.13127238356912,0.5,0,1
"Gm12743",0.0325301797331345,1.13127238356912,0.5,0,1
"Gm28981",0.0325301797331345,1.13127238356912,0.5,0,1
"Igf2r",0.0325301797331345,1.13127238356912,0.5,0,1
"Lats1",0.0325301797331345,1.13127238356912,0.5,0,1
"Mia3",0.0325301797331345,1.13127238356912,0.5,0,1
"Prrc2b",0.0325301797331345,1.13127238356912,0.5,0,1
"Rbm18",0.0325301797331345,1.13127238356912,0.5,0,1
"Rps10-ps1",0.0325301797331345,1.13127238356912,0.5,0,1
"Sdhaf2",0.0325301797331345,1.13127238356912,0.5,0,1
"Sin3b",0.0325301797331345,1.13127238356912,0.5,0,1
"Slc4a1ap",0.0325301797331345,1.13127238356912,0.5,0,1
"Smc6",0.0325301797331345,1.13127238356912,0.5,0,1
"Bdp1",0.0325301797331345,1.04562719694577,0.5,0,1
"Chd8",0.0325301797331345,1.04562719694577,0.5,0,1
"Homer2",0.0325301797331345,1.04562719694577,0.5,0,1
"Map4k5",0.0325301797331345,1.04562719694577,0.5,0,1
"Urm1",0.0325301797331345,1.04562719694577,0.5,0,1
"4931406P16Rik",0.0325301797331345,1.0315073207096,0.5,0,1
"Acbd5",0.0325301797331345,1.0315073207096,0.5,0,1
"Kcna6",0.0325301797331345,1.0315073207096,0.5,0,1
"Morc2a",0.0325301797331345,1.0315073207096,0.5,0,1
"Mpp6",0.0325301797331345,1.0315073207096,0.5,0,1
"Plpp1",0.0325301797331345,1.0315073207096,0.5,0,1
"Angel1",0.0325301797331345,1.01733523896317,0.5,0,1
"Commd3",0.0325301797331345,1.01733523896317,0.5,0,1
"Gatad2a",0.0325301797331345,1.01733523896317,0.5,0,1
"H2afy",0.0325301797331345,1.01733523896317,0.5,0,1
"Med6",0.0325301797331345,1.01733523896317,0.5,0,1
"Nudcd2",0.0325301797331345,1.01733523896317,0.5,0,1
"Psmd8",0.0325301797331345,1.01733523896317,0.5,0,1
"Ptpa",0.0325301797331345,1.01733523896317,0.5,0,1
"Smim12",0.0325301797331345,1.01733523896317,0.5,0,1
"Tepsin",0.0325301797331345,1.01733523896317,0.5,0,1
"Unc50",0.0325301797331345,1.01733523896317,0.5,0,1
"4930415C11Rik",0.0325301797331345,0.864583766553381,0.5,0,1
"Abhd3",0.0325301797331345,0.864583766553381,0.5,0,1
"Aldh6a1",0.0325301797331345,0.864583766553381,0.5,0,1
"B3galt2",0.0325301797331345,0.864583766553381,0.5,0,1
"Chmp5",0.0325301797331345,0.864583766553381,0.5,0,1
"Cmtm5",0.0325301797331345,0.864583766553381,0.5,0,1
"Fnta",0.0325301797331345,0.864583766553381,0.5,0,1
"Ikbkb",0.0325301797331345,0.864583766553381,0.5,0,1
"Kif5c",0.0325301797331345,0.864583766553381,0.5,0,1
"Lhfpl2",0.0325301797331345,0.864583766553381,0.5,0,1
"Mctp1",0.0325301797331345,0.864583766553381,0.5,0,1
"Mfsd6",0.0325301797331345,0.864583766553381,0.5,0,1
"Nub1",0.0325301797331345,0.864583766553381,0.5,0,1
"Pan3",0.0325301797331345,0.864583766553381,0.5,0,1
"Pbx4",0.0325301797331345,0.864583766553381,0.5,0,1
"Plin2",0.0325301797331345,0.864583766553381,0.5,0,1
"Rhbdd3",0.0325301797331345,0.864583766553381,0.5,0,1
"Sept3",0.0325301797331345,0.864583766553381,0.5,0,1
"Sfxn1",0.0325301797331345,0.864583766553381,0.5,0,1
"Shc1",0.0325301797331345,0.864583766553381,0.5,0,1
"Taf7",0.0325301797331345,0.864583766553381,0.5,0,1
"Thrsp",0.0325301797331345,0.864583766553381,0.5,0,1
"Timm22",0.0325301797331345,0.864583766553381,0.5,0,1
"Tmem251",0.0325301797331345,0.864583766553381,0.5,0,1
"Ube2q2",0.0325301797331345,0.864583766553381,0.5,0,1
"Yipf6",0.0325301797331345,0.864583766553381,0.5,0,1
"Atat1",0.0325301797331345,0.847637689933046,0.5,0,1
"Blzf1",0.0325301797331345,0.847637689933046,0.5,0,1
"Cyth3",0.0325301797331345,0.847637689933046,0.5,0,1
"Dcaf1",0.0325301797331345,0.847637689933046,0.5,0,1
"E430024I08Rik",0.0325301797331345,0.847637689933046,0.5,0,1
"Fcf1",0.0325301797331345,0.847637689933046,0.5,0,1
"Gm16189",0.0325301797331345,0.847637689933046,0.5,0,1
"Hectd2os",0.0325301797331345,0.847637689933046,0.5,0,1
"Nap1l3",0.0325301797331345,0.847637689933046,0.5,0,1
"Nup88",0.0325301797331345,0.847637689933046,0.5,0,1
"Pik3cb",0.0325301797331345,0.847637689933046,0.5,0,1
"Rlbp1",0.0325301797331345,0.847637689933046,0.5,0,1
"Skp2",0.0325301797331345,0.847637689933046,0.5,0,1
"Stxbp5",0.0325301797331345,0.847637689933046,0.5,0,1
"Tomm70a",0.0325301797331345,0.847637689933046,0.5,0,1
"Top2b",0.0325301797331345,0.847637689933046,0.5,0,1
"Ttc17",0.0325301797331345,0.847637689933046,0.5,0,1
"Zdhhc18",0.0325301797331345,0.847637689933046,0.5,0,1
"Zfp869",0.0325301797331345,0.847637689933046,0.5,0,1
"Zfp930",0.0325301797331345,0.847637689933046,0.5,0,1
"Dpp10",0.0358150066122671,-0.21989022270012,0.25,0.889,1
"Hnrnpm",0.0426075417979744,-0.94527775447113,0,0.556,1
"Rapgef2",0.0426075417979744,-1.07037842244994,0,0.556,1
"Uri1",0.0426075417979744,-1.07037842244994,0,0.556,1
"Cwc15",0.0426075417979744,-1.2330927146695,0,0.556,1
"Csnk1g1",0.0426075417979744,-1.24995090801237,0,0.556,1
"Sf3b1",0.0426075417979744,-1.2520065392389,0,0.556,1
"Sorbs2",0.0426075417979744,-1.37985977612419,0,0.556,1
"A930015D03Rik",0.0426075417979744,-1.38317668424769,0,0.556,1
