"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Gtpbp1",9.14476246193696e-05,-0.390158821773457,0,0.154,1
"Slc25a26",9.14476246193699e-05,-0.423110641123812,0,0.154,1
"Akap7",9.14476246193703e-05,-0.408954463470792,0,0.154,1
"Gm13427",0.000281192430642714,-0.406097943479768,0,0.135,1
"Gm17359",0.000281192430642714,-0.437753702895466,0,0.135,1
"Ptgds",0.000478645466536193,-0.866820169728522,0.349,0.596,1
"Tma16",0.00049735433530904,0.618824955674168,0.151,0,1
"Meg3",0.000749608980433395,-0.655591980249951,0.442,0.731,1
"Cntn2",0.000950868979943809,-0.597178994696134,0.047,0.269,1
"Nebl",0.00115715111033296,0.902037861950708,0.291,0.058,1
"Npas3",0.00120321977574189,0.536637031404775,0.465,0.173,1
"Kif5b",0.00149036717927632,0.576445334481344,0.535,0.231,1
"Rps8",0.00152955656979481,0.549482260386027,0.128,0,1
"9530059O14Rik",0.00204370757497816,0.132121169714066,0.953,0.75,1
"Ttr",0.00207004153513035,-0.773318089877687,0.14,0.385,1
"Ptges3",0.0021861902069822,-0.577359780656679,0.047,0.25,1
"Lamtor1",0.00220445973417379,-0.473353960929671,0.07,0.288,1
"Chmp5",0.00231081090478254,-0.649448454033044,0.023,0.192,1
"Tagln3",0.00260414875933626,-0.290579218772066,0,0.096,1
"Krt10",0.00260414875933629,-0.355272281265337,0,0.096,1
"Wdyhv1",0.0026041487593363,-0.366210256925368,0,0.096,1
"Rhpn2",0.00260414875933631,-0.259948692286233,0,0.096,1
"Wdr35",0.00260414875933631,-0.39598136335599,0,0.096,1
"Zkscan2",0.00260414875933632,-0.353194215072788,0,0.096,1
"Rgl1",0.00260414875933633,-0.215117034641474,0,0.096,1
"Nmral1",0.00260414875933633,-0.270607195658812,0,0.096,1
"2310009B15Rik",0.00260414875933633,-0.285341035581299,0,0.096,1
"Col27a1",0.00267011738852766,0.435210685112699,0.116,0,1
"Zfp386",0.00267011738852766,0.334103269796544,0.116,0,1
"Polr3k",0.00267011738852766,0.450716902199657,0.116,0,1
"Noc2l",0.00267011738852766,0.409249681626646,0.116,0,1
"Ndufa7",0.00267011738852766,0.363743410791405,0.116,0,1
"Ptms",0.00297223521467468,-0.716619882151191,0.081,0.308,1
"Hecw2",0.00314165626676608,-0.394408098329523,0.186,0.442,1
"Pstpip2",0.00370434088594556,-0.927758633921852,0.14,0.346,1
"Ccdc88c",0.00390235496777626,0.590553393262059,0.163,0.019,1
"Strap",0.00426210410931596,-0.396700897915709,0.012,0.154,1
