"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Cldn10",0.00101313930824481,1.09165118549013e-05,26503,2417,4.62497281328427,0.693147180559945,0,3.93182563272433,51,26185,26822,106.171371722665,104.897459478474,107.449289980203,TRUE,TRUE,TRUE,FALSE,TRUE
"Lcat",0.000404127937025092,3.84376356654689e-06,10306,841,3.71357206670431,0,0,3.71357206670431,41,10108,10505,41.2859735491752,40.4927829065654,42.0831702051315,TRUE,TRUE,TRUE,FALSE,TRUE
"Acsbg1",0.000730465389385224,9.48178597244844e-06,19151,1852,4.30406509320417,0.693147180559945,0,3.61091791264422,37,18880,19423,76.7191615990932,75.6335319821878,77.808797229345,TRUE,TRUE,TRUE,FALSE,TRUE
"Gjb6",0.000706926100121307,1.25363998202148e-05,17214,2195,4.27666611901606,0.693147180559945,0,3.58351893845611,36,16957,17472,68.9595137468952,67.929968316841,69.9930651902959,TRUE,TRUE,TRUE,FALSE,TRUE
"Fgfr3",0.000642874372742246,1.25374757443965e-05,15421,2707,4.17438726989564,0.693147180559945,0,3.48124008933569,32.5,15178,15665,61.7767318165953,60.8032705733923,62.7541990731447,TRUE,TRUE,TRUE,FALSE,TRUE
"Aldh1l1",0.000314917241076068,3.60628606950693e-06,7910,804,3.46573590279973,0,0,3.46573590279973,32,7736,8085,31.6875655709272,30.9905192486337,32.3886179065672,TRUE,TRUE,TRUE,FALSE,TRUE
"F3",0.000598736796324176,1.34111647679842e-05,14616,2611,4.11087386417331,0.693147180559945,0,3.41772668361337,30.5,14380,14853,58.5518910726513,57.606471922874,59.5013162357752,TRUE,TRUE,TRUE,FALSE,TRUE
"Agt",0.000570052640437057,6.18407256842073e-06,13521,1335,4.06044301054642,0.693147180559945,0,3.36729582998647,29,13294,13749,54.1653064582183,53.2559414285596,55.0786775012235,TRUE,TRUE,TRUE,FALSE,TRUE
"Eva1a",0.000274665010979183,3.00242031062423e-06,7073,654,3.3322045101752,0,0,3.3322045101752,28,6909,7238,28.3345323998948,27.6775462110665,28.9955246020697,TRUE,TRUE,TRUE,FALSE,TRUE
"2900052N01Rik",0.00054140998132784,1.20886302063587e-05,16193,2196,4.00733318523247,0.693147180559945,0,3.31418600467253,27.5,15944,16443,64.8693741201042,63.8718767968222,65.8708774567328,TRUE,TRUE,TRUE,FALSE,TRUE
"Btbd17",0.000243330856540171,4.14509427042943e-06,6159,845,3.2188758248682,0,0,3.2188758248682,25,6006,6313,24.6730362011809,24.0601161591642,25.2899622565441,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc7a10",0.000468312211533455,7.83166949989188e-06,11168,1483,3.87120101090789,0.693147180559945,0,3.17805383034795,24,10961,11376,44.7391570538704,43.909912291142,45.5724078299454,TRUE,TRUE,TRUE,FALSE,TRUE
"Gfap",0.000448612313296702,7.02216995844616e-06,12464,1637,3.8286413964891,0.693147180559945,0,3.13549421592915,23,12246,12683,49.9309503509528,49.0576394414127,50.8082672738394,TRUE,TRUE,TRUE,FALSE,TRUE
"Timp4",0.000453905267935896,9.99485127841897e-06,11628,1757,3.8286413964891,0.693147180559945,0,3.13549421592915,23,11417,11840,46.581923193267,45.7366543771525,47.431198022728,TRUE,TRUE,TRUE,FALSE,TRUE
"Gldc",0.000206472401018193,3.02759099746723e-06,5217,588,3.09104245335832,0,0,3.09104245335832,22,5076,5359,20.8993716287645,20.334523746906,21.4682255239695,TRUE,TRUE,TRUE,FALSE,TRUE
