"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Ly6c1",0.00829606575006614,1.36897469413584e-05,54198,3426,6.72262979485545,0.693147180559945,0,6.0294826142955,415.5,53744,54653,875.747664842556,868.411795625269,883.099692362084,TRUE,TRUE,TRUE,FALSE,TRUE
"Ly6a",0.00445442466572644,8.26923417048886e-06,30386,2048,6.10031895202006,0.693147180559945,0,5.40717177146012,223,30046,30727,490.986171886525,485.492349124681,496.496152950611,TRUE,TRUE,TRUE,FALSE,TRUE
"Abcb1a",0.00173732036823293,4.2948819139045e-06,11217,998,5.16478597392351,0,0,5.16478597392351,175,11010,11425,181.247676234159,177.90290767033,184.608603100229,TRUE,TRUE,TRUE,FALSE,TRUE
"Ctla2a",0.00147948197107607,3.20982326405183e-06,8963,723,5.00394630594546,0,0,5.00394630594546,149,8778,9149,144.826862983576,141.837577069042,147.83230720035,TRUE,TRUE,TRUE,FALSE,TRUE
"Cldn5",0.0027727676159107,5.19281815267127e-06,17522,1143,5.62762111369064,0.693147180559945,0,4.93447393313069,139,17263,17782,283.1257718619,278.940771581554,287.326930444487,TRUE,TRUE,TRUE,FALSE,TRUE
"Adgrf5",0.00240040693711552,1.00939098056903e-05,15740,3202,5.48479693349065,0.693147180559945,0,4.79164975293071,120.5,15495,15986,254.331677268937,250.37289321996,258.306619620154,TRUE,TRUE,TRUE,FALSE,TRUE
"Slco1a4",0.00239350535511694,6.10523186834013e-06,14734,1378,5.48063892334199,0.693147180559945,0,4.78749174278205,120,14497,14972,238.076425214772,234.246907583721,241.922101148064,TRUE,TRUE,TRUE,FALSE,TRUE
"Ptprb",0.00226483354523506,7.71880908053151e-06,15370,1732,5.4249500174814,0.693147180559945,0,4.73180283692146,113.5,15128,15613,248.35310543987,244.442796297616,252.279572884365,TRUE,TRUE,TRUE,FALSE,TRUE
"Adgrl4",0.000891850550505552,1.96155965473031e-06,5485,467,4.49980967033027,0,0,4.49980967033027,90,5340,5631,88.6282877903505,86.2853339654461,90.9873999174957,TRUE,TRUE,TRUE,FALSE,TRUE
"Klf2",0.00164868044660666,9.46406235485112e-06,10605,2422,5.11198778835654,0.693147180559945,0,4.4188406077966,83,10404,10807,171.358795262838,168.110976512453,174.622772315464,TRUE,TRUE,TRUE,FALSE,TRUE
