"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Ccdc153",0.00366544460387412,1.107720541909e-06,7795,246,5.90808293816893,0,0,5.90808293816893,368,7623,7968,400.704870453323,391.863146563911,409.597999714186,TRUE,TRUE,TRUE,FALSE,TRUE
"Tmem212",0.00242929154756643,6.09150116196184e-07,4817,161,5.4971682252932,0,0,5.4971682252932,244,4682,4953,247.619674275004,240.679949129244,254.610804792214,TRUE,TRUE,TRUE,FALSE,TRUE
"Dynlrb2",0.00163341464991608,1.21891396560926e-06,3307,352,5.0998664278242,0,0,5.0998664278242,164,3195,3420,169.997563385393,164.240161782985,175.806370359252,TRUE,TRUE,TRUE,FALSE,TRUE
"Mia",0.00124944565281119,3.88158267984431e-06,2560,818,4.83628190695148,0,0,4.83628190695148,126,2461,2660,131.597750912188,126.508619138631,136.738288057196,TRUE,TRUE,TRUE,FALSE,TRUE
"Sntn",0.00096942358013986,2.6010435351798e-07,1898,59,4.58496747867057,0,0,4.58496747867057,98,1813,1984,97.5673950122396,93.1979384389834,101.988256956946,TRUE,TRUE,TRUE,FALSE,TRUE
"Foxj1",0.000924649967006993,2.69818073956486e-06,1996,734,4.53259949315326,0,0,4.53259949315326,93,1909,2084,102.605121414347,98.1328540981904,107.128794101953,TRUE,TRUE,TRUE,FALSE,TRUE
"1110017D15Rik",0.000905712614895104,2.70539909343748e-06,1993,842,4.52178857704904,0,0,4.52178857704904,92,1906,2081,102.450905299997,97.9786379838402,106.974577987603,TRUE,TRUE,TRUE,FALSE,TRUE
"Ccdc146",0.000902477042279721,3.15571835591177e-07,1847,124,4.51085950651685,0,0,4.51085950651685,91,1763,1932,94.9457210682859,90.6276698664797,99.3151776415421,TRUE,TRUE,TRUE,FALSE,TRUE
"Cfap126",0.00089918395855944,1.14450693769948e-06,1878,295,4.51085950651685,0,0,4.51085950651685,91,1794,1963,96.5392875832381,92.221236381432,100.908744156494,TRUE,TRUE,TRUE,FALSE,TRUE
"Ak7",0.000879188967118881,4.56848474945032e-07,1789,125,4.48863636973214,0,0,4.48863636973214,89,1707,1872,91.9642095241816,87.7489690652756,96.2308553545377,TRUE,TRUE,TRUE,FALSE,TRUE
