"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Igf2",0.00757467428886094,1.31462337242513e-05,6772,2837,6.63068338564237,0.693147180559945,0,5.93753620508243,379,6612,6933,803.571216677069,784.5854820834,822.675612111949,TRUE,TRUE,TRUE,FALSE,TRUE
"Col1a2",0.00443341183386095,1.01250290953284e-05,3862,1679,6.09582456243222,0.693147180559945,0,5.40267738187228,222,3741,3984,458.268168754702,443.910206968239,472.744791382375,TRUE,TRUE,TRUE,FALSE,TRUE
"Spp1",0.00173040850486686,4.71844461094912e-06,1513,660,5.15905529921453,0,0,5.15905529921453,174,1437,1590,179.533852751389,170.515628819396,188.670737524592,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc6a13",0.00137858167149408,1.17497893024967e-06,1124,189,4.93447393313069,0,0,4.93447393313069,139,1059,1190,133.37478552053,125.661830841851,141.206401040418,TRUE,TRUE,TRUE,FALSE,TRUE
"Pcolce",0.00104494023823964,4.18403286285684e-06,890,698,4.65396035015752,0,0,4.65396035015752,105,832,949,105.608148677288,98.7258198870823,112.609138308703,TRUE,TRUE,TRUE,FALSE,TRUE
"Nupr1",0.00198995002017752,9.40848122712728e-06,1731,1636,5.29831736654804,0.693147180559945,0,4.60517018598809,100,1650,1813,205.401916135264,195.790387997219,215.13210511452,TRUE,TRUE,TRUE,FALSE,TRUE
"Col1a1",0.000960382494467456,1.30657675093724e-06,818,265,4.57471097850338,0,0,4.57471097850338,97,762,874,97.0645681101362,90.4195610023519,103.709575217921,TRUE,TRUE,TRUE,FALSE,TRUE
"Edn3",0.00189711441048817,8.75305088008615e-06,1514,1848,5.25227342804663,0.693147180559945,0,4.55912624748668,95.5,1438,1591,179.652513592599,170.634289660606,188.789398365803,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc22a6",0.000867629340650888,2.32664500119648e-07,747,72,4.47733681447821,0,0,4.47733681447821,88,694,801,88.6396483841953,82.3506238000422,95.0473338095588,TRUE,TRUE,TRUE,FALSE,TRUE
"Col3a1",0.000774376369866864,2.79572300356285e-06,685,390,4.35670882668959,0,0,4.35670882668959,78,634,737,81.2826762291483,75.2309733274161,87.453039972091,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc6a20a",0.00137019100408284,8.31787213944749e-06,1137,966,4.92725368515721,0.693147180559945,0,4.23410650459726,69,1071,1204,134.917376456265,127.085760936376,142.867652817364,TRUE,TRUE,TRUE,FALSE,TRUE
"Aldh1a2",0.000668731785665681,2.3650861671881e-07,612,71,4.21950770517611,0,0,4.21950770517611,68,564,661,72.6204348207865,66.9247144426856,78.4348160400979,TRUE,TRUE,TRUE,FALSE,TRUE
"Fmod",0.000647751664837278,5.97955189531246e-07,641,129,4.18965474202643,0,0,4.18965474202643,66,592,691,76.0615992158892,70.2472179965778,81.9946412764109,TRUE,TRUE,TRUE,FALSE,TRUE
"Gjb2",0.000613856208047337,4.51613861134795e-06,552,812,4.12713438504509,0,0,4.12713438504509,62,506,598,65.5007843481604,60.0423856524804,70.9591830438404,TRUE,TRUE,TRUE,FALSE,TRUE
"Cyp1b1",0.000596555710991124,1.8692938702307e-06,467,348,4.11087386417331,0,0,4.11087386417331,61,425,510,55.4146128452734,50.4308575144351,60.5170290173221,TRUE,TRUE,TRUE,FALSE,TRUE
"Lum",0.000597536793565089,3.89481344068563e-06,523,1171,4.11087386417331,0,0,4.11087386417331,61,479,568,62.0596199530578,56.8385429397986,67.3993578075274,TRUE,TRUE,TRUE,FALSE,TRUE
"Colec12",0.00108379376954142,6.78277697221508e-06,918,906,4.69134788222914,0.693147180559945,0,3.9982007016692,54.5,859,978,108.93065223118,101.929662599764,116.050302703806,TRUE,TRUE,TRUE,FALSE,TRUE
"Tbx18",0.000514542535961538,3.73812365418192e-06,451,532,3.95124371858143,0,0,3.95124371858143,52,410,493,53.5160393859064,48.6509448962786,58.4997947167447,TRUE,TRUE,TRUE,FALSE,TRUE
"Itih2",0.00048380330841716,2.58174832102879e-07,408,79,3.89182029811063,0,0,3.89182029811063,49,369,448,48.4136232138577,43.7858504066507,53.1600568622751,TRUE,TRUE,TRUE,FALSE,TRUE
"Bgn",0.000941906982884614,1.01389520250374e-05,809,1432,4.55387689160054,0.693147180559945,0,3.8607297110406,47.5,754,865,95.9966205392423,89.4702742726684,102.641627647027,TRUE,TRUE,TRUE,FALSE,TRUE
"Zic1",0.000924661341360946,1.19523327221951e-05,787,1672,4.53259949315326,0.693147180559945,0,3.83945231259331,46.5,733,842,93.3860820326127,86.9783966072492,99.9124282991867,TRUE,TRUE,TRUE,FALSE,TRUE
"Bmp7",0.000404774597485207,3.32112499619785e-06,350,535,3.71357206670431,0,0,3.71357206670431,41,314,387,41.5312944236524,37.2595041400767,45.9217455484385,TRUE,TRUE,TRUE,FALSE,TRUE
"Emp3",0.000403432614630178,4.64811890413096e-06,353,752,3.71357206670431,0,0,3.71357206670431,41,317,390,41.8872769472837,37.6154866637081,46.2777280720698,TRUE,TRUE,TRUE,FALSE,TRUE
"Serpinf1",0.000752984007544379,7.0955933671952e-06,651,2065,4.33073334028633,0.693147180559945,0,3.63758615972639,38,601,701,77.2482076279935,71.3151655674717,83.1812496885153,TRUE,TRUE,TRUE,FALSE,TRUE
"Cped1",0.000343663240251479,2.6187563146653e-06,306,444,3.55534806148941,0,0,3.55534806148941,35,272,341,36.3102174103933,32.2757488092385,40.4633468527585,TRUE,TRUE,TRUE,FALSE,TRUE
"Lama1",0.000328454357869822,3.43523737199883e-07,256,89,3.52636052461616,0,0,3.52636052461616,34,225,288,30.3771753498715,26.698689272348,34.1743222686054,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc13a4",0.000333407834186391,4.23059411615602e-07,300,175,3.52636052461616,0,0,3.52636052461616,34,267,334,35.5982523631307,31.6824446031863,39.6327209642855,TRUE,TRUE,TRUE,FALSE,TRUE
"Serping1",0.000627442948343195,6.1234070627753e-06,566,1210,4.15888308335967,0.693147180559945,0,3.46573590279973,32,520,613,67.1620361251065,61.7036374294265,72.739095661997,TRUE,TRUE,TRUE,FALSE,TRUE
"Enpp1",0.000299112082884615,1.32322270214746e-06,260,262,3.43398720448515,0,0,3.43398720448515,31,229,292,30.8518187147132,27.1733326371897,34.6489656334472,TRUE,TRUE,TRUE,FALSE,TRUE
"Col4a5",0.000286904993505917,2.15946562355204e-06,249,367,3.40119738166216,0,0,3.40119738166216,30,219,280,29.5465494613984,25.9867242250854,33.2250355389219,TRUE,TRUE,TRUE,FALSE,TRUE
"Foxc1",0.000593471881789941,1.20274858051954e-05,483,2022,4.0943445622221,0.693147180559945,0,3.40119738166216,30,440,527,57.3131863046403,52.2107701325916,62.5342633178995,TRUE,TRUE,TRUE,FALSE,TRUE
"Inmt",0.000279469889911243,3.5502546060923e-07,239,96,3.36729582998647,0,0,3.36729582998647,29,209,270,28.3599410492941,24.800115812981,32.0384271268176,TRUE,TRUE,TRUE,FALSE,TRUE
"Zic4",0.000270572185295858,3.04461878063653e-06,234,453,3.3322045101752,0,0,3.3322045101752,28,205,264,27.7666368432419,24.3254724481393,31.326462079555,TRUE,TRUE,TRUE,FALSE,TRUE
"Dcdc2a",0.00054346285739645,1.31997372398898e-05,467,3752,4.00733318523247,0.693147180559945,0,3.31418600467253,27.5,425,510,55.4146128452734,50.4308575144351,60.5170290173221,TRUE,TRUE,TRUE,FALSE,TRUE
"Col15a1",0.000255094007381657,1.05330310938483e-06,199,304,3.29583686600433,0,0,3.29583686600433,27,172,227,23.6135074008767,20.4096646881949,26.9360109547689,TRUE,TRUE,TRUE,FALSE,TRUE
"Islr",0.0005273512697929,6.76089772641385e-06,475,1635,3.98898404656427,0.693147180559945,0,3.29583686600433,27,433,518,56.3638995749569,51.3801442441186,61.4663157470056,TRUE,TRUE,TRUE,FALSE,TRUE
"Col13a1",0.000251824819378698,5.64683814279764e-07,215,161,3.25809653802148,0,0,3.25809653802148,26,187,244,25.5120808602436,22.1895773063514,28.9532452553463,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc13a3",0.000509528585192307,1.04164117474985e-05,505,1838,3.95124371858143,0.693147180559945,0,3.25809653802148,26,461,549,59.9237248112699,54.7026477980108,65.1448018245291,TRUE,TRUE,TRUE,FALSE,TRUE
"Efemp1",0.000483217160976331,1.08641084235272e-05,432,2760,3.89182029811063,0.693147180559945,0,3.19867311755068,24.5,392,473,51.2614834029081,46.5150497544907,56.126577892536,TRUE,TRUE,TRUE,FALSE,TRUE
"Aox3",0.000226841192840237,4.68119357782879e-07,196,113,3.17805383034795,0,0,3.17805383034795,24,169,224,23.2575248772454,20.0536821645636,26.5800284311376,TRUE,TRUE,TRUE,FALSE,TRUE
"Col12a1",0.000231959807085799,4.51259716437859e-06,187,1802,3.17805383034795,0,5.73301570289366e-210,3.17805383034795,24,161,214,22.1895773063514,19.1043954348801,25.3934200190332,TRUE,TRUE,TRUE,FALSE,TRUE
"Col18a1",0.000231324904245562,2.70336546828443e-06,206,556,3.17805383034795,0,0,3.17805383034795,24,178,235,24.4441332893497,21.1216297354575,27.8852976844523,TRUE,TRUE,TRUE,FALSE,TRUE
"Fibin",0.000230959183150888,2.90561615967243e-06,208,1127,3.17805383034795,0,6.94519544516041e-281,3.17805383034795,24,180,237,24.6814549717706,21.3589514178784,28.1226193668732,TRUE,TRUE,TRUE,FALSE,TRUE
"Bicc1",0.000448768832411243,1.15573566254841e-05,390,3326,3.8286413964891,0.693147180559945,0,3.13549421592915,23,352,429,46.2777280720698,41.7686161060733,50.9055008792768,TRUE,TRUE,TRUE,FALSE,TRUE
"Osr1",0.000221393544659763,2.8021000321986e-06,232,1421,3.13549421592915,0,7.04341613926889e-302,3.13549421592915,23,203,262,27.529315160821,24.0881507657184,31.0891403971341,TRUE,TRUE,TRUE,FALSE,TRUE
"Rcn3",0.000449011610428994,1.27896191705471e-05,376,3464,3.8286413964891,0.693147180559945,0,3.13549421592915,23,338,414,44.6164762951238,40.1073643291272,49.1255882611203,TRUE,TRUE,TRUE,FALSE,TRUE
"Crabp2",0.000195258760754438,1.8037425827122e-07,254,80,3.04452243772342,0,0,3.04452243772342,21,223,286,30.1398536674506,26.4613675899271,33.9370005861846,TRUE,TRUE,TRUE,FALSE,TRUE
"Mrc2",0.000196258825591716,1.40029568950909e-06,162,243,3.04452243772342,0,2.4815586234888e-295,3.04452243772342,21,138,187,19.2230562760906,16.3751960870401,22.1895773063514,TRUE,TRUE,TRUE,FALSE,TRUE
"Nid1",0.000404142922736687,7.0528529685902e-06,356,926,3.71357206670431,0.693147180559945,0,3.02042488614436,20.5,320,393,42.243259470915,37.9714691873394,46.6337105957012,TRUE,TRUE,TRUE,FALSE,TRUE
"Wnt5a",0.000398551273994083,1.45336448864408e-05,326,4814,3.71357206670431,0.693147180559945,1.36180043979315e-308,3.02042488614436,20.5,291,362,38.683434234602,34.5303047922367,42.9552245181777,TRUE,TRUE,TRUE,FALSE,TRUE
"Fam180a",0.000190559356168639,7.24134186526752e-08,171,19,2.99573227355399,0,0,2.99573227355399,20,146,197,20.2910038469845,17.3244828167236,23.3761857184558,TRUE,TRUE,TRUE,FALSE,TRUE
"Lamc3",0.000190128731065089,1.64671549632636e-06,148,250,2.99573227355399,0,4.2959621415864e-264,2.99573227355399,20,125,172,17.5618044991445,14.8326051513044,20.4096646881949,TRUE,TRUE,TRUE,FALSE,TRUE
"Fbln5",0.000178857718727811,2.55494807799275e-06,154,735,2.94443897916644,0,4.27056959348804e-216,2.94443897916644,19,130,179,18.2737695464071,15.4259093573566,21.240290576668,TRUE,TRUE,TRUE,FALSE,TRUE
"Rbp4",0.000182651479378698,4.68259568356214e-06,234,1332,2.94443897916644,0,3.26713404733481e-311,2.94443897916644,19,205,264,27.7666368432419,24.3254724481393,31.326462079555,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc16a12",0.000176318837159763,3.17020898169829e-06,152,410,2.94443897916644,0,4.36663298188179e-246,2.94443897916644,19,128,177,18.0364478639862,15.1885876749357,21.0029688942471,TRUE,TRUE,TRUE,FALSE,TRUE
"Sned1",0.000180845774748521,4.86706741088885e-06,171,901,2.94443897916644,0,3.8175035437677e-233,2.94443897916644,19,146,197,20.2910038469845,17.3244828167236,23.3761857184558,TRUE,TRUE,TRUE,FALSE,TRUE
"Tfpi",0.000179389349866864,4.40363310913668e-06,154,746,2.94443897916644,0,3.30222775828694e-215,2.94443897916644,19,130,179,18.2737695464071,15.4259093573566,21.240290576668,TRUE,TRUE,TRUE,FALSE,TRUE
"Hspg2",0.000168895429201183,4.44831694811709e-06,145,788,2.89037175789616,0,3.0652559978382e-196,2.89037175789616,18,122,169,17.2058219755131,14.4766226276731,20.0536821645636,TRUE,TRUE,TRUE,FALSE,TRUE
"Pdgfrl",0.000170708562928994,3.30851869732609e-06,139,597,2.89037175789616,0,6.66377917051466e-201,2.89037175789616,18,116,163,16.4938569282505,13.7646575804105,19.341717117301,TRUE,TRUE,TRUE,FALSE,TRUE
"Syn3",0.00032647730693787,1.28344506411801e-05,284,2481,3.52636052461616,0.693147180559945,0,2.83321334405622,17,251,317,33.6996789037637,29.7838711438193,37.6154866637081,TRUE,TRUE,TRUE,FALSE,TRUE
"Tns2",0.000331525551804734,1.30920261427976e-05,262,2238,3.52636052461616,0.693147180559945,5.21153246652736e-306,2.83321334405622,17,231,294,31.0891403971341,27.4106543196106,34.886287315868,TRUE,TRUE,TRUE,FALSE,TRUE
"Cmbl",0.000320140305103551,1.22822179254637e-05,288,3371,3.49650756146648,0.693147180559945,9.03005566683928e-300,2.80336038090653,16.5,255,322,34.1743222686054,30.2585145086611,38.2087908697602,TRUE,TRUE,TRUE,FALSE,TRUE
"Fam46a",0.00032386819862426,1.25467126504861e-05,269,2828,3.49650756146648,0.693147180559945,9.66952824882631e-292,2.80336038090653,16.5,237,302,31.9197662856071,28.1226193668732,35.8355740455515,TRUE,TRUE,TRUE,FALSE,TRUE
"Foxd1",0.000153393269940828,1.83166790128599e-06,143,239,2.77258872223978,0,9.49418831446229e-256,2.77258872223978,16,120,167,16.9685002930923,14.2393009452523,19.8163604821427,TRUE,TRUE,TRUE,FALSE,TRUE
"Mfap2",0.000307039318491124,1.35467318582481e-05,289,3516,3.46573590279973,0.693147180559945,2.58608831419969e-296,2.77258872223978,16,256,323,34.2929831098159,30.3771753498715,38.3274517109707,TRUE,TRUE,TRUE,FALSE,TRUE
"Chp2",0.000140156852736686,2.09878839690333e-06,116,261,2.70805020110221,0,7.64824163427682e-196,2.70805020110221,15,95,138,13.7646575804105,11.2727799149914,16.3751960870401,TRUE,TRUE,TRUE,FALSE,TRUE
"Emp1",0.000135395974497041,1.27676269630687e-06,109,355,2.70805020110221,0,2.10533720659972e-169,2.70805020110221,15,89,130,12.9340316919375,10.5608148677288,15.4259093573566,TRUE,TRUE,TRUE,FALSE,TRUE
"Loxl2",0.000137456480695266,6.92430076406307e-07,133,136,2.70805020110221,0,6.72609290534555e-259,2.70805020110221,15,111,156,15.7818918809879,13.1713533743583,18.5110912288279,TRUE,TRUE,TRUE,FALSE,TRUE
"Mpzl2",0.000137153515902367,1.71779275403036e-07,136,40,2.70805020110221,0,3.13462007664426e-306,2.70805020110221,15,114,159,16.1378744046192,13.5273358979896,18.8670737524592,TRUE,TRUE,TRUE,FALSE,TRUE
"Tgfbi",0.000135337418357988,2.84376955678847e-06,110,543,2.70805020110221,0,1.84136743639146e-153,2.70805020110221,15,90,131,13.0526925331479,10.6794757089392,15.5445701985671,TRUE,TRUE,TRUE,FALSE,TRUE
"Tmem132c",0.00014272845,3.82098655451072e-06,116,1124,2.70805020110221,0,9.84138146471667e-131,2.70805020110221,15,95,138,13.7646575804105,11.2727799149914,16.3751960870401,TRUE,TRUE,TRUE,FALSE,TRUE
"Mxra8",0.000275089036952663,5.57408551957352e-06,236,1073,3.36729582998647,0.693147180559945,0,2.67414864942653,14.5,206,267,28.0039585256628,24.4441332893497,31.6824446031863,TRUE,TRUE,TRUE,FALSE,TRUE
