"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Gad2",0.00299169249497509,1.07717928499015e-05,57250,2274,5.7037824746562,0.693147180559945,0,5.01063529409626,150,56782,57719,333.156949278615,330.4335003308,335.886217561788,TRUE,TRUE,TRUE,FALSE,TRUE
"Vip",0.0012627607726018,2.53945254100091e-06,17755,615,4.84418708645859,0,0,4.84418708645859,127,17494,18016,103.32229929156,101.803452762971,104.841145820149,TRUE,TRUE,TRUE,FALSE,TRUE
"Sst",0.00151081591806725,8.4889951373981e-06,25361,3554,5.02388052084628,0.693147180559945,0,4.33073334028633,76,25050,25673,147.584164028907,145.77435073239,149.399796660784,TRUE,TRUE,TRUE,FALSE,TRUE
"Npy",0.000560389519381539,4.62552077406311e-06,13601,1112,4.04305126783455,0,0,4.04305126783455,57,13373,13830,79.1487802120252,77.8219717502693,80.4814080091396,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc32a1",0.000397891470463107,1.69047145156561e-06,8172,360,3.71357206670431,0,0,3.71357206670431,41,7995,8350,47.5556085503029,46.5255861918345,48.5914502441298,TRUE,TRUE,TRUE,FALSE,TRUE
"Erbb4",0.000745861891447229,8.76462366306509e-06,13655,1526,4.33073334028633,0.693147180559945,0,3.63758615972639,38,13427,13884,79.4630243213884,78.1362158596325,80.7956521185029,TRUE,TRUE,TRUE,FALSE,TRUE
"Dlx6os1",0.000275988333988013,1.716808704052e-06,5372,337,3.36729582998647,0,0,3.36729582998647,29,5229,5516,31.2614695462833,30.4293045900066,32.0994538379186,TRUE,TRUE,TRUE,FALSE,TRUE
"Igf1",0.00026338603899424,3.03799845843878e-06,5142,598,3.29583686600433,0,0,3.29583686600433,27,5002,5283,29.9230224138103,29.1083154636093,30.7435486993698,TRUE,TRUE,TRUE,FALSE,TRUE
"Dlx1",0.000212707374049502,2.02082879873556e-06,3887,433,3.09104245335832,0,0,3.09104245335832,22,3765,4010,22.6197565387943,21.9097976250478,23.3355347878995,TRUE,TRUE,TRUE,FALSE,TRUE
"Rbms3",0.000421777129506538,1.39759434304792e-05,8012,2911,3.76120011569356,0.693147180559945,0,3.06805293513362,21.5,7837,8188,46.6245148929303,45.6061312051791,47.6487179160401,TRUE,TRUE,TRUE,FALSE,TRUE
"Pnoc",0.000183670634055573,1.82141171814387e-06,3521,261,2.94443897916644,0,0,2.94443897916644,19,3405,3638,20.4898797975546,19.8148368959595,21.1707420345083,TRUE,TRUE,TRUE,FALSE,TRUE
"Nxph1",0.00035201904575218,9.69547951475957e-06,5798,1204,3.58351893845611,0.693147180559945,0,2.89037175789616,18,5649,5948,33.7405064090377,32.8734254406095,34.6134067128245,TRUE,TRUE,TRUE,FALSE,TRUE
"Htr3a",0.00015549719343929,5.89787587796382e-07,3199,123,2.83321334405622,0,0,2.83321334405622,17,3089,3310,18.6160538120924,17.9759269226488,19.2620000368946,TRUE,TRUE,TRUE,FALSE,TRUE
"Reln",0.000316159021933375,1.10706231555803e-05,5081,1561,3.49650756146648,0.693147180559945,0,2.80336038090653,16.5,4942,5221,29.568042956937,28.7591553420946,30.382749907138,TRUE,TRUE,TRUE,FALSE,TRUE
"Tac2",0.000147869334358344,1.28559761763305e-06,2359,244,2.77258872223978,0,0,2.77258872223978,16,2264,2455,13.7278121108865,13.1749752518216,14.28646830531,TRUE,TRUE,TRUE,FALSE,TRUE
"Grik1",0.000139492066865349,2.28389227140629e-06,2298,425,2.70805020110221,0,0,2.70805020110221,15,2205,2392,13.3728326540132,12.8316344656654,13.9198501777196,TRUE,TRUE,TRUE,FALSE,TRUE
"Btbd11",0.000119305620430417,1.55666859594894e-06,1955,296,2.56494935746154,0,0,2.56494935746154,13,1869,2042,11.3768006260208,10.8763377851831,11.8830828022171,TRUE,TRUE,TRUE,FALSE,TRUE
"Dlx6",0.000115319305083593,4.52795871800379e-07,1995,95,2.56494935746154,0,0,2.56494935746154,13,1908,2083,11.609574040364,11.1032918641676,12.1216755519189,TRUE,TRUE,TRUE,FALSE,TRUE
