"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Ctss",0.00628350136317521,1.12983598018538e-05,6674,2120,6.44413125670044,0.693147180559945,0,5.7509840761405,314.5,6515,6834,629.584034941254,614.584954696174,644.677449024352,TRUE,TRUE,TRUE,FALSE,TRUE
"Cx3cr1",0.00623734100631982,1.07849932389572e-05,6409,2106,6.4377516497364,0.693147180559945,0,5.74460446917646,312.5,6253,6566,604.585567866121,589.8694891351,619.395980435162,TRUE,TRUE,TRUE,FALSE,TRUE
"C1qb",0.00582883855825554,8.93584449127451e-06,6361,1791,6.36990098282823,0.693147180559945,0,5.67675380226828,292,6206,6517,600.057543641192,585.43579874819,614.773622372213,TRUE,TRUE,TRUE,FALSE,TRUE
"C1qc",0.00563851616280796,7.40935401279856e-06,6116,1536,6.33682573114644,0.693147180559945,0,5.6436785505865,282.5,5964,6269,576.945753326447,562.607009947503,591.37883054341,TRUE,TRUE,TRUE,FALSE,TRUE
"Siglech",0.00268349400912778,3.9240719395098e-06,2765,790,5.59471137960184,0,0,5.59471137960184,269,2663,2868,260.833062123549,251.211010645574,270.549447439544,TRUE,TRUE,TRUE,FALSE,TRUE
"Selplg",0.00250103236327467,3.48770165658645e-06,2552,688,5.52545293913178,0,0,5.52545293913178,251,2454,2651,240.739954625424,231.495238499526,250.079004589341,TRUE,TRUE,TRUE,FALSE,TRUE
"C1qa",0.00447184013338178,6.12569070262032e-06,4864,1255,6.10479323241498,0.693147180559945,0,5.41164605185504,224,4728,5001,458.8397881262,446.010386155566,471.763523934853,TRUE,TRUE,TRUE,FALSE,TRUE
"Csf1r",0.00409823858931906,6.62990221989305e-06,4262,1397,6.01859321449623,0.693147180559945,0,5.32544603393629,205.5,4135,4390,402.050817638541,390.070420210081,414.12554890502,TRUE,TRUE,TRUE,FALSE,TRUE
"Tyrobp",0.00196763664217292,3.73677681811052e-06,2173,740,5.28826703069454,0,0,5.28826703069454,198,2082,2265,204.987430016084,196.403050756322,213.666143113866,TRUE,TRUE,TRUE,FALSE,TRUE
"Fcrls",0.00195302143599082,2.88482842120321e-06,2075,589,5.27811465923052,0,0,5.27811465923052,196,1986,2165,195.742713890186,187.347002306462,204.232759311929,TRUE,TRUE,TRUE,FALSE,TRUE
"P2ry12",0.00369970423977812,6.30176152902852e-06,3782,1250,5.91620206260743,0.693147180559945,0,5.22305488204749,185.5,3662,3903,356.770575389245,345.450514826921,368.184969789588,TRUE,TRUE,TRUE,FALSE,TRUE
"Trem2",0.00171690911571538,2.43746013585561e-06,1851,500,5.15329159449778,0,0,5.15329159449778,173,1767,1936,174.611934173848,166.687891780221,182.630310405494,TRUE,TRUE,TRUE,FALSE,TRUE
