"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Acta2",0.00955499211981517,1.40890490909343e-05,20011,4623,6.8627579130514,0.693147180559945,0,6.16961073249146,478,19736,20287,1254.50197005269,1237.26204992054,1271.80458080351,TRUE,TRUE,TRUE,FALSE,TRUE
"Myl9",0.00689129657329507,1.09954871034233e-05,13211,2908,6.5366915975913,0.693147180559945,0,5.84354441703136,345,12987,13436,828.205763148574,814.163064568203,842.311152347607,TRUE,TRUE,TRUE,FALSE,TRUE
"Myh11",0.00302046679435309,3.40880206710858e-06,6495,1127,5.71373280550937,0,0,5.71373280550937,303,6338,6653,407.175568212095,397.333141082103,417.080685960749,TRUE,TRUE,TRUE,FALSE,TRUE
"Tagln",0.00219519298226896,2.33485301901052e-06,4814,710,5.39816270151775,0,0,5.39816270151775,221,4679,4950,301.79263824065,293.329404721231,310.318562378733,TRUE,TRUE,TRUE,FALSE,TRUE
"Higd1b",0.00197501501405354,2.94252627401776e-06,2703,742,5.29330482472449,0,0,5.29330482472449,199,2602,2805,169.452742244387,163.120989759487,175.847185347949,TRUE,TRUE,TRUE,FALSE,TRUE
"Tpm2",0.0037311224374761,5.48267578390717e-06,7797,1591,5.92425579741453,0.693147180559945,0,5.23110861685459,187,7625,7970,488.798753710501,478.015967300573,499.644230739091,TRUE,TRUE,TRUE,FALSE,TRUE
"Lmod1",0.00140510497546845,2.27981834796048e-06,2923,575,4.95582705760126,0,0,4.95582705760126,142,2818,3029,183.244678350108,176.662163390559,189.88988392832,TRUE,TRUE,TRUE,FALSE,TRUE
"Kcnj8",0.000913162198291906,1.32143125233611e-06,1119,307,4.52178857704904,0,0,4.52178857704904,92,1054,1185,70.1508022831923,66.0759120701383,74.2883831149088,TRUE,TRUE,TRUE,FALSE,TRUE
"Pln",0.000887485041472275,4.37074007548822e-07,1860,180,4.49980967033027,0,0,4.49980967033027,90,1776,1945,116.604550712009,111.33853874437,121.93325329831,TRUE,TRUE,TRUE,FALSE,TRUE
"Mustn1",0.000814604083135755,1.34362496996552e-06,1654,403,4.40671924726425,0,0,4.40671924726425,82,1575,1734,103.69028326756,98.7377243932332,108.70553276055,TRUE,TRUE,TRUE,FALSE,TRUE
"Aspn",0.000772094666934353,8.35815114786757e-07,1245,233,4.35670882668959,0,0,4.35670882668959,78,1176,1315,78.049820234651,73.7241675469474,82.4381635410169,TRUE,TRUE,TRUE,FALSE,TRUE
"P2ry14",0.000656162623569152,1.23988095816434e-06,864,291,4.20469261939097,0,0,4.20469261939097,67,807,922,54.1646945242879,50.5913292605328,57.8007504067054,TRUE,TRUE,TRUE,FALSE,TRUE
