"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Igfbpl1",0.00124283115582996,7.2793691398786e-07,1389,233,4.8283137373023,0,0,4.8283137373023,125,1316,1462,106.852975997698,101.237232838712,112.468719156685,TRUE,TRUE,TRUE,FALSE,TRUE
"Top2a",0.000493538416356276,7.3965446599241e-07,972,119,3.91202300542815,0,0,3.91202300542815,50,911,1034,74.7740048018451,70.0813975046099,79.5435400875594,TRUE,TRUE,TRUE,FALSE,TRUE
"2810417H13Rik",0.000330355741103239,4.57951953865569e-07,722,97,3.52636052461616,0,0,3.52636052461616,34,670,775,55.5420076820289,51.5417522811072,59.61919107143,TRUE,TRUE,TRUE,FALSE,TRUE
"Cenpf",0.000334708177267206,3.75442386727575e-06,611,909,3.52636052461616,0,0,3.52636052461616,34,563,660,47.0030009608306,43.3104575138259,50.7724723963145,TRUE,TRUE,TRUE,FALSE,TRUE
"Cd24a",0.000543839085506073,1.12190901881193e-05,614,3593,4.00733318523247,0.693147180559945,0,3.31418600467253,27.5,566,663,47.2337849262684,43.5412414792637,51.0032563617523,TRUE,TRUE,TRUE,FALSE,TRUE
"Mki67",0.000247838658623482,4.16962892684791e-07,472,115,3.25809653802148,0,0,3.25809653802148,26,430,515,36.3100105622128,33.0790350460837,39.6179140668212,TRUE,TRUE,TRUE,FALSE,TRUE
"1190002F15Rik",0.000242686355779352,3.67466120246359e-07,484,70,3.2188758248682,0,0,3.2188758248682,25,441,528,37.233146423964,33.9252429193556,40.6179779170516,TRUE,TRUE,TRUE,FALSE,TRUE
"Prc1",0.000229962895111336,8.77623224984225e-07,481,233,3.17805383034795,0,0,3.17805383034795,24,439,524,37.0023624585262,33.7713869423971,40.3102659631346,TRUE,TRUE,TRUE,FALSE,TRUE
"Hmgb2",0.000464891477327936,9.22836581084084e-06,997,1784,3.85014760171006,0.693147180559945,0,3.15700042115011,23.5,936,1059,76.6972045138267,72.0045972165915,81.4667397995411,TRUE,TRUE,TRUE,FALSE,TRUE
"Eomes",0.000224417591305668,8.88696193798381e-08,319,23,3.13549421592915,0,0,3.13549421592915,23,284,354,24.5400283248854,21.8475487281111,27.2325079216596,TRUE,TRUE,TRUE,FALSE,TRUE
"Pbk",0.000211962687651822,9.82223854371262e-08,407,24,3.09104245335832,0,0,3.09104245335832,22,368,447,31.3096913110606,28.3094997603693,34.3868108502312,TRUE,TRUE,TRUE,FALSE,TRUE
"Cdca8",0.000189319707024291,2.11115242183987e-06,342,719,2.99573227355399,0,0,2.99573227355399,20,306,379,26.3093720599084,23.5399644746549,29.1557076336412,TRUE,TRUE,TRUE,FALSE,TRUE
"Ube2c",0.000189632101680162,1.35298174583848e-07,427,31,2.99573227355399,0,0,2.99573227355399,20,387,468,32.8482510806459,29.7711315414753,36.0022986082958,TRUE,TRUE,TRUE,FALSE,TRUE
"Cdca7",0.000176853355364372,3.27526168372452e-06,325,789,2.94443897916644,0,0,2.94443897916644,19,290,361,25.0015962557609,22.3091166589867,27.7710038410145,TRUE,TRUE,TRUE,FALSE,TRUE
