"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Nhlh2",0.0009902218296875,3.21631301393185e-06,706,1314,4.60517018598809,0,0,4.60517018598809,100,654,759,96.8633294094081,89.728919877837,104.134939124279,TRUE,TRUE,TRUE,FALSE,TRUE
"Lhx1",0.000684346329613096,1.82870513643816e-07,500,51,4.23410650459726,0,0,4.23410650459726,69,457,544,68.6000916497224,62.7004837678463,74.636899714898,TRUE,TRUE,TRUE,FALSE,TRUE
"Fam159b",0.000618488289806548,1.26129310846812e-06,451,431,4.14313472639153,0,0,4.14313472639153,63,410,493,61.8772826680496,56.2520751527724,67.6396903666263,TRUE,TRUE,TRUE,FALSE,TRUE
"Lhx1os",0.000592330119047619,1.34059054539815e-07,436,36,4.0943445622221,0,0,4.0943445622221,60,396,477,59.819279918558,54.3312725865802,65.4444874338352,TRUE,TRUE,TRUE,FALSE,TRUE
"Ecel1",0.000337515863943453,1.59865889908273e-06,253,548,3.55534806148941,0,0,3.55534806148941,35,222,285,34.7116463747596,30.4584406924768,39.1020522403418,TRUE,TRUE,TRUE,FALSE,TRUE
"Lhx5",0.000307008377321429,4.50017190233527e-08,210,19,3.46573590279973,0,0,3.46573590279973,32,182,239,28.8120384928834,24.970433360499,32.7908438085673,TRUE,TRUE,TRUE,FALSE,TRUE
"Trp73",0.000304710940446429,9.5633775722072e-07,227,382,3.43398720448515,0,0,3.43398720448515,31,198,257,31.144441608974,27.1656362932901,35.2604471079573,TRUE,TRUE,TRUE,FALSE,TRUE
"Ebf3",0.000255692133184524,4.44319455044977e-07,186,62,3.29583686600433,0,0,3.29583686600433,27,160,213,25.5192340936967,21.9520293279112,29.2236390427818,TRUE,TRUE,TRUE,FALSE,TRUE
"Nxph4",0.000262190206904762,1.18162114083396e-06,199,322,3.29583686600433,0,0,3.29583686600433,27,172,227,27.3028364765895,23.5984315275045,31.144441608974,TRUE,TRUE,TRUE,FALSE,TRUE
"Cd274",0.000193697943854167,1.01312126084105e-06,136,256,2.99573227355399,0,2.49819037190626e-246,2.99573227355399,20,114,159,18.6592249287245,15.6408208961367,21.8148291446117,TRUE,TRUE,TRUE,FALSE,TRUE
"Rec114",0.00018066037235119,6.93336881313422e-07,133,216,2.94443897916644,0,1.25090838004193e-247,2.94443897916644,19,111,156,18.2476243788262,15.2292203462384,21.4032285947134,TRUE,TRUE,TRUE,FALSE,TRUE
"Gm27199",0.000174606458735119,7.26233322993752e-09,128,8,2.89037175789616,0,2.12942293357577e-321,2.89037175789616,18,106,151,17.5616234623289,14.5432194297412,20.7172276782162,TRUE,TRUE,TRUE,FALSE,TRUE
"Gdf5",0.00014081601077381,1.02807822865246e-07,99,37,2.70805020110221,0,6.80756957445835e-225,2.70805020110221,15,80,119,13.582818146645,10.9760146639556,16.3268218126339,TRUE,TRUE,TRUE,FALSE,TRUE
"Mrap2",0.000140670762068452,1.67717827993088e-06,108,580,2.70805020110221,0,7.25183455219315e-154,2.70805020110221,15,88,129,14.81761979634,12.0736161303511,17.6988236456284,TRUE,TRUE,TRUE,FALSE,TRUE
"Syndig1l",0.000138374747306548,3.17862402459343e-06,101,1063,2.70805020110221,0,6.54483838556914e-117,2.70805020110221,15,82,121,13.8572185132439,11.2504150305545,16.6012221792328,TRUE,TRUE,TRUE,FALSE,TRUE
"Tmem163",0.000276513486264881,8.20956926343775e-06,205,2211,3.36729582998647,0.693147180559945,2.8949142650998e-233,2.67414864942653,14.5,177,234,28.1260375763862,24.2844324440017,32.1048428920701,TRUE,TRUE,TRUE,FALSE,TRUE
"Ankrd35",0.000270599909464286,9.2893884628617e-06,201,3306,3.3322045101752,0.693147180559945,1.76748783880341e-194,2.63905732961526,14,174,229,27.5772368431884,23.8728318941034,31.4188419755729,TRUE,TRUE,TRUE,FALSE,TRUE
"Islr",0.000218927984434524,8.61619802551514e-06,155,1955,3.13549421592915,0.693147180559945,4.65149667020381e-167,2.4423470353692,11.5,131,180,21.266028411414,17.9732240122273,24.6960329939001,TRUE,TRUE,TRUE,FALSE,TRUE
"Pafah1b3",0.000209247260818452,1.30241744268888e-05,163,3402,3.09104245335832,0.693147180559945,1.8791499092208e-142,2.39789527279837,11,138,188,22.3636298778095,18.9336252953234,25.7936344602956,TRUE,TRUE,TRUE,FALSE,TRUE
"Cenpf",0.000198629994583333,5.49170330041211e-06,148,1372,3.04452243772342,0.693147180559945,5.46463183980739e-178,2.35137525716348,10.5,125,172,20.3056271283178,17.1500229124306,23.5984315275045,TRUE,TRUE,TRUE,FALSE,TRUE
"Dach1",0.000177054189032738,1.11052059731555e-05,126,2677,2.94443897916644,0.693147180559945,1.16716104462523e-109,2.25129179860649,9.5,104,148,17.2872230957301,14.2688190631423,20.3056271283178,TRUE,TRUE,TRUE,FALSE,TRUE
"Mia",0.000179684893690476,1.07273174708645e-05,129,3249,2.94443897916644,0.693147180559945,1.91689516521386e-103,2.25129179860649,9.5,107,152,17.6988236456284,14.6804196130406,20.8544278615156,TRUE,TRUE,TRUE,FALSE,TRUE
"Car8",0.000133971788214286,6.02968385619709e-06,99,974,2.63905732961526,0.693147180559945,2.52639347492089e-117,1.94591014905531,7,80,119,13.582818146645,10.9760146639556,16.3268218126339,TRUE,TRUE,TRUE,FALSE,TRUE
