"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Gm21984",0.00102647308634,2.67213207890685e-06,7831,688,4.64439089914137,0,0,4.64439089914137,104,7658,8005,98.4740978918797,96.2986389549246,100.662131735985,TRUE,TRUE,TRUE,FALSE,TRUE
"Tmem88b",0.000927646730347524,4.95065417251077e-06,7760,1360,4.54329478227,0,0,4.54329478227,94,7588,7933,97.5812794842276,95.4183954544226,99.7567384211827,TRUE,TRUE,TRUE,FALSE,TRUE
"Mog",0.00185418592858455,5.61220389053727e-06,15910,1525,5.2257466737132,0.693147180559945,0,4.53259949315326,93,15664,16157,200.066772756967,196.973345598059,203.172774823024,TRUE,TRUE,TRUE,FALSE,TRUE
"Opalin",0.00167341385371188,5.24881763201085e-06,14130,1413,5.12396397940326,0.693147180559945,0,4.43081679884331,84,13898,14363,177.683438029914,174.766059571108,180.613391395871,TRUE,TRUE,TRUE,FALSE,TRUE
"Aspa",0.000692533674751287,3.95457412207603e-06,5467,877,4.24849524204936,0,0,4.24849524204936,70,5323,5612,68.7470173892104,66.9362307596061,70.5703789259646,TRUE,TRUE,TRUE,FALSE,TRUE
"Gjb1",0.000547075707461783,1.9460099870179e-06,4347,419,4.02535169073515,0,0,4.02535169073515,56,4218,4477,54.6631213811775,53.0409583588237,56.2978593106813,TRUE,TRUE,TRUE,FALSE,TRUE
"Tnfaip6",0.000536185783323961,3.4621264660649e-06,4206,647,4.00733318523247,0,0,4.00733318523247,55,4079,4334,52.8900594730234,51.2930462649696,54.4996475882271,TRUE,TRUE,TRUE,FALSE,TRUE
"Ugt8a",0.00105529357388258,1.07018859115502e-05,9176,2449,4.67282883446191,0.693147180559945,0,3.97968165390196,53.5,8989,9364,115.387348008669,113.035840371614,117.751430552875,TRUE,TRUE,TRUE,FALSE,TRUE
"Nkx6-2",0.000436079795304753,1.61578960301318e-06,3583,466,3.80666248977032,0,0,3.80666248977032,45,3466,3701,45.0558923185551,43.5846281820017,46.5397313622586,TRUE,TRUE,TRUE,FALSE,TRUE
"Ppp1r14a",0.000866983016668515,1.13238080385775e-05,7122,1951,4.47733681447821,0.693147180559945,0,3.78418963391826,44,6957,7288,89.5584887225089,87.4836290427541,91.6459233094138,TRUE,TRUE,TRUE,FALSE,TRUE
"Serpinb1a",0.000418782281937624,4.17631660003504e-06,3280,966,3.76120011569356,0,0,3.76120011569356,43,3168,3393,41.2456954520962,39.8373058512929,42.6666599600495,TRUE,TRUE,TRUE,FALSE,TRUE
"Evi2a",0.000816309553636832,9.28476706305725e-06,6476,1628,4.4188406077966,0.693147180559945,0,3.72569342723665,41.5,6319,6634,81.4350987035899,79.4608382810353,83.4219340332946,TRUE,TRUE,TRUE,FALSE,TRUE
"Car14",0.000345969156843366,4.1930740015029e-06,2806,1018,3.58351893845611,0,0,3.58351893845611,36,2703,2910,35.2851894629823,33.9899740265293,36.5929798065854,TRUE,TRUE,TRUE,FALSE,TRUE
"Fa2h",0.000652894811083169,5.06343150794324e-06,5414,1088,4.18965474202643,0.693147180559945,0,3.49650756146648,33,5270,5559,68.0805473102588,66.2697606806546,69.9039088470131,TRUE,TRUE,TRUE,FALSE,TRUE
"Hapln2",0.000307373831176039,9.44178175073992e-07,2415,283,3.46573590279973,0,0,3.46573590279973,32,2319,2512,30.3684007673208,29.161209680918,31.5881667608737,TRUE,TRUE,TRUE,FALSE,TRUE
"Lpar1",0.000632983795481188,1.39100855446306e-05,5492,3092,4.15888308335967,0.693147180559945,0,3.46573590279973,32,5347,5638,69.0613900679611,67.2380285312068,70.8973265118654,TRUE,TRUE,TRUE,FALSE,TRUE
"Gjc2",0.000301606206505743,1.75762315573914e-06,2598,529,3.43398720448515,0,0,3.43398720448515,31,2499,2698,32.6696087757762,31.4246929679233,33.9270994907791,TRUE,TRUE,TRUE,FALSE,TRUE
"S1pr5",0.00029890653868396,4.86285887110099e-06,2552,1574,3.43398720448515,0,0,3.43398720448515,31,2453,2651,32.0911630468749,30.8462472390219,33.3360788547278,TRUE,TRUE,TRUE,FALSE,TRUE
"Tmem125",0.000292580905401188,1.19237452164452e-06,2467,366,3.40119738166216,0,0,3.40119738166216,30,2370,2565,31.0222959391224,29.8025299455695,32.2546368398252,TRUE,TRUE,TRUE,FALSE,TRUE
"Pdlim2",0.000587346207360594,7.61074776208082e-06,5034,1497,4.0943445622221,0.693147180559945,0,3.40119738166216,30,4895,5173,63.3020825932477,61.5541704993936,65.0499946871017,TRUE,TRUE,TRUE,FALSE,TRUE
"Arsg",0.000265529127555247,3.54468981105876e-06,2133,1150,3.3322045101752,0,0,3.3322045101752,28,2043,2224,26.8222769510126,25.6905353075099,27.9665935016652,TRUE,TRUE,TRUE,FALSE,TRUE
"Pls1",0.000271684619148515,4.96860495587191e-06,2165,1403,3.3322045101752,0,0,3.3322045101752,28,2074,2257,27.2246739798135,26.0803574291608,28.3815654376162,TRUE,TRUE,TRUE,FALSE,TRUE
"Gjc3",0.000536145879260396,1.4613388162304e-05,4394,2444,4.00733318523247,0.693147180559945,0,3.31418600467253,27.5,4265,4524,55.2541420172289,53.6319789948751,56.8888799467327,TRUE,TRUE,TRUE,FALSE,TRUE
"Rhog",0.000537146923327128,1.30592843817273e-05,4343,2338,4.00733318523247,0.693147180559945,0,3.31418600467253,27.5,4214,4473,54.6128217525774,52.9906587302236,56.2475596820812,TRUE,TRUE,TRUE,FALSE,TRUE
"Trim59",0.000484736888733069,7.11924517167172e-06,3837,1954,3.89182029811063,0.693147180559945,0,3.19867311755068,24.5,3716,3959,48.2499187346625,46.728354969509,49.7840574069661,TRUE,TRUE,TRUE,FALSE,TRUE
"Anln",0.000436712238809704,1.18506000564187e-05,3551,4817,3.80666248977032,0.693147180559945,0,3.11351530921037,22.5,3435,3668,44.6534952897542,43.1948060603507,46.1247594263076,TRUE,TRUE,TRUE,FALSE,TRUE
