"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Gpr17",0.00115001415492287,1.98363585143628e-06,3225,444,4.75359019110636,0,0,4.75359019110636,116,3114,3337,129.113464912966,124.669559608984,133.597405399865,TRUE,TRUE,TRUE,FALSE,TRUE
"Pdgfra",0.0018431421257362,8.13377299856146e-06,3486,1377,5.22035582507832,0.693147180559945,0,4.52720864451838,92.5,3371,3602,139.562647654759,134.958601619103,144.206728873334,TRUE,TRUE,TRUE,FALSE,TRUE
"C1ql1",0.000865581174517966,4.42193181108564e-06,1799,1124,4.47733681447821,0,0,4.47733681447821,88,1716,1883,72.0232940708295,68.7003738885733,75.3862494360044,TRUE,TRUE,TRUE,FALSE,TRUE
"Lhfpl3",0.00160645405398773,9.84329900415372e-06,3287,2622,5.08759633523238,0.693147180559945,0,4.39444915467244,81,3175,3400,131.595646253928,127.111705767028,136.119621923747,TRUE,TRUE,TRUE,FALSE,TRUE
"Cspg4",0.00155019398842244,1.45971009164936e-05,2928,2211,5.04985600724954,0.693147180559945,0,4.35670882668959,78,2822,3034,117.223015586097,112.97928619671,121.466744975484,TRUE,TRUE,TRUE,FALSE,TRUE
"Neu4",0.000518779504983348,9.28121170213531e-07,1262,182,3.97029191355212,0,0,3.97029191355212,53,1193,1332,50.5244008434612,47.7619732220676,53.3268636477737,TRUE,TRUE,TRUE,FALSE,TRUE
"Vcan",0.000963830108106924,1.03454691164307e-05,2087,2464,4.57471097850338,0.693147180559945,0,3.88156379794344,48.5,1998,2177,83.5534267514292,79.9902954716605,87.1565932141166,TRUE,TRUE,TRUE,FALSE,TRUE
"Matn4",0.000543595649158632,6.72192424675208e-06,1063,1599,4.00733318523247,0.693147180559945,0,3.31418600467253,27.5,1000,1127,42.5573994426302,40.035182918749,45.1196511494301,TRUE,TRUE,TRUE,FALSE,TRUE
"Enpp6",0.00025984537948291,3.35441638218926e-06,1353,649,3.29583686600433,0,0,3.29583686600433,27,1281,1426,54.1676024890674,51.2850693189175,57.0901708421361,TRUE,TRUE,TRUE,FALSE,TRUE
"Traf4",0.000261248936014023,4.72423431170151e-06,605,1010,3.29583686600433,0,0,3.29583686600433,27,557,654,24.2212856658431,22.2995968857432,26.1830096288618,TRUE,TRUE,TRUE,FALSE,TRUE
"Bmp4",0.000226848602405784,2.12920038173972e-06,889,338,3.17805383034795,0,0,3.17805383034795,24,831,948,35.5912776147679,33.2692370054804,37.953353406974,TRUE,TRUE,TRUE,FALSE,TRUE
