"","fill","ymin","lower","middle","upper","ymax","notchupper","notchlower","x","flipped_aes","PANEL","group","ymin_final","ymax_final","xmin","xmax","xid","newx","new_width","weight","colour","alpha","shape","linetype","linewidth"
"1","#CC0000",0.000807366683313324,0.0421152789411678,0.105093337109051,0.218407758718244,1.15275039307137,0.106427327218227,0.103759346999875,1,FALSE,"1",1,0.000807366683313324,1.15275039307137,0.625,1.375,1,1,0.75,1,"grey20",NA,19,"solid",0.5
"2","#FF6600",0.000807366683313324,0.016793306579052,0.0381699549441906,0.0832089640892784,0.466131885215216,0.0395523778987329,0.0367875319896484,2,FALSE,"1",2,0.000807366683313324,0.545612744725422,1.625,2.375,2,2,0.75,1,"grey20",NA,19,"solid",0.5
"3","#FF9900",0.000807366683313324,0.104370912064447,0.233492977854814,0.435682207820656,1.15275039307137,0.237489062585721,0.229496893123907,3,FALSE,"1",3,0.000807366683313324,1.15275039307137,2.625,3.375,3,3,0.75,1,"grey20",NA,19,"solid",0.5
"4","#CC9900",0.000807366683313324,0.0269014868565079,0.0636139777003754,0.12363863464378,0.54140883511996,0.0666371990137534,0.0605907563869975,4,FALSE,"1",4,0.000807366683313324,0.54140883511996,3.625,4.375,4,4,0.75,1,"grey20",NA,19,"solid",0.5
"5","#FFCC66",0.000807366683313324,0.10004715895621,0.277463654166895,0.421608113765622,1.09503416354618,0.283599649096073,0.271327659237717,5,FALSE,"1",5,0.000807366683313324,1.09503416354618,4.625,5.375,5,5,0.75,1,"grey20",NA,19,"solid",0.5
"6","#99CC00",0.000807366683313324,0.0543268755792657,0.107328782661396,0.196130825740214,0.68517513612516,0.111032218911194,0.103625346411599,6,FALSE,"1",6,0.000807366683313324,0.68517513612516,5.625,6.375,6,6,0.75,1,"grey20",NA,19,"solid",0.5
"7","#003300",0.000807366683313324,0.0338073546589556,0.0832089640892784,0.146512174024116,0.395674849153773,0.0920466091927233,0.0743713189858335,7,FALSE,"1",7,0.000807366683313324,0.395674849153773,6.625,7.375,7,7,0.75,1,"grey20",NA,19,"solid",0.5
"8","#99CCCC",0.000807366683313324,0.0851328384067846,0.156417633870487,0.231449993538105,0.710055193588655,0.166109249959821,0.146726017781152,8,FALSE,"1",8,0.000807366683313324,0.710055193588655,7.625,8.375,8,8,0.75,1,"grey20",NA,19,"solid",0.5
"9","#009999",0.000807366683313324,0.0211298639039893,0.0551840030240943,0.127176273575857,0.708668586661791,0.0613811866970398,0.0489868193511488,9,FALSE,"1",9,0.000807366683313324,0.708668586661791,8.625,9.375,9,9,0.75,1,"grey20",NA,19,"solid",0.5
"10","#3399FF",0.000807366683313324,0.0181426894038612,0.0477084190747537,0.0851910419184272,0.366689237770001,0.052564005869041,0.0428528322804664,10,FALSE,"1",10,0.000807366683313324,0.366689237770001,9.625,10.375,10,10,0.75,1,"grey20",NA,19,"solid",0.5
