"","colour","ymin","lower","middle","upper","ymax","notchupper","notchlower","x","flipped_aes","PANEL","group","ymin_final","ymax_final","xmin","xmax","weight","fill","alpha","shape","linetype","linewidth"
"1","#CC3300",68,68,68,68,68,68,68,0.75,FALSE,"1",1,68,68,0.6375,0.8625,1,"white",NA,19,"solid",0.5
"2","#33CC33",57.75,58.38,59.08,61.33,63.06,60.6336666666667,57.5263333333333,1,FALSE,"1",2,57.75,63.06,0.8875,1.1125,1,"white",NA,19,"solid",0.5
"3","#003366",35.8946627243546,39.053907954579,45.1735925832038,48.0538918340277,53.3752074329866,49.9135840930468,40.4336010733609,1.25,FALSE,"1",3,35.8946627243546,53.3752074329866,1.1375,1.3625,1,"white",NA,19,"solid",0.5
"4","#CC3300",7.5,7.5,7.5,7.5,7.5,7.5,7.5,1.75,FALSE,"1",4,7.5,7.5,1.6375,1.8625,1,"white",NA,19,"solid",0.5
"5","#33CC33",2.94,3.35,3.92,5.69,6.91,5.1524,2.6876,2,FALSE,"1",5,2.94,6.91,1.8875,2.1125,1,"white",NA,19,"solid",0.5
"6","#003366",12.8797569242126,13.4338278680828,14.2151749119652,15.2174585666222,16.4818478584276,15.1545537465293,13.2757960774011,2.25,FALSE,"1",6,12.8797569242126,16.4818478584276,2.1375,2.3625,1,"white",NA,19,"solid",0.5
"7","#CC3300",11.99,11.99,11.99,11.99,11.99,11.99,11.99,2.75,FALSE,"1",7,11.99,11.99,2.6375,2.8625,1,"white",NA,19,"solid",0.5
"8","#33CC33",4.58,6.85,9.21,9.59,13.48,10.6530666666667,7.76693333333333,3,FALSE,"1",8,4.58,13.48,2.8875,3.1125,1,"white",NA,19,"solid",0.5
"9","#003366",3.07922258689952,3.68132808444572,6.19469864078416,6.50575786975173,6.99734998784615,7.68223166104533,4.70716562052299,3.25,FALSE,"1",9,3.07922258689952,6.99734998784615,3.1375,3.3625,1,"white",NA,19,"solid",0.5
"10","#CC3300",12.01,12.01,12.01,12.01,12.01,12.01,12.01,3.75,FALSE,"1",10,12.01,12.01,3.6375,3.8625,1,"white",NA,19,"solid",0.5
"11","#33CC33",14.73,17.33,20.27,23.61,26.94,23.5774666666667,16.9625333333333,4,FALSE,"1",11,14.73,26.94,3.8875,4.1125,1,"white",NA,19,"solid",0.5
"12","#003366",11.0296774260486,13.9343686424737,17.0179182078848,17.2348208319406,18.059598044667,18.756156361004,15.2796800547656,4.25,FALSE,"1",12,11.0296774260486,18.059598044667,4.1375,4.3625,1,"white",NA,19,"solid",0.5
"13","#CC3300",0,0,0,0,0,0,0,4.75,FALSE,"1",13,0,0,4.6375,4.8625,1,"white",NA,19,"solid",0.5
"14","#33CC33",2.49,2.95,3.03,3.36,3.73,3.24593333333333,2.81406666666667,5,FALSE,"1",14,2.49,3.73,4.8875,5.1125,1,"white",NA,19,"solid",0.5
"15","#003366",0,0.038877981076191,0.22157465028152,0.332905512981376,0.477385219285689,0.37642915041825,0.066720150144789,5.25,FALSE,"1",15,0,0.477385219285689,5.1375,5.3625,1,"white",NA,19,"solid",0.5
"16","#CC3300",0,0,0,0,0,0,0,5.75,FALSE,"1",16,0,0,5.6375,5.8625,1,"white",NA,19,"solid",0.5
"17","#33CC33",0.26,0.39,0.4,0.59,0.71,0.505333333333333,0.294666666666667,6,FALSE,"1",17,0.26,1.24,5.8875,6.1125,1,"white",NA,19,"solid",0.5
"18","#003366",7.98601174456024,9.09796167253703,9.89922469573926,10.3844639663553,10.3844639663553,10.5767825704835,9.22166682099499,6.25,FALSE,"1",18,7.98601174456024,12.5219522793637,6.1375,6.3625,1,"white",NA,19,"solid",0.5
"19","#CC3300",0.4,0.4,0.4,0.4,0.4,0.4,0.4,6.75,FALSE,"1",19,0.4,0.4,6.6375,6.8625,1,"white",NA,19,"solid",0.5
"20","#33CC33",1.03,1.79,2.57,3.51,3.57,3.47586666666667,1.66413333333333,7,FALSE,"1",20,1.03,3.57,6.8875,7.1125,1,"white",NA,19,"solid",0.5
"21","#003366",6.08421695781771,6.74925689956767,10.6858651181765,12.8564054519127,13.9162125442354,13.9022966890782,7.46943354727479,7.25,FALSE,"1",21,6.08421695781771,13.9162125442354,7.1375,7.3625,1,"white",NA,19,"solid",0.5
