"","colour","fill","y","binwidth","count","ncount","x","PANEL","group","width","countidx","stackpos","ymin","ymax","xmin","xmax","alpha","stroke","linetype","weight"
"1","#CC3300","#CC3300",68,2.33333333333333,1,1,0.733333333333333,"1",1,0.9,1,0,66.8333333333333,69.1666666666667,0.583333333333333,0.883333333333333,NA,1,"solid",1
"2","#33CC33","#33CC33",58.885,2.33333333333333,6,1,1,"1",2,0.9,1,-2.5,57.7183333333333,63.3616666666667,0.85,1.15,NA,1,"solid",1
"3","#33CC33","#33CC33",58.885,2.33333333333333,6,1,1,"1",2,0.9,2,-1.5,57.7183333333333,63.3616666666667,0.85,1.15,NA,1,"solid",1
"4","#33CC33","#33CC33",58.885,2.33333333333333,6,1,1,"1",2,0.9,3,-0.5,57.7183333333333,63.3616666666667,0.85,1.15,NA,1,"solid",1
"5","#33CC33","#33CC33",58.885,2.33333333333333,6,1,1,"1",2,0.9,4,0.5,57.7183333333333,63.3616666666667,0.85,1.15,NA,1,"solid",1
"6","#33CC33","#33CC33",58.885,2.33333333333333,6,1,1,"1",2,0.9,5,1.5,57.7183333333333,63.3616666666667,0.85,1.15,NA,1,"solid",1
"7","#33CC33","#33CC33",58.885,2.33333333333333,6,1,1,"1",2,0.9,6,2.5,57.7183333333333,63.3616666666667,0.85,1.15,NA,1,"solid",1
"8","#33CC33","#33CC33",62.195,2.33333333333333,3,0.5,1,"1",2,0.9,1,-1,57.7183333333333,63.3616666666667,0.85,1.15,NA,1,"solid",1
"9","#33CC33","#33CC33",62.195,2.33333333333333,3,0.5,1,"1",2,0.9,2,0,57.7183333333333,63.3616666666667,0.85,1.15,NA,1,"solid",1
"10","#33CC33","#33CC33",62.195,2.33333333333333,3,0.5,1,"1",2,0.9,3,1,57.7183333333333,63.3616666666667,0.85,1.15,NA,1,"solid",1
"11","#003366","#003366",35.8946627243546,2.33333333333333,1,0.333333333333333,1.26666666666667,"1",3,0.9,1,0,34.7279960576879,53.3763243077893,1.11666666666667,1.41666666666667,NA,1,"solid",1
"12","#003366","#003366",38.9247062542203,2.33333333333333,3,1,1.26666666666667,"1",3,0.9,1,-1,34.7279960576879,53.3763243077893,1.11666666666667,1.41666666666667,NA,1,"solid",1
