"","colour","fill","y","binwidth","count","ncount","x","PANEL","group","width","countidx","stackpos","ymin","ymax","xmin","xmax","alpha","stroke","linetype","weight"
"1","#440154FF","#440154FF",0.392009181702532,0.02,2,1,0.733333333333333,"1",1,0.9,1,-0.5,0.382009181702532,0.480962394851487,0.583333333333333,0.883333333333333,NA,1,"solid",1
"2","#440154FF","#440154FF",0.392009181702532,0.02,2,1,0.733333333333333,"1",1,0.9,2,0.5,0.382009181702532,0.480962394851487,0.583333333333333,0.883333333333333,NA,1,"solid",1
"3","#440154FF","#440154FF",0.470962394851487,0.02,1,0.5,0.733333333333333,"1",1,0.9,1,0,0.382009181702532,0.480962394851487,0.583333333333333,0.883333333333333,NA,1,"solid",1
"4","#21908CFF","#21908CFF",0.480538918340277,0.02,1,1,1,"1",2,0.9,1,0,0.470538918340277,0.543752074329866,0.85,1.15,NA,1,"solid",1
"5","#21908CFF","#21908CFF",0.510441078492586,0.02,1,1,1,"1",2,0.9,1,0,0.470538918340277,0.543752074329866,0.85,1.15,NA,1,"solid",1
"6","#21908CFF","#21908CFF",0.533752074329866,0.02,1,1,1,"1",2,0.9,1,0,0.470538918340277,0.543752074329866,0.85,1.15,NA,1,"solid",1
"7","#CC9900","#CC9900",0.358946627243546,0.02,1,1,1.26666666666667,"1",3,0.9,1,0,0.348946627243546,0.461735925832038,1.11666666666667,1.41666666666667,NA,1,"solid",1
"8","#CC9900","#CC9900",0.385014841225132,0.02,1,1,1.26666666666667,"1",3,0.9,1,0,0.348946627243546,0.461735925832038,1.11666666666667,1.41666666666667,NA,1,"solid",1
"9","#CC9900","#CC9900",0.451735925832038,0.02,1,1,1.26666666666667,"1",3,0.9,1,0,0.348946627243546,0.461735925832038,1.11666666666667,1.41666666666667,NA,1,"solid",1
"10","#440154FF","#440154FF",0.140096857503869,0.02,2,1,1.73333333333333,"1",4,0.9,1,-0.5,0.130096857503869,0.174818478584276,1.58333333333333,1.88333333333333,NA,1,"solid",1
"11","#440154FF","#440154FF",0.140096857503869,0.02,2,1,1.73333333333333,"1",4,0.9,2,0.5,0.130096857503869,0.174818478584276,1.58333333333333,1.88333333333333,NA,1,"solid",1
"12","#440154FF","#440154FF",0.164818478584276,0.02,1,0.5,1.73333333333333,"1",4,0.9,1,0,0.130096857503869,0.174818478584276,1.58333333333333,1.88333333333333,NA,1,"solid",1
"13","#21908CFF","#21908CFF",0.131567923961477,0.02,3,1,2,"1",5,0.9,1,-1,0.121567923961477,0.141567923961477,1.85,2.15,NA,1,"solid",1
"14","#21908CFF","#21908CFF",0.131567923961477,0.02,3,1,2,"1",5,0.9,2,0,0.121567923961477,0.141567923961477,1.85,2.15,NA,1,"solid",1
"15","#21908CFF","#21908CFF",0.131567923961477,0.02,3,1,2,"1",5,0.9,3,1,0.121567923961477,0.141567923961477,1.85,2.15,NA,1,"solid",1
"16","#CC9900","#CC9900",0.150659589299931,0.02,3,1,2.26666666666667,"1",6,0.9,1,-1,0.140659589299931,0.160659589299931,2.11666666666667,2.41666666666667,NA,1,"solid",1
"17","#CC9900","#CC9900",0.150659589299931,0.02,3,1,2.26666666666667,"1",6,0.9,2,0,0.140659589299931,0.160659589299931,2.11666666666667,2.41666666666667,NA,1,"solid",1
"18","#CC9900","#CC9900",0.150659589299931,0.02,3,1,2.26666666666667,"1",6,0.9,3,1,0.140659589299931,0.160659589299931,2.11666666666667,2.41666666666667,NA,1,"solid",1
"19","#440154FF","#440154FF",0.0338027533567262,0.02,3,1,2.73333333333333,"1",7,0.9,1,-1,0.0238027533567262,0.0438027533567262,2.58333333333333,2.88333333333333,NA,1,"solid",1
"20","#440154FF","#440154FF",0.0338027533567262,0.02,3,1,2.73333333333333,"1",7,0.9,2,0,0.0238027533567262,0.0438027533567262,2.58333333333333,2.88333333333333,NA,1,"solid",1
"21","#440154FF","#440154FF",0.0338027533567262,0.02,3,1,2.73333333333333,"1",7,0.9,3,1,0.0238027533567262,0.0438027533567262,2.58333333333333,2.88333333333333,NA,1,"solid",1
"22","#21908CFF","#21908CFF",0.0655933602851748,0.02,3,1,3,"1",8,0.9,1,-1,0.0555933602851748,0.0755933602851748,2.85,3.15,NA,1,"solid",1
"23","#21908CFF","#21908CFF",0.0655933602851748,0.02,3,1,3,"1",8,0.9,2,0,0.0555933602851748,0.0755933602851748,2.85,3.15,NA,1,"solid",1
"24","#21908CFF","#21908CFF",0.0655933602851748,0.02,3,1,3,"1",8,0.9,3,1,0.0555933602851748,0.0755933602851748,2.85,3.15,NA,1,"solid",1
"25","#CC9900","#CC9900",0.0653836721603162,0.02,3,1,3.26666666666667,"1",9,0.9,1,-1,0.0553836721603162,0.0753836721603162,3.11666666666667,3.41666666666667,NA,1,"solid",1
"26","#CC9900","#CC9900",0.0653836721603162,0.02,3,1,3.26666666666667,"1",9,0.9,2,0,0.0553836721603162,0.0753836721603162,3.11666666666667,3.41666666666667,NA,1,"solid",1
"27","#CC9900","#CC9900",0.0653836721603162,0.02,3,1,3.26666666666667,"1",9,0.9,3,1,0.0553836721603162,0.0753836721603162,3.11666666666667,3.41666666666667,NA,1,"solid",1
"28","#440154FF","#440154FF",0.173113713147446,0.02,3,1,3.73333333333333,"1",10,0.9,1,-1,0.163113713147446,0.183113713147446,3.58333333333333,3.88333333333333,NA,1,"solid",1
"29","#440154FF","#440154FF",0.173113713147446,0.02,3,1,3.73333333333333,"1",10,0.9,2,0,0.163113713147446,0.183113713147446,3.58333333333333,3.88333333333333,NA,1,"solid",1
"30","#440154FF","#440154FF",0.173113713147446,0.02,3,1,3.73333333333333,"1",10,0.9,3,1,0.163113713147446,0.183113713147446,3.58333333333333,3.88333333333333,NA,1,"solid",1
"31","#21908CFF","#21908CFF",0.115723997127851,0.02,2,1,4,"1",11,0.9,1,-0.5,0.105723997127851,0.149343686424737,3.85,4.15,NA,1,"solid",1
"32","#21908CFF","#21908CFF",0.115723997127851,0.02,2,1,4,"1",11,0.9,2,0.5,0.105723997127851,0.149343686424737,3.85,4.15,NA,1,"solid",1
"33","#21908CFF","#21908CFF",0.139343686424737,0.02,1,0.5,4,"1",11,0.9,1,0,0.105723997127851,0.149343686424737,3.85,4.15,NA,1,"solid",1
"34","#CC9900","#CC9900",0.173450439535396,0.02,3,1,4.26666666666667,"1",12,0.9,1,-1,0.163450439535396,0.183450439535396,4.11666666666667,4.41666666666667,NA,1,"solid",1
"35","#CC9900","#CC9900",0.173450439535396,0.02,3,1,4.26666666666667,"1",12,0.9,2,0,0.163450439535396,0.183450439535396,4.11666666666667,4.41666666666667,NA,1,"solid",1
"36","#CC9900","#CC9900",0.173450439535396,0.02,3,1,4.26666666666667,"1",12,0.9,3,1,0.163450439535396,0.183450439535396,4.11666666666667,4.41666666666667,NA,1,"solid",1
"37","#440154FF","#440154FF",0.0028186997118171,0.02,3,1,4.73333333333333,"1",13,0.9,1,-1,NA,0.0128186997118171,4.58333333333333,4.88333333333333,NA,1,"solid",1
"38","#440154FF","#440154FF",0.0028186997118171,0.02,3,1,4.73333333333333,"1",13,0.9,2,0,NA,0.0128186997118171,4.58333333333333,4.88333333333333,NA,1,"solid",1
"39","#440154FF","#440154FF",0.0028186997118171,0.02,3,1,4.73333333333333,"1",13,0.9,3,1,NA,0.0128186997118171,4.58333333333333,4.88333333333333,NA,1,"solid",1
"40","#21908CFF","#21908CFF",0.000194389905380955,0.02,3,1,5,"1",14,0.9,1,-1,NA,0.010194389905381,4.85,5.15,NA,1,"solid",1
"41","#21908CFF","#21908CFF",0.000194389905380955,0.02,3,1,5,"1",14,0.9,2,0,NA,0.010194389905381,4.85,5.15,NA,1,"solid",1
"42","#21908CFF","#21908CFF",0.000194389905380955,0.02,3,1,5,"1",14,0.9,3,1,NA,0.010194389905381,4.85,5.15,NA,1,"solid",1
"43","#CC9900","#CC9900",0.00382680679916845,0.02,3,1,5.26666666666667,"1",15,0.9,1,-1,NA,0.0138268067991684,5.11666666666667,5.41666666666667,NA,1,"solid",1
"44","#CC9900","#CC9900",0.00382680679916845,0.02,3,1,5.26666666666667,"1",15,0.9,2,0,NA,0.0138268067991684,5.11666666666667,5.41666666666667,NA,1,"solid",1
"45","#CC9900","#CC9900",0.00382680679916845,0.02,3,1,5.26666666666667,"1",15,0.9,3,1,NA,0.0138268067991684,5.11666666666667,5.41666666666667,NA,1,"solid",1
"46","#440154FF","#440154FF",0.098349116400693,0.02,1,0.5,5.73333333333333,"1",16,0.9,1,0,0.088349116400693,0.134280758376781,5.58333333333333,5.88333333333333,NA,1,"solid",1
"47","#440154FF","#440154FF",0.124280758376781,0.02,2,1,5.73333333333333,"1",16,0.9,1,-0.5,0.088349116400693,0.134280758376781,5.58333333333333,5.88333333333333,NA,1,"solid",1
"48","#440154FF","#440154FF",0.124280758376781,0.02,2,1,5.73333333333333,"1",16,0.9,2,0.5,0.088349116400693,0.134280758376781,5.58333333333333,5.88333333333333,NA,1,"solid",1
"49","#21908CFF","#21908CFF",0.0854198670854863,0.02,3,1,6,"1",17,0.9,1,-1,0.0754198670854863,0.0954198670854863,5.85,6.15,NA,1,"solid",1
